Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000228794,LINC01128,17,-0.8235,20,-0.5616,34,0.27470,30,0.05351,34,0.39879,27,-0.0827
ENSG00000188976,NOC2L,44,-0.6733,42,-0.7347,42,-0.7424,89,0.47737,80,0.39636,73,0.16643
ENSG00000188290,HES4,201,1.40180,100,0.17858,86,-0.0584,62,-0.5803,78,-0.2973,62,-0.6476
ENSG00000187608,ISG15,123,0.66781,83,0.00918,48,-0.8506,43,-1.0091,85,0.08269,94,0.24605
ENSG00000188157,AGRN,64,0.61677,41,-0.1106,15,-1.6625,34,-0.3874,51,0.33930,44,0.00412
ENSG00000131591,C1orf159,7,-0.9929,12,-0.1178,14,0.09703,16,0.33507,16,0.50495,10,-0.4963
ENSG00000078808,SDF4,88,-0.0550,113,0.34717,76,-0.2889,98,0.10989,93,0.04056,84,-0.1557
ENSG00000176022,B3GALT6,44,-0.1458,31,-0.7045,42,-0.1984,61,0.39264,49,0.05561,53,0.19220
ENSG00000160087,UBE2J2,45,-0.5266,62,-0.0219,49,-0.4007,72,0.22681,75,0.39108,57,-0.1889
ENSG00000162572,SCNN1D,4,-1.6242,22,0.85048,5,-1.3377,16,0.34137,13,0.00699,15,0.28967
ENSG00000131584,ACAP3,127,-0.0557,86,-0.6715,102,-0.4026,166,0.38627,153,0.34474,121,-0.1507
ENSG00000169972,PUSL1,16,0.33774,12,-0.1327,7,-1.0168,9,-0.5717,15,0.36029,14,0.10094
ENSG00000127054,INTS11,51,-0.3547,67,0.08150,30,-1.1991,52,-0.3333,93,0.88548,50,-0.4589
ENSG00000224051,CPTP,40,-0.1337,41,-0.1059,39,-0.1806,22,-1.0367,53,0.42703,46,0.10372
ENSG00000107404,DVL1,104,0.34120,89,0.07996,101,0.28987,95,0.19249,75,-0.2466,73,-0.2606
ENSG00000175756,AURKAIP1,175,0.11454,163,-0.0036,214,0.44691,150,-0.1343,142,-0.2900,170,0.07931
ENSG00000221978,CCNL2,80,0.49975,74,0.37059,31,-1.0237,50,-0.2568,65,0.19247,52,-0.2432
ENSG00000224870,MRPL20-AS1,12,-0.2174,10,-0.5065,12,-0.2389,12,-0.1839,19,0.69888,11,-0.3886
ENSG00000242485,MRPL20,138,-0.0883,144,-0.0232,157,0.11390,165,0.19622,134,-0.1765,154,0.09756
ENSG00000235098,ANKRD65,9,-1.0338,22,0.42935,18,0.13654,24,0.56129,16,-0.0596,15,-0.2140
ENSG00000179403,VWA1,117,1.59571,95,1.20237,54,0.22936,47,-0.0104,19,-1.6813,27,-0.9438
ENSG00000160072,ATAD3B,1,-3.4862,23,1.00511,10,-0.3848,5,-1.3227,18,0.82330,10,-0.3413
ENSG00000197785,ATAD3A,10,-1.1340,19,-0.1466,11,-1.0182,32,0.75469,22,0.18028,23,0.22774
ENSG00000205090,TMEM240,45,-0.7469,50,-0.5790,55,-0.4309,90,0.36007,88,0.45198,73,0.01645
ENSG00000160075,SSU72,160,-0.0749,146,-0.2186,174,0.05791,177,0.09065,156,-0.1556,192,0.25676
ENSG00000228594,FNDC10,35,-0.5244,44,-0.1789,36,-0.4962,58,0.26788,44,-0.1983,67,0.61825
ENSG00000272106,AL691432.2,26,-0.5204,43,0.26017,28,-0.4185,50,0.50354,38,0.08274,34,-0.1270
ENSG00000197530,MIB2,60,0.59307,37,-0.1802,33,-0.3822,37,-0.1896,51,0.43935,28,-0.6764
ENSG00000189339,SLC35E2B,29,-0.7870,46,-0.0376,45,-0.0795,46,-0.0289,54,0.29228,49,0.05761
ENSG00000215790,SLC35E2A,18,-0.6372,29,0.06042,26,-0.0854,30,0.11654,31,0.24589,27,-0.0752
ENSG00000008130,NADK,35,-0.1359,34,-0.1606,40,0.09439,29,-0.4011,37,-0.0180,45,0.31710
ENSG00000078369,GNB1,394,-0.2460,397,-0.2342,441,-0.0672,546,0.28270,485,0.11776,451,-0.0329
ENSG00000187730,GABRD,66,-1.5714,106,-0.8530,141,-0.4205,76,-1.3733,295,1.20596,188,0.04650
ENSG00000067606,PRKCZ,114,-1.0233,164,-0.4565,229,0.06978,291,0.47055,262,0.40516,194,-0.2234
ENSG00000162585,FAAP20,90,0.70996,62,0.07634,78,0.45215,61,0.04242,35,-1.0301,68,0.27601
ENSG00000157933,SKI,58,0.32341,58,0.32046,50,0.08097,74,0.72934,41,-0.3173,33,-0.6401
ENSG00000157916,RER1,65,-0.3395,108,0.48584,52,-0.6736,73,-0.1534,96,0.39790,69,-0.2820
ENSG00000157911,PEX10,28,-0.5874,47,0.21415,43,0.08762,25,-0.7831,42,0.03217,51,0.39631
ENSG00000149527,PLCH2,17,-1.2275,39,0.07478,27,-0.5127,23,-0.7094,44,0.41193,47,0.45862
ENSG00000157881,PANK4,13,-0.4259,16,-0.1037,17,0.02014,14,-0.3224,23,0.62765,13,-0.4653
ENSG00000197921,HES5,26,-1.1120,159,1.93801,22,-1.3514,55,0.02344,21,-1.6971,80,0.77554
ENSG00000272449,AL139246.5,4,-1.8620,21,0.69447,10,-0.5369,7,-1.0068,9,-0.8823,28,1.50182
ENSG00000157873,TNFRSF14,35,1.44013,18,0.29840,10,-0.6802,6,-1.2989,17,0.29973,7,-1.1826
ENSG00000157870,PRXL2B,74,-0.4746,57,-0.8662,101,0.02736,132,0.47471,114,0.31143,94,-0.1093
ENSG00000177133,PRDM16-DT,9,-1.3984,72,2.14609,20,-0.1569,19,-0.2561,10,-1.4901,25,0.23673
ENSG00000158109,TPRG1L,117,-0.7308,113,-0.7836,202,0.14403,238,0.41120,215,0.33769,176,-0.0940
ENSG00000116213,WRAP73,18,0.51656,10,-0.3908,18,0.56932,18,0.55658,13,0.06410,6,-1.2653
ENSG00000130764,LRRC47,62,-0.3308,71,-0.1178,72,-0.0908,94,0.35132,79,0.08969,74,-0.0487
ENSG00000116198,CEP104,32,0.68870,8,-1.4010,21,0.00214,16,-0.4885,22,0.09464,24,0.19131
ENSG00000198912,C1orf174,2,-2.4100,6,-1.0451,23,0.94604,13,0.04594,21,1.17788,4,-1.7016
ENSG00000196581,AJAP1,27,-0.9120,29,-0.7538,45,-0.1097,27,-0.9087,69,0.88209,48,0.00545
