xSpD,gene,source_type,note
xGL,AQP4,Literature+Stats,"Rank 2 own enrichment gene (t=10.98, FDR=2.5e-19). Maynard et al. L1 marker generally; specifically the perivascular-endfoot/glymphatic gene in the glia limitans literature. Registers to both vL1 (superficialis) and vWMpv (perivascularis) on the Visium side"
xGL,VCAN,Stats,"Rank 7 own enrichment gene. Direct cross-analysis match: VCAN was also the second corroborating gene (alongside GFAP) supporting the glia-limitans-perivascularis signature found in vWMpv's Visium pairwise contrasts - the same gene independently surfacing in both the Xenium cluster and the Visium domain it registers to"
xL1_inhib,VIP,Literature+Stats,"Rank 4 own enrichment gene (t=9.26). Matches Nilssen et al.'s description of the 5HT3aR-expressing interneuron class inhibiting calbindin+ Layer II island cells. PROX1 (rank 9, CGE-lineage marker per Franjic et al.) and ERBB4 (rank 10, general interneuron migration/function gene) are also present and support the same CGE-derived interneuron identity"
xL2,LAMP5,Literature+Stats,"Rank 1 own enrichment gene (t=11.2). Maynard et al. L2 marker. Identical rank-1 gene to vL2 on the Visium side - a clean direct cross-platform match"
xL5,NTNG1,Stats,"Rank 1 own enrichment gene (t=10.95). Identical rank-1 gene to vL5a on the Visium side - a clean direct cross-platform match"
xL5,PVALB,Literature+Stats,"Rank 10 own enrichment gene. Independently confirms the Inhib.Pvalb concentration finding (44%) for this same cluster from the RCTD data - deep-layer interneuron identity supported at both the gene-enrichment AND cell-type-deconvolution level, consistent with PVALB being a classic deep-layer (not superficial) interneuron marker"
xL6,HS3ST4,Stats,"Rank 1 own enrichment gene (t=13.3, the strongest stat in this domain's own list). Also appears at rank 5 in xWMuf's own list - a shared gene at the L6/WMuf boundary, consistent with a graded transition rather than a sharp one (mirroring the shared-gene continuum found between vL5b and vL6 on the Visium side)"
xL6,NNAT,Literature+Stats+MeanRatio,"TRIPLE-CONFIRMED, and consistent across platforms. Rank 10 own enrichment gene here; ALSO the rank-1 MeanRatio gene AND a top enrichment gene for vL6 on the Visium side. One of the most consistently, multiply-confirmed genes in this entire project"
xLD_glia,FGFR3,Stats,"Rank 1 own enrichment gene, but notably weak stats throughout this domain (t=3.8-5.4, FDR down to only ~5e-5) - the weakest own-enrichment profile of any Xenium domain, matching the diffuse/low-specificity identity established for this domain on the Visium side (COX6A1, weakest MeanRatio ratio in the project)"
xLD_glia,APOE,Literature+Stats,"Rank 2 own enrichment gene. Major AD risk gene (APOE4) - worth flagging given this project's AD focus: it appears specifically in the domain identified as neuron-sparse and glia-dominated (astrocyte/oligodendrocyte/microglia mixed, no principal cell type concentrated here), not in any principal excitatory layer"
xVasc_mural,ITGA8,Stats,"Rank 1 own enrichment gene by a wide margin (t=21.2, the single strongest statistic of any gene in this Xenium dataset)"
xVasc_mural,CSPG4,Literature+Stats,"Rank 8 own enrichment gene. NG2 - the single most specifically-recognized pericyte identity marker in vascular biology literature, a better literature anchor for the 'mural' identity specifically than the higher-ranking but less pericyte-specific genes (ITGA8, CAV1)"
xVasc_im,PTPRC,Literature+Stats,"Rank 6 own enrichment gene, and the stats here are strong throughout this domain (t=13.1-15.9 across the whole top10, not just the top gene). CD45, canonical pan-immune marker. Concentration data separately showed 79% of all Macro cells and 69% of all Vasc.VLMC cells concentrated in this one cluster"
xVasc_adj,FLT1,Literature+Stats,"Rank 1 own enrichment gene. VEGFR1, canonical endothelial marker. Stats throughout this domain are weak (t=3.0-5.0) consistent with the 'poor' registration confidence flag and small/rare population size - the gene identity itself is still unambiguous despite the modest statistics"
xWMuf,MBP,Literature+Stats,"Rank 4 own enrichment gene (MOG is technically rank 1, t=4.42, but stats across this domain's whole top10 are uniformly weak and tightly clustered, t=4.09-4.42). Maynard et al. WM marker. Kept as the primary pick to preserve the direct cross-platform match with vWMuf on the Visium side"
xWMuf,PLP1,Literature+Stats,"Rank 9 own enrichment gene. Literally named by Ramsden et al. as a WM/myelin marker alongside Mbp ('myelin-related genes such as Mbp and Plp1') - a direct, specific literature match rather than a general oligodendrocyte gene"
xWMd,PSEN1,Stats,"Rank 1 own enrichment gene (t=14.0). Presenilin 1, a core gamma-secretase component and major AD gene - worth flagging given this project's AD focus, though its white-matter-specific expression pattern has not been checked against the literature"
xWMd,MAL,Stats,"Rank 5 own enrichment gene. Myelin And Lymphocyte protein, classic oligodendrocyte/myelin gene. ERBB3 (rank 10) also appears in xWMuf's own list (rank 10 there too) - a neuregulin receptor with an established role in oligodendrocyte myelination, another shared gene at a WM domain boundary"
