Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,6,-2.1461,17,-0.6381,23,-0.1565,21,-0.2954,42,0.83938,25,-0.0323,45,0.99584,15,-0.7830,33,0.45121
ENSG00000188976,NOC2L,25,-1.0107,35,-0.4500,38,-0.3266,41,-0.2160,70,0.64432,34,-0.4999,54,0.22795,49,0.07593,77,0.82389
ENSG00000188290,HES4,58,-0.6260,69,-0.3437,83,-0.0516,104,0.31975,121,0.57140,103,0.29698,138,0.79613,43,-1.0823,53,-0.7551
ENSG00000187608,ISG15,178,-0.2361,196,-0.0825,193,-0.1041,231,0.18471,219,0.09826,228,0.16349,345,0.86945,135,-0.6645,130,-0.7304
ENSG00000188157,AGRN,30,-0.8074,41,-0.3298,30,-0.8109,45,-0.1670,86,0.92270,43,-0.2523,94,1.07757,37,-0.4847,44,-0.1874
ENSG00000131591,C1orf159,13,0.04311,14,0.23470,5,-1.3372,13,0.12937,10,-0.3259,19,0.68059,12,-0.0509,9,-0.4628,16,0.40309
ENSG00000078808,SDF4,65,-0.2303,59,-0.3815,65,-0.2170,73,-0.0432,69,-0.1301,72,-0.0539,72,-0.0710,94,0.36933,105,0.55912
ENSG00000176022,B3GALT6,13,-1.3522,28,-0.1733,16,-1.0550,19,-0.7169,30,-0.0285,40,0.42917,42,0.50882,43,0.53986,47,0.69288
ENSG00000160087,UBE2J2,27,-0.8415,41,-0.2152,36,-0.4280,66,0.57848,68,0.61139,39,-0.2713,38,-0.3273,62,0.47073,43,-0.1251
ENSG00000131584,ACAP3,77,-0.1567,86,0.02773,49,-0.8405,92,0.13837,90,0.09501,74,-0.2220,104,0.34184,71,-0.2700,118,0.54995
ENSG00000169972,PUSL1,6,-1.2539,10,-0.5556,14,0.00793,8,-0.8585,13,-0.1718,14,-0.0027,18,0.41577,28,1.13405,16,0.21445
ENSG00000127054,INTS11,38,-0.5570,48,-0.2023,55,0.00242,51,-0.1050,62,0.20084,63,0.23676,68,0.36243,40,-0.4801,66,0.30293
ENSG00000224051,CPTP,9,-1.8766,26,-0.2359,19,-0.7368,22,-0.5170,47,0.71867,40,0.43225,36,0.28610,49,0.79461,26,-0.2413
