Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to9,Feature log2 fold change topic 4to9
ENSG00000228794,LINC01128,26,0.11364,24,-0.1136
ENSG00000188976,NOC2L,90,0.61634,59,-0.6163
ENSG00000188290,HES4,88,0.20733,76,-0.2073
ENSG00000187608,ISG15,115,0.15782,103,-0.1578
ENSG00000188157,AGRN,59,0.73102,36,-0.7310
ENSG00000078808,SDF4,81,0.64623,52,-0.6462
ENSG00000176022,B3GALT6,44,0.52882,30,-0.5288
ENSG00000160087,UBE2J2,77,0.91243,41,-0.9124
ENSG00000131584,ACAP3,149,0.32016,119,-0.3201
ENSG00000127054,INTS11,85,0.63190,55,-0.6319
ENSG00000224051,CPTP,56,0.70143,34,-0.7014
ENSG00000107404,DVL1,70,-0.1947,80,0.19478
ENSG00000175756,AURKAIP1,169,-0.2182,197,0.21822
ENSG00000221978,CCNL2,72,0.74404,43,-0.7440
ENSG00000242485,MRPL20,161,-0.2651,194,0.26512
ENSG00000235098,ANKRD65,22,-0.0900,23,0.09004
ENSG00000179403,VWA1,14,-1.6261,43,1.62612
ENSG00000197785,ATAD3A,24,0.21418,20,-0.2141
ENSG00000205090,TMEM240,63,0.19019,55,-0.1901
ENSG00000160075,SSU72,171,0.17516,152,-0.1751
ENSG00000228594,FNDC10,55,0.10512,52,-0.1051
ENSG00000272106,AL691432.2,22,0.04821,22,-0.0482
ENSG00000197530,MIB2,48,0.47203,34,-0.4720
ENSG00000215790,SLC35E2A,68,0.96529,35,-0.9652
ENSG00000008130,NADK,39,0.15315,35,-0.1531
ENSG00000078369,GNB1,577,0.38897,441,-0.3889
ENSG00000187730,GABRD,237,0.99810,119,-0.9981
ENSG00000067606,PRKCZ,309,0.10761,287,-0.1076
ENSG00000162585,FAAP20,58,-0.3342,73,0.33424
ENSG00000157933,SKI,40,0.15813,35,-0.1581
ENSG00000157916,RER1,83,0.85936,45,-0.8593
ENSG00000157911,PEX10,40,0.10533,37,-0.1053
ENSG00000149527,PLCH2,54,1.39602,20,-1.3960
