Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,37,-0.3802,29,-0.7537,77,1.25273,23,-1.1118,40,-0.2627,43,-0.1485,21,-1.2692
ENSG00000188290,HES4,4,-4.5579,52,-0.8324,65,-0.6218,151,0.89020,362,2.71482,3,-4.7932,32,-1.5641
ENSG00000187608,ISG15,74,0.61131,35,-0.6068,47,-0.1790,31,-0.7759,129,1.63514,20,-1.4038,29,-0.8550
ENSG00000188157,AGRN,97,1.56091,18,-1.1812,33,-0.3609,37,-0.0876,55,0.54988,46,0.23630,3,-3.6578
ENSG00000078808,SDF4,370,1.95692,54,-1.3181,123,-0.0379,93,-0.4762,103,-0.3173,93,-0.4808,47,-1.5049
ENSG00000176022,B3GALT6,13,-1.2794,20,-0.6842,51,1.24906,15,-1.1060,31,0.02070,26,-0.2620,20,-0.6458
ENSG00000160087,UBE2J2,51,0.03017,32,-0.6839,85,1.38066,33,-0.6726,24,-1.1343,32,-0.7003,23,-1.2176
ENSG00000131584,ACAP3,3,-5.3593,85,-0.4421,189,1.34697,67,-0.8024,113,0.01584,70,-0.7445,105,-0.1012
ENSG00000127054,INTS11,3,-4.5354,39,-0.7786,106,1.32149,35,-0.9058,74,0.24713,74,0.26035,28,-1.2698
ENSG00000224051,CPTP,3,-3.7133,24,-0.7714,78,1.97104,23,-0.8384,33,-0.2384,24,-0.7523,10,-2.0194
ENSG00000107404,DVL1,3,-4.1943,49,-0.0421,68,0.72414,24,-1.1598,76,0.68556,53,0.07858,43,-0.2411
ENSG00000175756,AURKAIP1,246,1.16863,66,-0.9978,110,-0.2464,200,0.79852,69,-0.9267,113,-0.1517,94,-0.4507
ENSG00000221978,CCNL2,82,0.54099,39,-0.6650,60,0.04202,34,-0.8722,74,0.36551,100,0.88472,23,-1.4742
ENSG00000242485,MRPL20,88,-0.5173,56,-1.2211,152,0.49859,140,0.22725,133,0.13883,142,0.24421,85,-0.5787
ENSG00000235098,ANKRD65,3,-3.2885,12,-1.2096,7,-2.3693,37,0.54349,44,0.84996,89,2.21786,34,0.40712
ENSG00000179403,VWA1,66,-0.7917,35,-1.7566,29,-2.3522,152,0.55686,130,0.29981,402,2.47520,107,-0.0300
ENSG00000205090,TMEM240,3,-4.0147,36,-0.3211,100,2.57867,2,-4.4449,25,-0.8568,6,-2.9225,26,-0.8298
ENSG00000160075,SSU72,150,0.22300,84,-0.6969,138,0.11589,204,0.73898,175,0.47863,105,-0.3529,46,-1.6012
ENSG00000228594,FNDC10,3,-3.4200,29,0.00016,51,1.47336,50,0.89407,0,-6.4260,14,-1.0743,13,-1.2468
ENSG00000272106,AL691432.2,3,-2.9574,20,-0.0846,28,0.66718,2,-3.4005,37,0.93649,42,1.14958,2,-3.1090
ENSG00000197530,MIB2,40,0.30743,23,-0.5570,39,0.38371,32,-0.0488,23,-0.5762,25,-0.4041,36,0.14526
ENSG00000215790,SLC35E2A,3,-3.2246,13,-1.0743,40,1.08427,24,-0.0752,8,-1.6780,25,-0.0011,37,0.62348
ENSG00000008130,NADK,3,-3.1101,19,-0.3406,32,0.70110,59,1.60748,7,-1.8973,29,0.32602,0,-5.0598
ENSG00000078369,GNB1,430,0.69256,151,-0.9949,364,0.57847,223,-0.3869,259,-0.1500,189,-0.6445,212,-0.4675
ENSG00000187730,GABRD,3,-4.0948,30,-0.6983,123,3.81749,11,-2.2053,0,-7.1560,0,-6.2349,7,-2.8952
ENSG00000067606,PRKCZ,3,-4.9624,55,-0.8323,180,1.82629,27,-1.8825,42,-1.2419,90,-0.0623,85,-0.1521
ENSG00000162585,FAAP20,303,1.95352,61,-0.8289,84,-0.4173,90,-0.2197,88,-0.2576,62,-0.8061,72,-0.5766
ENSG00000157933,SKI,91,0.66698,31,-1.0460,68,0.24881,46,-0.4621,71,0.25354,66,0.11608,40,-0.6787
ENSG00000157916,RER1,144,0.98035,44,-0.9487,79,-0.0360,48,-0.8008,100,0.35919,118,0.63013,33,-1.3643
ENSG00000157911,PEX10,14,-1.1410,24,-0.3706,40,0.65350,41,0.50126,1,-4.4879,50,0.84232,21,-0.5431
ENSG00000197921,HES5,3,-3.1013,31,0.45596,39,1.26388,56,1.52404,0,-6.1716,4,-2.6335,1,-3.9973
ENSG00000157870,PRXL2B,19,-1.7994,38,-0.7735,129,2.09271,38,-0.7746,28,-1.2635,21,-1.6485,34,-0.9573
ENSG00000177133,PRDM16-DT,53,0.82611,41,0.40894,18,-1.0691,123,2.54803,4,-3.0213,6,-2.3668,6,-2.4297
ENSG00000158109,TPRG1L,320,1.84708,39,-1.6387,178,1.11413,24,-2.3399,46,-1.4065,30,-2.0598,34,-1.8639
ENSG00000130764,LRRC47,3,-4.1484,22,-1.1893,66,0.72158,56,0.24421,51,0.07583,85,0.95370,21,-1.2834
ENSG00000069424,KCNAB2,3,-5.3581,68,-0.7777,279,3.23684,37,-1.6858,1,-6.4800,22,-2.4633,43,-1.4737
ENSG00000116254,CHD5,3,-5.6802,208,0.65257,329,2.81616,14,-3.3842,33,-2.2056,12,-3.6520,8,-4.2669
ENSG00000116251,RPL22,845,0.38191,322,-1.1468,301,-1.5028,533,-0.3686,1101,0.83600,1025,0.71051,1304,1.14031
ENSG00000116237,ICMT,98,1.60992,11,-1.9403,28,-0.6753,54,0.52810,56,0.58660,24,-0.7716,26,-0.6274
ENSG00000097021,ACOT7,157,1.30467,44,-0.8130,118,1.19832,11,-2.8389,9,-3.0511,66,-0.1846,21,-1.9086
ENSG00000215788,TNFRSF25,3,-3.1827,18,-0.5271,59,2.89998,0,-6.8308,26,0.06399,0,-8.2160,0,-7.2088
ENSG00000171680,PLEKHG5,3,-3.2177,22,-0.2006,57,2.51514,0,-7.1065,25,-0.0068,0,-8.2505,8,-1.7487
ENSG00000162408,NOL9,70,1.16779,28,-0.3629,54,1.05942,1,-4.5331,23,-0.6341,26,-0.4772,6,-2.6481
ENSG00000162413,KLHL21,135,1.70200,23,-1.2697,36,-0.7072,68,0.45359,40,-0.3985,70,0.51147,20,-1.4709
ENSG00000007923,DNAJC11,3,-3.4924,26,-0.2695,64,2.12374,13,-1.3362,0,-6.5519,17,-0.9531,28,-0.1624
ENSG00000171735,CAMTA1,97,-0.8039,131,-0.3309,253,1.11797,201,0.35834,125,-0.4066,73,-1.2448,69,-1.3105
ENSG00000049245,VAMP3,278,1.60196,22,-2.4761,33,-2.1645,85,-0.4393,172,0.71695,241,1.32448,110,-0.0258
ENSG00000049246,PER3,163,1.91858,29,-1.0243,36,-0.8511,47,-0.2769,76,0.50484,59,0.07947,22,-1.4643
ENSG00000116288,PARK7,48,-2.1243,115,-0.8002,158,-0.4016,412,1.32829,185,-0.0574,272,0.58234,218,0.21619
ENSG00000142599,RERE,3,-5.0385,71,-0.3803,160,1.54556,55,-0.7735,65,-0.5137,102,0.20434,33,-1.5614
ENSG00000074800,ENO1,1706,1.78442,233,-1.5409,611,-0.0626,1017,0.80682,303,-1.1447,275,-1.2898,297,-1.1739
ENSG00000171612,SLC25A33,36,-0.2986,15,-1.5698,36,-0.3611,164,2.54315,31,-0.4877,31,-0.4987,0,-5.6161
ENSG00000171603,CLSTN1,293,-0.3986,195,-1.0316,739,1.91693,250,-0.6474,161,-1.3195,170,-1.2429,102,-2.0021
ENSG00000178585,CTNNBIP1,3,-3.3205,28,0.05373,22,-0.4305,41,0.66586,29,0.08982,44,0.80320,35,0.38375
ENSG00000162441,LZIC,10,-1.9617,18,-1.0301,19,-1.2120,89,1.62792,21,-0.7752,48,0.50328,76,1.30895
ENSG00000130939,UBE4B,3,-3.3014,25,-0.0831,47,1.46657,4,-2.7730,2,-3.5040,65,1.52763,1,-3.9530
ENSG00000054523,KIF1B,422,0.63108,151,-1.0152,376,0.61591,197,-0.6117,107,-1.5318,388,0.48639,207,-0.5302
ENSG00000142657,PGD,72,0.72592,29,-0.7296,56,0.41440,52,0.16877,36,-0.4264,49,0.07118,14,-1.8150
ENSG00000160049,DFFA,3,-3.2038,25,0.01134,22,-0.3147,50,1.17067,26,0.03583,44,0.92338,14,-0.8904
ENSG00000120948,TARDBP,58,-0.3182,26,-1.5400,95,0.66985,36,-1.0745,84,0.26140,83,0.23932,70,-0.0205
ENSG00000116649,SRM,139,0.69500,52,-0.8685,129,0.82430,93,0.02296,44,-1.1386,66,-0.5176,42,-1.2086
ENSG00000171824,EXOSC10,20,-0.1497,19,-0.2895,26,0.35707,8,-1.5619,12,-0.9526,54,1.53720,9,-1.3077
ENSG00000198793,MTOR,3,-3.2440,12,-1.2098,45,1.43318,40,0.70596,18,-0.5999,27,0.04954,0,-6.8329
ENSG00000116661,FBXO2,389,0.81607,124,-1.0240,205,-0.3205,709,1.97084,54,-2.2785,88,-1.5390,173,-0.5119
ENSG00000132879,FBXO44,3,-5.2730,72,-0.6082,243,2.68741,35,-1.7120,42,-1.4278,35,-1.7097,38,-1.5864
ENSG00000116670,MAD2L2,3,-3.0241,17,-0.4571,24,0.16772,26,0.24052,33,0.66331,44,1.17735,5,-2.1473
ENSG00000011021,CLCN6,45,-0.6640,49,-0.5250,128,1.73912,26,-1.4698,14,-2.3890,63,-0.1187,31,-1.1917
ENSG00000116685,KIAA2013,3,-3.8521,20,-1.0792,33,-0.3762,66,0.85946,73,1.03421,64,0.81153,31,-0.3580
ENSG00000116688,MFN2,44,-0.6277,39,-0.8163,78,0.41029,67,0.03702,93,0.58386,72,0.16690,38,-0.8430
ENSG00000048707,VPS13D,3,-3.4075,31,0.10290,38,0.61277,25,-0.2225,30,0.03127,39,0.47823,20,-0.5559
ENSG00000162496,DHRS3,369,2.87895,16,-2.4966,51,-1.0047,98,0.22780,103,0.31518,15,-2.6070,13,-2.8164
ENSG00000116731,PRDM2,3,-3.9640,25,-0.8493,75,1.50891,28,-0.6828,35,-0.3231,57,0.47907,11,-2.0947
ENSG00000189337,KAZN,96,0.74720,22,-1.5675,73,0.37508,17,-1.9188,34,-0.9369,124,1.19884,42,-0.5940
ENSG00000142634,EFHD2,57,-1.2301,62,-1.0828,279,2.52686,42,-1.6708,34,-2.0075,20,-2.7566,73,-0.8409
ENSG00000116786,PLEKHM2,3,-4.1092,60,0.38894,71,1.00199,13,-1.9168,54,0.22664,45,-0.0855,37,-0.3956
ENSG00000065526,SPEN,3,-3.8345,33,-0.2486,55,0.80962,22,-0.9089,14,-1.5847,76,1.14796,38,-0.0203
ENSG00000055070,SZRD1,3,-4.1455,23,-1.1792,34,-0.6793,87,0.99757,94,1.13763,66,0.50815,59,0.33701
ENSG00000157191,NECAP2,43,0.72642,10,-1.5101,20,-0.6322,59,1.26734,28,-0.0050,47,0.88494,3,-3.2385
ENSG00000159363,ATP13A2,19,-2.1086,57,-0.4523,146,1.81725,74,-0.0393,22,-1.8717,34,-1.2261,39,-1.0222
ENSG00000117118,SDHB,5,-3.4676,26,-1.0468,55,0.18868,76,0.66685,70,0.53003,95,1.05572,20,-1.4401
ENSG00000117115,PADI2,611,2.52240,29,-2.5995,39,-2.4898,40,-2.1213,93,-0.8702,379,1.48976,187,0.23571
ENSG00000179051,RCC2,3,-2.7546,27,0.62095,15,-0.3872,4,-2.0448,23,0.39263,32,0.90391,31,0.85190
ENSG00000117154,IGSF21,3,-4.5270,43,-0.5950,128,2.04626,39,-0.7467,27,-1.3163,33,-1.0036,39,-0.7626
ENSG00000159423,ALDH4A1,285,2.81552,22,-1.6819,34,-1.3028,169,1.62514,0,-7.6795,12,-2.5891,16,-2.1897
ENSG00000127463,EMC1,49,0.54812,21,-0.8135,42,0.41070,28,-0.3772,55,0.74975,25,-0.5036,11,-1.6901
ENSG00000053372,MRTO4,3,-3.0355,17,-0.3855,35,1.06891,14,-0.7703,27,0.29081,18,-0.3702,19,-0.2249
ENSG00000053371,AKR7A2,301,2.69231,23,-1.7908,28,-1.7629,126,0.88035,73,-0.0378,51,-0.6018,12,-2.7578
ENSG00000077549,CAPZB,9,-4.5827,105,-0.9876,299,1.03993,179,-0.1462,287,0.63339,157,-0.3586,134,-0.6064
ENSG00000173436,MICOS10,712,1.46584,146,-1.1669,192,-0.9248,243,-0.3761,287,-0.1119,308,-0.0007,498,0.80794
ENSG00000158747,NBL1,342,0.56953,119,-1.1081,304,0.51632,209,-0.2385,471,1.13668,45,-2.5680,86,-1.5955
ENSG00000162545,CAMK2N1,38,-3.4124,362,-0.0370,422,0.29020,203,-0.9463,196,-1.0024,710,1.11072,561,0.69359
ENSG00000158828,PINK1,235,-0.0584,124,-1.0605,315,0.60070,310,0.39967,148,-0.7852,175,-0.5254,254,0.06941
ENSG00000127483,HP1BP3,3,-5.4582,74,-0.8190,176,0.84790,125,0.01929,113,-0.1411,202,0.81747,70,-0.9053
ENSG00000075151,EIF4G3,265,1.80059,41,-1.3208,125,0.59615,21,-2.2911,30,-1.8000,101,0.07363,37,-1.4863
ENSG00000117298,ECE1,157,1.90252,16,-1.8169,34,-0.9011,11,-2.3646,123,1.41289,67,0.33067,13,-2.1827
ENSG00000076864,RAP1GAP,3,-5.7551,75,-1.0655,352,2.93409,47,-1.7550,29,-2.4790,40,-2.0146,81,-0.9417
ENSG00000090686,USP48,3,-3.5783,11,-1.6786,44,0.68808,1,-4.3007,26,-0.3585,82,1.62766,39,0.28454
ENSG00000070831,CDC42,293,0.25072,108,-1.3156,247,-0.0379,215,-0.2519,368,0.63765,331,0.45770,205,-0.3226
ENSG00000173369,C1QB,3,-3.7038,22,-0.7537,14,-1.6960,20,-0.8606,165,3.05160,24,-0.5886,44,0.35345
ENSG00000004487,KDM1A,58,0.52058,26,-0.7436,56,0.66860,36,-0.2631,46,0.12526,20,-1.1266,25,-0.7953
ENSG00000169641,LUZP1,3,-3.1871,27,0.12372,48,1.84629,22,-0.2181,22,-0.1976,3,-2.9100,2,-3.3232
ENSG00000125944,HNRNPR,14,-2.5786,53,-0.6072,101,0.63401,46,-0.8262,105,0.50681,129,0.85925,45,-0.8410
ENSG00000117318,ID3,788,2.95942,51,-1.8986,13,-4.3189,194,0.15107,462,1.70435,36,-2.4143,25,-2.9503
ENSG00000142676,RPL11,1199,0.66817,337,-1.3531,293,-1.8517,540,-0.6303,1679,1.27389,1186,0.64977,1412,0.95607
ENSG00000057757,PITHD1,204,0.91618,49,-1.3801,167,0.81883,39,-1.7216,60,-1.0656,129,0.14371,86,-0.5146
ENSG00000011009,LYPLA2,147,2.07058,26,-0.9309,65,0.78205,6,-3.0743,32,-0.5815,11,-2.1487,5,-3.2754
ENSG00000189266,PNRC2,362,2.60210,36,-1.4444,48,-1.2373,99,0.10794,94,0.02484,60,-0.6820,38,-1.3802
ENSG00000188529,SRSF10,144,1.81701,27,-0.9991,34,-0.8582,56,0.11026,63,0.31203,56,0.12571,21,-1.3758
ENSG00000001461,NIPAL3,163,1.33741,23,-1.7948,54,-0.6642,13,-2.6699,52,-0.5929,182,1.54848,83,0.15014
ENSG00000133226,SRRM1,3,-4.0766,34,-0.4926,43,-0.1284,7,-2.8432,119,1.66737,107,1.46659,16,-1.6181
ENSG00000169504,CLIC4,327,1.20678,47,-1.8827,39,-2.5137,94,-0.8608,378,1.47841,357,1.37173,139,-0.2409
ENSG00000117614,SYF2,84,0.51400,29,-1.1779,53,-0.2854,54,-0.2011,110,0.98642,53,-0.2200,62,0.00992
ENSG00000117616,RSRP1,3,-4.6853,34,-1.1308,99,0.80385,46,-0.6516,94,0.48262,108,0.70977,52,-0.4663
ENSG00000183726,TMEM50A,60,-0.6354,40,-1.2494,80,-0.2382,75,-0.2749,158,0.96088,174,1.13805,58,-0.6709
ENSG00000162430,SELENON,123,1.06603,46,-0.5597,72,0.20640,39,-0.8213,84,0.41714,53,-0.3310,29,-1.2766
ENSG00000117640,MTFR1L,63,0.21679,43,-0.3870,72,0.60679,72,0.43474,19,-1.5950,40,-0.5284,44,-0.3447
ENSG00000117632,STMN1,267,-1.1402,195,-1.6136,784,0.84350,219,-1.4377,341,-0.7610,1117,1.21243,481,-0.2222
ENSG00000158008,EXTL1,3,-3.5017,31,-0.0109,74,2.90237,0,-7.3872,4,-3.0914,10,-1.7238,10,-1.6578
ENSG00000142669,SH3BGRL3,14,-3.8757,81,-1.3142,187,-0.0105,227,0.31236,400,1.30997,193,0.04568,214,0.21552
ENSG00000198830,HMGN2,248,0.73472,46,-1.8936,92,-1.0741,194,0.31972,302,1.08922,200,0.37004,171,0.11518
ENSG00000117713,ARID1A,3,-4.1488,33,-0.6062,77,1.16993,24,-1.0668,60,0.35484,67,0.53605,17,-1.5799
ENSG00000204160,ZDHHC18,48,0.52962,21,-0.7930,68,1.89949,3,-3.4000,2,-3.7060,13,-1.4695,20,-0.8591
ENSG00000090273,NUDC,135,-0.0074,73,-0.9624,139,0.06074,134,-0.0100,196,0.61863,122,-0.1657,140,0.05103
ENSG00000142784,WDTC1,3,-3.5426,32,0.00463,36,0.29424,42,0.43692,51,0.79067,46,0.61332,4,-3.0535
ENSG00000186501,TMEM222,55,-0.8739,67,-0.5753,149,1.06893,97,0.01183,67,-0.5800,92,-0.0742,45,-1.2002
ENSG00000158195,WASF2,91,0.63705,27,-1.2791,23,-1.7990,113,1.02517,90,0.62446,103,0.85927,63,0.03323
ENSG00000126705,AHDC1,101,1.18817,34,-0.6187,64,0.57642,36,-0.5279,49,-0.0523,16,-1.6944,23,-1.2066
