dataset,Other_Oligo,marker
Sadick2022,S0,
Sadick2022,S1,OPALIN
Sadick2022,S2,RASGRF1/RBFOX1
Sadick2022,S3,
Sadick2022,S4,
Grubman2019,o1,
Grubman2019,o2,
Grubman2019,o3,RASGRF1
Grubman2019,o4,RASGRF1/RBFOX1
Grubman2019,o5,OPALIN
Grubman2019,o6,OPALIN
Jakel2019,COPs,
Jakel2019,OPCs,
Jakel2019,Oligo1,RASGRF1
Jakel2019,Oligo2,
Jakel2019,Oligo3,
Jakel2019,Oligo4,
Jakel2019,Oligo5,RASGRF1/RBFOX1
Jakel2019,Oligo6,OPALIN
Jakel2019,imOLGs,
Green2024,COP,
Green2024,MFOL,OPALIN
Green2024,OPC.1,RBFOX1
Green2024,OPC.2,
Green2024,OPC.3,
Green2024,Oli.1,
Green2024,Oli.10,
Green2024,Oli.11,
Green2024,Oli.12,RBFOX1
Green2024,Oli.2,
Green2024,Oli.3,
Green2024,Oli.4,
Green2024,Oli.5,RASGRF1/RBFOX1
Green2024,Oli.6,
Green2024,Oli.7,
Green2024,Oli.8,
Green2024,Oli.9,
Macnair2025,COP,
Macnair2025,OPC_1,
Macnair2025,OPC_2,
Macnair2025,Oligo_A,OPALIN
Macnair2025,Oligo_Astro,
Macnair2025,Oligo_B,
Macnair2025,Oligo_C,
Macnair2025,Oligo_D,RBFOX1
Macnair2025,Oligo_E,
Macnair2025,Oligo_F,
Macnair2025,Oligo_G,
