ERC_Oligo,Other_Oligo,n_gene,cor_logFC,dataset
Oligo.1,S0,72,-0.08737746685800592,Sadick2022
Oligo.1,S1,323,0.33931775427119326,Sadick2022
Oligo.1,S2,269,-0.3329747563428876,Sadick2022
Oligo.1,S3,199,-0.5719051686417044,Sadick2022
Oligo.1,S4,452,-0.27611661102275065,Sadick2022
Oligo.2,S0,72,0.3284821069153343,Sadick2022
Oligo.2,S1,323,0.22791234561297433,Sadick2022
Oligo.2,S2,269,0.308643311942769,Sadick2022
Oligo.2,S3,199,-0.6186879886106353,Sadick2022
Oligo.2,S4,452,-0.10396133710031188,Sadick2022
Oligo.3,S0,72,-0.18872138061958485,Sadick2022
Oligo.3,S1,323,-0.3332010906329764,Sadick2022
Oligo.3,S2,269,0.12329566329126895,Sadick2022
Oligo.3,S3,199,0.707184404328969,Sadick2022
Oligo.3,S4,452,0.14259461446771277,Sadick2022
Oligo.4,S0,72,-0.316300986549387,Sadick2022
Oligo.4,S1,323,0.05692494137690287,Sadick2022
Oligo.4,S2,269,-0.25918486050895584,Sadick2022
Oligo.4,S3,199,-0.07001988194928778,Sadick2022
Oligo.4,S4,452,-0.18780183695732103,Sadick2022
Oligo.5,S0,72,0.07449464240324503,Sadick2022
Oligo.5,S1,323,-0.17261305852605943,Sadick2022
Oligo.5,S2,269,0.09065700716164889,Sadick2022
Oligo.5,S3,199,0.5200080698108777,Sadick2022
Oligo.5,S4,452,0.3280746823159066,Sadick2022
Oligo.1,o1,411,-0.4213429280627007,Grubman2019
Oligo.1,o2,394,0.3170668104796637,Grubman2019
Oligo.1,o3,96,0.3034453773282191,Grubman2019
Oligo.1,o4,651,-0.6556795129195354,Grubman2019
Oligo.1,o5,95,0.7063523279348799,Grubman2019
Oligo.1,o6,212,0.511326200977686,Grubman2019
Oligo.2,o1,411,-0.39371709442079394,Grubman2019
Oligo.2,o2,394,0.3972654684978912,Grubman2019
Oligo.2,o3,96,0.2883027187844019,Grubman2019
Oligo.2,o4,651,-0.6273666914999142,Grubman2019
Oligo.2,o5,95,0.5439999434297605,Grubman2019
Oligo.2,o6,212,0.4239644473627438,Grubman2019
Oligo.3,o1,411,0.4830756503569528,Grubman2019
Oligo.3,o2,394,-0.4272964706176587,Grubman2019
Oligo.3,o3,96,-0.4272468356125149,Grubman2019
Oligo.3,o4,651,0.7524665897491022,Grubman2019
Oligo.3,o5,95,-0.6512348072415212,Grubman2019
Oligo.3,o6,212,-0.5416082132501557,Grubman2019
Oligo.4,o1,411,-0.08971311934822358,Grubman2019
Oligo.4,o2,394,0.03675171922375245,Grubman2019
Oligo.4,o3,96,0.2819310653397461,Grubman2019
Oligo.4,o4,651,-0.3349468600941101,Grubman2019
Oligo.4,o5,95,0.3584410667616508,Grubman2019
Oligo.4,o6,212,0.12368401674140088,Grubman2019
Oligo.5,o1,411,0.2299773111939779,Grubman2019
Oligo.5,o2,394,-0.2132549447697831,Grubman2019
Oligo.5,o3,96,-0.2031632039925037,Grubman2019
Oligo.5,o4,651,0.48161735710325504,Grubman2019
Oligo.5,o5,95,-0.6110250681558586,Grubman2019
Oligo.5,o6,212,-0.315531016889133,Grubman2019
OPC,COPs,205,0.5358644898505116,Jakel2019
OPC,OPCs,394,0.8054040594767388,Jakel2019
OPC,Oligo1,219,-0.05210272550176197,Jakel2019
OPC,Oligo2,35,-0.2519407887160892,Jakel2019
OPC,Oligo3,64,0.2476923514546624,Jakel2019
OPC,Oligo4,28,-0.47689324190192145,Jakel2019
OPC,Oligo5,190,0.146770785473035,Jakel2019
OPC,Oligo6,81,-0.36651311206452825,Jakel2019
OPC,imOLGs,111,-0.06307896773530544,Jakel2019
Oligo.1,COPs,205,-0.3869135403184536,Jakel2019
Oligo.1,OPCs,394,-0.7061192216490642,Jakel2019
Oligo.1,Oligo1,219,-0.1282741896390806,Jakel2019
Oligo.1,Oligo2,35,0.13705681768320735,Jakel2019
Oligo.1,Oligo3,64,-0.20416338612786772,Jakel2019
Oligo.1,Oligo4,28,0.5382444815335728,Jakel2019
Oligo.1,Oligo5,190,-0.2742693438363985,Jakel2019
Oligo.1,Oligo6,81,0.4161063314146944,Jakel2019
Oligo.1,imOLGs,111,-0.17920472512028984,Jakel2019
Oligo.2,COPs,205,-0.4487613988162573,Jakel2019
Oligo.2,OPCs,394,-0.7564728988749243,Jakel2019
Oligo.2,Oligo1,219,0.22922277403346336,Jakel2019
Oligo.2,Oligo2,35,0.16835411057465435,Jakel2019
Oligo.2,Oligo3,64,-0.2980341573586879,Jakel2019
Oligo.2,Oligo4,28,0.23544880261184203,Jakel2019
Oligo.2,Oligo5,190,0.05894248697748421,Jakel2019
Oligo.2,Oligo6,81,0.37323203111885167,Jakel2019
Oligo.2,imOLGs,111,-0.2477110616581807,Jakel2019
Oligo.3,COPs,205,-0.03968638875165827,Jakel2019
Oligo.3,OPCs,394,0.2764614331337595,Jakel2019
Oligo.3,Oligo1,219,0.14388837239237345,Jakel2019
Oligo.3,Oligo2,35,0.21185355912855192,Jakel2019
Oligo.3,Oligo3,64,-0.13340006590933787,Jakel2019
