ERC_Oligo,Other_Oligo,n_gene,best_cor_logFC,dataset,rank_cor,ERC_Oligo_next,next_cor_logFC,specificity_score
Oligo.2,COP,2987,0.12972194739796103,Green2024,5,Oligo.1,0.12564549908923373,0.032444045654450394
Oligo.5,MFOL,3189,0.2872995191384582,Green2024,5,Oligo.4,0.2792773967495491,0.028724567337983266
Oligo.3,OPC.1,2827,0.0902989993263813,Green2024,5,Oligo.5,0.07103323502363691,0.2712218343474508
Oligo.2,OPC.2,2491,-0.04831269953696699,Green2024,5,Oligo.1,-0.06618181918089504,0.27000043010432073
Oligo.2,OPC.3,2186,-0.07073791509851063,Green2024,5,Oligo.5,-0.07797964329349283,0.09286690588884113
Oligo.1,Oli.1,129,-0.5431427013124916,Green2024,5,Oligo.2,-0.548587235320325,0.009924645812537524
Oligo.2,Oli.10,12,0.519613806466914,Green2024,5,Oligo.1,0.3187063160283884,0.6303844019854004
Oligo.2,Oli.11,18,0.5041931962184405,Green2024,5,Oligo.1,0.4232305210541389,0.19129687283102395
Oligo.3,Oli.12,379,-0.27011199609183406,Green2024,5,Oligo.5,-0.3617262544670895,0.2532695850629517
Oligo.3,Oli.2,60,-0.4254945967668578,Green2024,5,Oligo.5,-0.6122458697582064,0.3050265950591093
Oligo.2,Oli.3,43,0.5526208830910678,Green2024,5,Oligo.1,0.4948069753627663,0.11684133532255771
Oligo.2,Oli.4,512,0.34003558047751486,Green2024,5,Oligo.1,0.3371318500923267,0.008613040815909084
Oligo.2,Oli.5,480,0.23502489270688257,Green2024,5,Oligo.5,0.07038230262812799,2.339261205315495
Oligo.3,Oli.6,109,0.06774795293742349,Green2024,5,Oligo.5,-0.07091221192119146,1.95537779885805
Oligo.5,Oli.7,223,-0.3691597777507583,Green2024,5,Oligo.3,-0.3812712686802169,0.0317660729364237
Oligo.5,Oli.8,179,-0.3145134226973797,Green2024,5,Oligo.3,-0.3224749453364057,0.024688809949934377
Oligo.2,Oli.9,16,0.70867081392709,Green2024,5,Oligo.1,0.6140569535834529,0.15407994289698837
Oligo.3,o1,411,0.4830756503569528,Grubman2019,5,Oligo.5,0.2299773111939779,1.1005361261463538
Oligo.2,o2,394,0.3972654684978912,Grubman2019,5,Oligo.1,0.3170668104796637,0.252939302908752
Oligo.1,o3,96,0.3034453773282191,Grubman2019,5,Oligo.2,0.2883027187844019,0.052523467720542553
Oligo.3,o4,651,0.7524665897491022,Grubman2019,5,Oligo.5,0.48161735710325504,0.5623743178088558
Oligo.1,o5,95,0.7063523279348799,Grubman2019,5,Oligo.2,0.5439999434297605,0.2984419143162682
Oligo.1,o6,212,0.511326200977686,Grubman2019,5,Oligo.2,0.4239644473627438,0.20605914990837784
Oligo.3,COPs,205,-0.03968638875165827,Jakel2019,5,Oligo.5,-0.3452628804859859,0.8850545743701251
Oligo.3,OPCs,394,0.2764614331337595,Jakel2019,5,Oligo.5,-0.5592673741614392,1.4943278401467337
Oligo.2,Oligo1,219,0.22922277403346336,Jakel2019,5,Oligo.3,0.14388837239237345,0.593059746401113
Oligo.5,Oligo2,35,0.3683686522986031,Jakel2019,5,Oligo.3,0.21185355912855192,0.7387890664375312
Oligo.3,Oligo3,64,-0.13340006590933787,Jakel2019,5,Oligo.1,-0.20416338612786772,0.3466014233042291
Oligo.4,Oligo4,28,0.5706850085649227,Jakel2019,5,Oligo.1,0.5382444815335728,0.06027098863869418
Oligo.2,Oligo5,190,0.05894248697748421,Jakel2019,5,Oligo.3,0.03279083024257088,0.7975295697442205
Oligo.1,Oligo6,81,0.4161063314146944,Jakel2019,5,Oligo.4,0.3844800442523598,0.0822572917245508
Oligo.3,imOLGs,111,0.547861224432464,Jakel2019,5,Oligo.5,0.22910086606074084,1.391353790374634
Oligo.2,S0,72,0.3284821069153343,Sadick2022,5,Oligo.5,0.07449464240324503,3.409472900577685
Oligo.1,S1,323,0.33931775427119326,Sadick2022,5,Oligo.2,0.22791234561297433,0.48880813524424094
Oligo.2,S2,269,0.308643311942769,Sadick2022,5,Oligo.3,0.12329566329126895,1.5032779231954159
Oligo.3,S3,199,0.707184404328969,Sadick2022,5,Oligo.5,0.5200080698108777,0.35994890345868236
Oligo.5,S4,452,0.3280746823159066,Sadick2022,5,Oligo.3,0.14259461446771277,1.3007508631414089
