Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000183726,TMEM50A,116,0.59934,118,0.71548,61,-0.4798,54,-0.6198,85,0.08254,82,0.03564,63,-0.3770,44,-0.9328
ENSG00000204178,MACO1,28,0.16306,22,-0.2421,24,-0.0951,16,-0.6463,32,0.41054,28,0.21887,30,0.30209,21,-0.2756
ENSG00000117643,MAN1C1,10,-1.8999,104,2.14120,33,-0.2175,20,-0.9655,21,-0.8906,26,-0.5969,17,-1.1988,20,-0.9660
ENSG00000162430,SELENON,54,1.06441,37,0.47847,21,-0.5112,26,-0.1623,15,-0.9723,19,-0.6402,36,0.38988,26,-0.1142
ENSG00000117640,MTFR1L,33,-0.9626,72,0.26367,75,0.35064,58,-0.0943,60,-0.0464,58,-0.1049,66,0.09724,53,-0.2416
ENSG00000117632,STMN1,953,-0.7522,1182,-0.4598,1846,0.31991,1879,0.31346,1964,0.38504,2102,0.56348,1015,-0.6551,930,-0.7881
ENSG00000158008,EXTL1,6,-2.6835,36,-0.0102,38,0.06599,36,-0.0266,59,0.76131,51,0.60446,23,-0.6833,28,-0.4167
ENSG00000175087,PDIK1L,10,-0.4384,8,-0.7426,15,0.30180,17,0.47049,23,0.93687,12,-0.1312,9,-0.5595,12,-0.1169
ENSG00000142684,ZNF593,22,-0.2129,23,-0.1689,22,-0.2071,40,0.74870,18,-0.5543,27,0.11368,26,0.02611,28,0.15588
ENSG00000142669,SH3BGRL3,198,-0.2989,192,-0.3822,207,-0.2554,301,0.36855,282,0.26109,300,0.40950,229,-0.0732,227,-0.0848
ENSG00000158062,UBXN11,11,-1.0317,18,-0.2479,27,0.42546,16,-0.4107,20,-0.1258,24,0.24357,20,-0.1231,28,0.44189
ENSG00000117682,DHDDS,7,-1.2826,12,-0.5300,18,0.17999,23,0.59533,33,1.19579,16,0.03145,13,-0.3175,8,-0.9555
ENSG00000198830,HMGN2,257,1.39943,87,-0.4207,91,-0.3418,119,0.10092,91,-0.3274,67,-0.8553,180,0.77375,90,-0.3309
ENSG00000117713,ARID1A,66,0.13284,58,-0.0868,56,-0.1377,81,0.46426,65,0.11457,63,0.07477,57,-0.0992,44,-0.4975
ENSG00000060642,PIGV,4,-1.0980,7,-0.5452,8,-0.2896,14,0.58864,15,0.68435,9,-0.1265,18,1.01636,6,-0.5770
