Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000177133,PRDM16-DT,4,-1.9747,10,-0.9757,17,-0.1087,20,0.15991,9,-0.9914,5,-1.9462,75,2.59578,24,0.48973
ENSG00000158109,TPRG1L,41,-2.0033,156,0.03434,156,0.03272,158,0.04756,216,0.55395,200,0.48087,103,-0.6110,144,-0.1024
ENSG00000116213,WRAP73,23,0.81267,11,-0.3537,6,-1.1918,22,0.76142,23,0.77840,15,0.10054,13,-0.0452,6,-1.2007
ENSG00000130764,LRRC47,48,-0.8691,96,0.24545,73,-0.2322,86,0.05369,105,0.37045,109,0.47337,67,-0.3412,58,-0.5713
ENSG00000116198,CEP104,41,1.47369,13,-0.4167,12,-0.5592,31,0.98464,10,-0.7379,16,-0.1318,13,-0.4155,9,-0.9644
ENSG00000198912,C1orf174,10,-0.1446,10,-0.1759,10,-0.3203,14,0.34021,13,0.12577,14,0.39667,14,0.24835,7,-0.6909
ENSG00000196581,AJAP1,18,-1.3288,69,0.87899,33,-0.4508,34,-0.3682,60,0.52779,57,0.51488,12,-1.9311,32,-0.4710
ENSG00000131697,NPHP4,5,-1.0312,14,0.74185,9,-0.1203,13,0.53603,14,0.62317,8,-0.2815,5,-0.8466,4,-1.0747
ENSG00000069424,KCNAB2,20,-3.1105,226,0.57174,131,-0.4014,204,0.34226,183,0.16048,180,0.15027,150,-0.1528,187,0.19723
ENSG00000116254,CHD5,15,-2.9553,84,-0.4154,181,0.99707,118,0.15181,143,0.47229,107,-0.0025,51,-1.1440,106,-0.0066
ENSG00000116251,RPL22,1122,1.34655,386,-0.4537,387,-0.4471,545,0.12788,399,-0.3631,380,-0.4779,628,0.35846,529,0.08041
ENSG00000116237,ICMT,22,-0.6517,52,0.81023,26,-0.4358,46,0.48502,31,-0.1495,32,-0.0950,27,-0.3435,25,-0.4567
ENSG00000158292,GPR153,1,-2.5891,15,0.83086,18,1.21154,1,-2.6398,3,-1.6298,5,-1.0089,7,-0.3937,15,0.74235
ENSG00000097021,ACOT7,70,-2.0725,307,0.20185,286,0.07542,226,-0.3053,290,0.08543,455,0.95560,149,-0.9463,188,-0.5926
ENSG00000215788,TNFRSF25,1,-3.2009,27,1.38235,8,-0.7231,11,-0.2920,18,0.52112,10,-0.3726,14,0.12427,8,-0.6996
ENSG00000171680,PLEKHG5,1,-4.5962,44,1.24851,23,-0.0070,11,-1.0373,15,-0.6484,26,0.18566,15,-0.6286,25,0.15700
ENSG00000162408,NOL9,20,-0.4705,27,-0.0065,34,0.39410,17,-0.7363,27,0.01091,30,0.21739,33,0.30653,18,-0.5979
ENSG00000162413,KLHL21,36,0.36482,32,0.19708,34,0.29365,25,-0.2066,30,0.06091,24,-0.2653,26,-0.1467,17,-0.7608
ENSG00000116273,PHF13,14,-0.2974,19,0.18146,19,0.16978,26,0.71706,19,0.21666,14,-0.3603,15,-0.1913,9,-0.9225
ENSG00000041988,THAP3,27,0.33412,28,0.43960,19,-0.2685,21,-0.0680,14,-0.6667,24,0.18039,23,0.10146,13,-0.7446
ENSG00000007923,DNAJC11,13,-1.1256,23,-0.2760,27,0.02322,30,0.18924,40,0.65937,33,0.36223,19,-0.5295,27,0.00455
ENSG00000171735,CAMTA1,88,-1.0870,123,-0.6223,207,0.26569,295,0.82233,238,0.46764,182,0.04092,171,-0.0604,142,-0.3502
ENSG00000049245,VAMP3,158,2.99054,14,-1.3133,15,-1.2621,40,0.36450,26,-0.3190,9,-2.0210,37,0.24610,15,-1.1163
ENSG00000049246,PER3,24,0.16413,23,0.07352,34,0.83202,12,-0.8698,12,-0.8408,16,-0.4570,28,0.38458,16,-0.4848
ENSG00000116288,PARK7,284,-0.4792,372,-0.0668,415,0.12688,477,0.33900,326,-0.2692,386,-0.0010,467,0.30327,350,-0.1568
ENSG00000116285,ERRFI1,16,-0.1920,17,-0.1273,15,-0.2821,22,0.27277,27,0.65749,23,0.44789,8,-1.2463,16,-0.2243
ENSG00000162426,SLC45A1,14,-0.9532,36,0.48695,29,0.11522,17,-0.7279,19,-0.5323,43,0.83711,13,-1.1565,21,-0.3947
ENSG00000142599,RERE,77,-0.3738,110,0.22252,106,0.14904,114,0.24571,102,0.07638,82,-0.2885,111,0.20850,70,-0.5040
ENSG00000074800,ENO1,431,-0.5469,552,-0.1782,516,-0.2927,754,0.33462,795,0.42297,598,-0.0400,900,0.62586,515,-0.2692
ENSG00000171612,SLC25A33,14,-1.3706,31,-0.1928,38,0.13234,27,-0.3959,20,-0.8647,29,-0.3381,91,1.62234,37,0.09563
ENSG00000188807,TMEM201,12,0.18592,11,0.06281,12,0.24182,8,-0.3450,7,-0.4640,13,0.42489,10,-0.0763,5,-1.1057
ENSG00000171608,PIK3CD,1,-2.5716,1,-3.5178,14,0.66747,18,1.00727,9,-0.1183,16,1.01882,10,0.11493,4,-1.1320
ENSG00000171603,CLSTN1,155,-2.1875,848,0.46522,576,-0.2274,603,-0.1344,1126,0.88540,826,0.41659,437,-0.6332,400,-0.7675
ENSG00000178585,CTNNBIP1,51,0.46419,17,-1.3352,49,0.45591,31,-0.3252,43,0.18682,43,0.21781,41,0.14648,35,-0.1420
ENSG00000162441,LZIC,72,1.36790,19,-0.8589,26,-0.3631,42,0.43797,31,-0.0339,27,-0.2592,29,-0.1494,32,-0.0019
ENSG00000130939,UBE4B,26,-0.5068,20,-0.9804,30,-0.2968,56,0.71987,47,0.43873,47,0.48905,38,0.10317,33,-0.1189
ENSG00000054523,KIF1B,274,0.17076,175,-0.5802,243,-0.0216,300,0.31747,374,0.68002,217,-0.2161,298,0.30676,190,-0.4038
ENSG00000142657,PGD,36,-0.4266,35,-0.4910,39,-0.3298,93,1.10920,86,0.97187,46,-0.0500,33,-0.5566,32,-0.5927
ENSG00000175279,CENPS,6,-0.6991,11,0.31322,15,0.94194,5,-0.9160,6,-0.6081,8,-0.1448,8,-0.2130,7,-0.4603
ENSG00000241563,CORT,3,-5.1892,49,-1.4191,94,-0.3581,821,4.14368,6,-4.3361,35,-1.9105,26,-2.2393,67,-0.8476
ENSG00000160049,DFFA,60,0.92308,25,-0.4840,26,-0.4585,35,0.04542,37,0.13509,28,-0.3254,53,0.73089,29,-0.2245
ENSG00000142655,PEX14,24,0.06375,28,0.36229,17,-0.5116,25,0.10407,17,-0.4200,33,0.64337,14,-0.7932,17,-0.4205
ENSG00000120948,TARDBP,62,0.30005,61,0.30904,46,-0.1798,59,0.20306,40,-0.3849,55,0.12016,51,-0.0155,29,-0.8787
ENSG00000116649,SRM,47,-0.9849,101,0.22317,105,0.28308,97,0.13232,65,-0.5062,91,0.02879,99,0.16319,82,-0.1432
ENSG00000171824,EXOSC10,24,0.27549,21,0.03989,18,-0.2276,16,-0.3792,29,0.52581,18,-0.2134,23,0.18422,20,-0.0798
ENSG00000198793,MTOR,16,-1.2590,42,0.26597,25,-0.5896,50,0.50179,47,0.42279,43,0.31300,27,-0.4252,37,0.02701
ENSG00000120942,UBIAD1,27,1.60763,9,-0.1266,6,-0.7423,3,-1.8753,11,0.16309,9,-0.1597,15,0.59087,6,-0.7532
ENSG00000116661,FBXO2,172,-0.1915,252,0.47058,169,-0.2473,134,-0.5806,103,-0.9794,197,0.02706,279,0.58396,215,0.15894
ENSG00000132879,FBXO44,34,-1.9053,144,0.32693,140,0.27879,109,-0.1510,119,-0.0087,167,0.60907,67,-0.9046,88,-0.4826
ENSG00000116670,MAD2L2,43,1.17504,34,0.89532,10,-1.1870,17,-0.3295,11,-0.9413,15,-0.5817,24,0.17421,19,-0.1912
ENSG00000177674,AGTRAP,30,2.15473,3,-1.4751,2,-1.7967,3,-1.2522,8,-0.0224,4,-1.3109,23,1.67748,10,0.20417
ENSG00000177000,MTHFR,11,-0.2876,14,0.11304,10,-0.3935,18,0.44740,12,-0.1117,17,0.44401,9,-0.6268,13,-0.0485
