Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000237491,LINC01409,11,-0.6593,9,-0.8536,20,0.58536,27,0.87004,9,-0.8879
ENSG00000228794,LINC01128,42,0.33865,38,0.09544,41,0.32191,26,-0.5127,14,-1.3965
ENSG00000188976,NOC2L,49,-0.2372,86,0.71368,63,0.28889,29,-1.0133,45,-0.3517
ENSG00000188290,HES4,93,-0.3199,130,0.26210,97,-0.2970,168,0.70604,112,0.01147
ENSG00000187608,ISG15,60,-0.0319,67,0.16204,64,0.12323,50,-0.3013,57,-0.1055
ENSG00000188157,AGRN,34,-0.7692,41,-0.3689,58,0.28447,89,0.93964,41,-0.3703
ENSG00000131591,C1orf159,14,-0.1421,17,0.24160,15,0.06128,15,-0.0308,14,-0.1250
ENSG00000078808,SDF4,73,-0.4059,92,0.03504,98,0.17797,123,0.51590,70,-0.4054
ENSG00000176022,B3GALT6,44,-0.0151,54,0.31231,48,0.17932,37,-0.2984,33,-0.4838
ENSG00000160087,UBE2J2,49,-0.2103,64,0.26206,62,0.27881,38,-0.5928,54,-0.0360
ENSG00000162572,SCNN1D,17,-0.3529,28,0.48725,22,0.14758,22,0.04038,17,-0.3816
ENSG00000131584,ACAP3,112,-0.5015,130,-0.1991,167,0.31473,187,0.41011,131,-0.1815
ENSG00000169972,PUSL1,15,0.19885,14,0.03330,14,0.09970,8,-0.8568,14,0.08119
ENSG00000127054,INTS11,57,-0.3394,50,-0.5118,74,0.18917,90,0.46550,71,0.05797
ENSG00000224051,CPTP,21,-0.8371,38,0.16376,37,0.15857,47,0.52603,37,0.10399
ENSG00000107404,DVL1,75,-0.1224,64,-0.3598,79,-0.0455,107,0.48298,84,0.08200
ENSG00000175756,AURKAIP1,251,0.41317,182,-0.1856,185,-0.2154,216,0.09263,176,-0.2371
ENSG00000221978,CCNL2,49,-0.6469,70,-0.0193,85,0.43527,95,0.48694,49,-0.5984
