Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to9,Feature log2 fold change topic 2to9
ENSG00000188290,HES4,16,-4.1158,288,4.11585
ENSG00000131584,ACAP3,16,-3.6884,214,3.68840
ENSG00000175756,AURKAIP1,760,1.50705,267,-1.5070
ENSG00000179403,VWA1,16,-3.9725,261,3.97251
ENSG00000160075,SSU72,16,-3.7080,217,3.70801
ENSG00000078369,GNB1,16,-4.4425,361,4.44256
ENSG00000067606,PRKCZ,16,-5.2825,647,5.28258
ENSG00000069424,KCNAB2,16,-3.6247,205,3.62477
ENSG00000116254,CHD5,16,-4.2821,323,4.28218
ENSG00000116251,RPL22,16,-5.8938,989,5.89386
ENSG00000171735,CAMTA1,24,-4.8305,697,4.83056
ENSG00000116288,PARK7,637,1.32923,253,-1.3292
ENSG00000074800,ENO1,16,-5.0829,563,5.08292
ENSG00000171603,CLSTN1,16,-5.1854,605,5.18540
ENSG00000054523,KIF1B,16,-4.3167,331,4.31677
ENSG00000116661,FBXO2,16,-3.8282,236,3.82829
ENSG00000132879,FBXO44,16,-3.6979,215,3.69794
ENSG00000116786,PLEKHM2,16,-3.5284,191,3.52847
ENSG00000077549,CAPZB,16,-5.5591,784,5.55915
ENSG00000173436,MICOS10,16,-4.6597,420,4.65977
ENSG00000158747,NBL1,16,-4.1190,289,4.11906
ENSG00000162545,CAMK2N1,16,-5.1777,602,5.17776
ENSG00000158828,PINK1,975,1.78312,283,-1.7831
ENSG00000127483,HP1BP3,16,-5.3292,669,5.32920
ENSG00000076864,RAP1GAP,16,-4.0210,270,4.02108
ENSG00000070831,CDC42,16,-4.4051,352,4.40518
ENSG00000142676,RPL11,25,-6.0109,1658,6.01096
ENSG00000001461,NIPAL3,16,-3.2620,159,3.26201
ENSG00000169504,CLIC4,16,-3.8359,237,3.83592
ENSG00000117632,STMN1,16,-5.1895,607,5.18953
ENSG00000142669,SH3BGRL3,16,-4.6696,423,4.66963
ENSG00000198830,HMGN2,16,-4.2312,312,4.23120
ENSG00000090273,NUDC,16,-3.4933,187,3.49334
ENSG00000126709,IFI6,16,-4.0495,275,4.04953
ENSG00000130770,ATP5IF1,16,-3.4630,183,3.46301
ENSG00000162512,SDC3,16,-4.3393,336,4.33933
ENSG00000121753,ADGRB2,16,-4.0116,268,4.01160
ENSG00000184007,PTP4A2,16,-5.2354,626,5.23548
ENSG00000175130,MARCKSL1,16,-5.3792,692,5.37929
ENSG00000121905,HPCA,16,-4.4756,370,4.47562
ENSG00000134686,PHC2,16,-3.6709,211,3.67095
ENSG00000116560,SFPQ,16,-3.6008,201,3.60085
ENSG00000020129,NCDN,16,-4.2996,327,4.29966
ENSG00000116871,MAP7D1,232,-1.6094,708,1.60944
ENSG00000197982,C1orf122,16,-5.5577,783,5.55776
ENSG00000168653,NDUFS5,16,-4.9504,514,4.95043
ENSG00000127603,MACF1,465,1.03620,226,-1.0362
ENSG00000116983,HPCAL4,16,-3.8765,244,3.87653
ENSG00000065978,YBX1,164,-1.3669,423,1.36690
ENSG00000117394,SLC2A1,275,-1.9811,1088,1.98112
ENSG00000066322,ELOVL1,16,-3.6198,204,3.61981
ENSG00000142949,PTPRF,16,-3.3077,164,3.30776
ENSG00000117408,IPO13,16,-3.5951,201,3.59519
ENSG00000117410,ATP6V0B,16,-4.8766,489,4.87663
