Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-0.9308,33,1.12973,21,0.69469,9,-0.8380,2,-3.2106
ENSG00000188976,NOC2L,31,-0.7942,85,0.89615,52,0.13586,48,-0.0449,40,-0.3169
ENSG00000188290,HES4,106,-0.2910,84,-0.6295,88,-0.8672,343,1.76322,169,0.49483
ENSG00000187608,ISG15,77,0.04515,64,-0.2441,63,-0.4767,145,1.10011,74,-0.0213
ENSG00000188157,AGRN,38,-0.5635,70,0.47662,36,-0.9221,146,1.79355,51,-0.0339
ENSG00000078808,SDF4,65,-0.3149,92,0.27195,68,-0.3672,145,1.03771,72,-0.1343
ENSG00000176022,B3GALT6,24,-0.5666,38,0.16094,44,0.84749,16,-1.1821,19,-0.9155
ENSG00000160087,UBE2J2,32,-0.6498,63,0.48483,49,0.15421,39,-0.2843,55,0.26362
ENSG00000162572,SCNN1D,14,-0.2500,9,-0.9192,20,0.74801,23,0.56038,0,-5.0992
ENSG00000131584,ACAP3,91,-0.0052,115,0.37005,106,0.47348,53,-0.8361,32,-1.6106
ENSG00000127054,INTS11,46,-0.1906,64,0.36108,49,-0.1274,66,0.42218,45,-0.2054
ENSG00000224051,CPTP,27,-0.4101,39,0.17870,33,-0.0780,24,-0.5492,60,0.91177
ENSG00000107404,DVL1,82,0.28647,54,-0.4053,70,0.01818,90,0.41122,40,-0.8771
ENSG00000175756,AURKAIP1,127,-0.2379,135,-0.1080,159,0.28937,103,-0.5297,160,0.15645
ENSG00000221978,CCNL2,37,-0.5318,80,0.74699,43,-0.4320,85,0.84846,53,0.04774
ENSG00000242485,MRPL20,128,-0.3218,139,-0.1589,184,0.57824,145,-0.0852,75,-1.1047
ENSG00000179403,VWA1,63,1.23597,10,-1.8230,18,-1.4634,45,0.46962,68,1.16518
ENSG00000197785,ATAD3A,14,-0.3982,29,0.81499,16,-0.2632,11,-0.7556,29,0.78603
ENSG00000205090,TMEM240,21,-0.9840,38,0.04369,48,0.86394,11,-1.8709,41,0.15594
ENSG00000160075,SSU72,130,-0.3460,183,0.22669,176,0.30999,152,-0.0691,113,-0.5331
ENSG00000228594,FNDC10,20,-1.1860,23,-0.8770,62,1.76241,28,-0.5569,0,-6.3264
ENSG00000272106,AL691432.2,15,-0.5653,24,0.19261,24,0.39953,25,0.24805,12,-0.8667
ENSG00000197530,MIB2,37,-0.3148,44,-0.0126,40,-0.3223,72,0.77315,58,0.42089
ENSG00000189339,SLC35E2B,13,-0.1146,18,0.35964,17,0.56005,6,-1.2590,6,-1.1584
ENSG00000215790,SLC35E2A,24,-0.4159,36,0.26123,36,0.53212,16,-0.9795,24,-0.3507
ENSG00000008130,NADK,26,-0.5564,45,0.37063,35,-0.0912,46,0.42479,41,0.22741
ENSG00000078369,GNB1,385,-0.1261,534,0.41642,461,0.33750,239,-0.8519,282,-0.6004
ENSG00000187730,GABRD,37,-1.5249,178,1.08454,128,1.13898,23,-2.1018,15,-2.7344
ENSG00000067606,PRKCZ,140,-0.4445,243,0.48645,229,0.78836,78,-1.2922,60,-1.6853
ENSG00000162585,FAAP20,78,0.54811,36,-0.7313,58,-0.0012,82,0.56301,16,-1.9061
ENSG00000157933,SKI,32,-0.1711,18,-1.0035,38,0.24460,36,0.03379,43,0.31422
ENSG00000157916,RER1,62,0.09095,96,0.82072,50,-0.4349,76,0.41929,41,-0.5376
ENSG00000157911,PEX10,41,0.33241,32,-0.0717,31,-0.2694,18,-0.9768,54,0.75692
ENSG00000149527,PLCH2,24,-0.1058,42,0.79989,30,0.50320,16,-0.7730,0,-5.7798
ENSG00000197921,HES5,56,1.16996,7,-2.0804,36,0.45887,6,-2.3175,4,-2.9958
ENSG00000157870,PRXL2B,45,-0.4555,79,0.49373,71,0.63141,28,-1.1045,31,-0.9700
ENSG00000177133,PRDM16-DT,39,0.58549,5,-2.5489,33,0.39247,23,-0.3676,17,-0.7571
ENSG00000158109,TPRG1L,95,-0.5951,220,0.81517,150,0.34611,89,-0.6521,92,-0.5898
ENSG00000130764,LRRC47,45,-0.7201,113,0.83430,77,0.39253,49,-0.5041,42,-0.7337
ENSG00000196581,AJAP1,16,-1.0499,42,0.56625,39,0.93903,6,-2.4195,22,-0.4874
ENSG00000069424,KCNAB2,199,-0.0163,246,0.32314,246,0.65032,92,-1.2069,46,-2.2372
ENSG00000116254,CHD5,72,-0.6838,123,0.21718,150,1.19890,22,-2.3552,35,-1.6975
ENSG00000116251,RPL22,739,0.32972,330,-0.9773,396,-1.0854,1429,1.43619,965,0.73454
ENSG00000116237,ICMT,24,-0.6821,58,0.78910,37,0.05982,26,-0.5010,44,0.30855
ENSG00000158292,GPR153,13,-0.6000,18,-0.0565,24,0.71121,11,-0.7811,15,-0.3466
ENSG00000097021,ACOT7,92,-1.1220,423,1.46707,214,0.54579,100,-0.9059,22,-3.1299
ENSG00000215788,TNFRSF25,15,-0.2010,23,0.55488,20,0.59530,4,-2.1391,9,-0.9406
ENSG00000171680,PLEKHG5,24,-0.3825,39,0.42860,37,0.73750,24,-0.3120,0,-5.9753
ENSG00000162408,NOL9,17,-0.9867,32,0.06224,37,0.58517,18,-0.8023,39,0.35059
ENSG00000162413,KLHL21,33,-0.1330,48,0.48959,39,0.26683,39,0.16996,7,-2.2927
ENSG00000116273,PHF13,12,-0.6680,25,0.52353,16,-0.3697,19,0.05630,35,1.04484
ENSG00000041988,THAP3,8,-1.2929,21,0.17153,27,1.27800,5,-2.0044,11,-0.7687
ENSG00000007923,DNAJC11,21,-0.9521,42,0.19200,44,0.47333,18,-1.1265,54,0.58919
ENSG00000171735,CAMTA1,164,-0.3811,159,-0.3984,244,0.56068,181,-0.1945,157,-0.4182
ENSG00000049245,VAMP3,57,1.03253,10,-1.7909,14,-1.9597,86,1.61186,59,0.90784
ENSG00000049246,PER3,36,-0.0159,28,-0.3983,33,-0.2605,52,0.61108,45,0.34864
ENSG00000116288,PARK7,297,-0.1113,294,-0.1199,331,0.13019,372,0.26096,251,-0.3683
ENSG00000116285,ERRFI1,18,-0.3033,26,0.32067,19,-0.2784,40,1.02035,16,-0.4783
ENSG00000162426,SLC45A1,23,-0.4494,82,1.73120,34,0.38372,2,-3.7980,0,-5.9938
ENSG00000142599,RERE,124,0.20297,121,0.14176,117,0.15171,54,-1.1021,102,-0.1354
ENSG00000074800,ENO1,617,0.00366,865,0.55596,630,0.06981,460,-0.4599,445,-0.5107
ENSG00000171612,SLC25A33,82,1.04979,35,-0.5099,46,-0.1304,24,-1.0393,28,-0.8548
ENSG00000171603,CLSTN1,301,-0.8859,994,1.14029,578,0.41885,364,-0.5164,201,-1.4170
ENSG00000178585,CTNNBIP1,62,1.20068,23,-0.5688,31,-0.1860,28,-0.2670,4,-3.0710
