Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,6,-2.1461,17,-0.6381,23,-0.1565,21,-0.2954,42,0.83938,35,0.64260,15,-0.7830,33,0.45121
ENSG00000188976,NOC2L,25,-1.0107,35,-0.4500,38,-0.3266,41,-0.2160,70,0.64432,44,-0.1135,49,0.07593,77,0.82389
ENSG00000188290,HES4,58,-0.6260,69,-0.3437,83,-0.0516,104,0.31975,121,0.57140,121,0.66294,43,-1.0823,53,-0.7551
ENSG00000187608,ISG15,178,-0.2361,196,-0.0825,193,-0.1041,231,0.18471,219,0.09826,287,0.64439,135,-0.6645,130,-0.7304
ENSG00000188157,AGRN,30,-0.8074,41,-0.3298,30,-0.8109,45,-0.1670,86,0.92270,68,0.61040,37,-0.4847,44,-0.1874
ENSG00000131591,C1orf159,13,0.04311,14,0.23470,5,-1.3372,13,0.12937,10,-0.3259,15,0.40576,9,-0.4628,16,0.40309
ENSG00000078808,SDF4,65,-0.2303,59,-0.3815,65,-0.2170,73,-0.0432,69,-0.1301,72,-0.0711,94,0.36933,105,0.55912
ENSG00000176022,B3GALT6,13,-1.3522,28,-0.1733,16,-1.0550,19,-0.7169,30,-0.0285,41,0.55089,43,0.53986,47,0.69288
ENSG00000160087,UBE2J2,27,-0.8415,41,-0.2152,36,-0.4280,66,0.57848,68,0.61139,39,-0.3371,62,0.47073,43,-0.1251
ENSG00000131584,ACAP3,77,-0.1567,86,0.02773,49,-0.8405,92,0.13837,90,0.09501,89,0.09289,71,-0.2700,118,0.54995
ENSG00000169972,PUSL1,6,-1.2539,10,-0.5556,14,0.00793,8,-0.8585,13,-0.1718,16,0.25182,28,1.13405,16,0.21445
ENSG00000127054,INTS11,38,-0.5570,48,-0.2023,55,0.00242,51,-0.1050,62,0.20084,66,0.34915,40,-0.4801,66,0.30293
ENSG00000224051,CPTP,9,-1.8766,26,-0.2359,19,-0.7368,22,-0.5170,47,0.71867,38,0.42024,49,0.79461,26,-0.2413
ENSG00000107404,DVL1,44,-0.5953,85,0.46353,82,0.39063,62,-0.0595,56,-0.2263,65,0.02624,60,-0.1143,60,-0.1188
ENSG00000175756,AURKAIP1,187,0.09306,189,0.11252,240,0.50364,160,-0.1606,128,-0.5074,174,-0.0240,139,-0.3813,198,0.18522
ENSG00000221978,CCNL2,46,-0.2136,46,-0.2131,33,-0.7426,42,-0.3449,75,0.59455,73,0.65414,38,-0.5207,46,-0.2161
ENSG00000242485,MRPL20,145,-0.3082,140,-0.3651,204,0.24659,234,0.47428,170,-0.0551,170,-0.0632,152,-0.2308,196,0.18394
ENSG00000235098,ANKRD65,41,0.62597,21,-0.4863,38,0.50167,31,0.15534,21,-0.4948,22,-0.4701,29,0.01856,30,0.11108
ENSG00000179403,VWA1,157,2.87317,28,-0.3784,13,-1.5863,33,-0.1430,14,-1.4635,12,-1.8376,39,0.12002,18,-1.0859
ENSG00000160072,ATAD3B,8,-0.5274,9,-0.3651,13,0.12850,8,-0.6276,21,0.92489,13,0.12234,7,-0.7841,15,0.38075
ENSG00000197785,ATAD3A,25,0.09958,12,-1.0071,21,-0.1345,19,-0.3180,30,0.41732,14,-0.8210,32,0.51865,41,0.96215
ENSG00000205090,TMEM240,20,-1.0459,30,-0.4086,37,-0.1047,39,-0.0312,38,-0.0821,51,0.50647,40,0.03734,48,0.32907
ENSG00000160075,SSU72,104,-0.7278,139,-0.2715,194,0.26832,204,0.34985,184,0.17689,152,-0.1496,172,0.06275,184,0.17429
ENSG00000228594,FNDC10,11,-1.9381,40,-0.0697,45,0.12570,35,-0.2790,53,0.39909,59,0.70568,43,0.06995,27,-0.6619
ENSG00000272106,AL691432.2,17,-0.4819,14,-0.7841,31,0.43281,19,-0.3230,22,-0.1365,21,-0.2064,33,0.50855,35,0.64397
ENSG00000197530,MIB2,35,-0.4965,57,0.29054,54,0.21068,51,0.12442,35,-0.5086,39,-0.3671,61,0.39884,59,0.33383
ENSG00000215790,SLC35E2A,18,-1.6151,50,-0.0551,59,0.23051,66,0.40982,61,0.28696,47,-0.1513,52,0.00972,62,0.31247
ENSG00000008130,NADK,13,-1.2278,24,-0.3038,36,0.31789,43,0.61070,28,-0.0606,24,-0.3543,31,0.10218,41,0.54554
ENSG00000078369,GNB1,234,-1.0056,436,-0.0325,433,-0.0436,533,0.29763,465,0.07137,555,0.42584,396,-0.1886,396,-0.1881
ENSG00000187730,GABRD,19,-2.8642,66,-1.0613,101,-0.4056,155,0.27373,122,-0.1061,223,1.09179,127,-0.0528,140,0.11224
ENSG00000067606,PRKCZ,89,-1.2477,196,-0.0294,220,0.16265,162,-0.3319,240,0.30752,243,0.38086,189,-0.0870,210,0.08947
ENSG00000162585,FAAP20,91,0.25951,65,-0.2917,98,0.37587,86,0.15640,65,-0.2779,96,0.40501,50,-0.7099,53,-0.5953
ENSG00000157933,SKI,29,0.56090,19,-0.1290,19,-0.1112,18,-0.2045,18,-0.2168,22,0.10530,30,0.61992,9,-1.3483
ENSG00000157916,RER1,70,-0.0150,52,-0.4762,74,0.07844,81,0.22590,86,0.32296,66,-0.1122,79,0.17888,60,-0.2505
ENSG00000157911,PEX10,37,0.22307,28,-0.2211,27,-0.3031,31,-0.0772,29,-0.1660,46,0.67921,13,-1.3312,34,0.07626
ENSG00000149527,PLCH2,18,0.29139,15,0.04738,3,-2.0774,12,-0.3286,30,1.22562,24,0.98963,3,-2.1166,2,-2.8157
ENSG00000157881,PANK4,4,-1.8030,3,-1.9010,21,0.80571,13,-0.0479,13,0.01859,16,0.35895,18,0.48162,14,0.07968
ENSG00000157870,PRXL2B,25,-0.8885,41,-0.1115,59,0.47003,25,-0.8711,61,0.52699,44,0.00276,47,0.08225,52,0.25043
ENSG00000177133,PRDM16-DT,13,-0.4422,33,1.10619,38,1.33771,21,0.31123,5,-1.8532,11,-0.8217,23,0.46167,1,-3.6426
ENSG00000158109,TPRG1L,58,-1.7463,157,-0.2257,176,-0.0434,227,0.37825,222,0.33971,172,-0.0964,199,0.15796,244,0.49431
ENSG00000116213,WRAP73,9,-0.8832,12,-0.3393,10,-0.6294,10,-0.6675,25,0.83506,13,-0.2290,24,0.71243,21,0.50405
ENSG00000130764,LRRC47,49,-0.9207,59,-0.6510,109,0.34489,84,-0.0887,98,0.16146,105,0.32353,72,-0.3292,116,0.44737
ENSG00000116198,CEP104,34,1.30066,13,-0.3153,13,-0.2667,14,-0.1994,17,0.11295,14,-0.2201,8,-1.1075,16,-0.0146
ENSG00000198912,C1orf174,10,-0.2759,14,0.27541,9,-0.3675,12,0.07306,17,0.61823,13,0.17377,3,-1.8696,14,0.29131
ENSG00000196581,AJAP1,10,-1.6020,11,-1.4913,27,-0.1096,28,-0.0651,28,-0.0354,44,0.84971,38,0.46056,29,0.01241
ENSG00000069424,KCNAB2,51,-2.2526,246,0.14484,153,-0.6111,168,-0.4615,284,0.38468,309,0.61752,286,0.39402,219,-0.0459
ENSG00000116254,CHD5,40,-1.4908,89,-0.2717,88,-0.2784,102,-0.0456,144,0.51668,126,0.35326,115,0.14775,115,0.14464
ENSG00000116251,RPL22,1222,1.57515,527,0.08499,410,-0.3196,670,0.48572,295,-0.8312,304,-0.8675,406,-0.3326,361,-0.5193
ENSG00000116237,ICMT,15,-1.4595,37,-0.1043,26,-0.6763,43,0.13773,65,0.82106,66,1.01538,18,-1.2497,22,-0.9196
ENSG00000097021,ACOT7,68,-2.0924,182,-0.6166,216,-0.3447,250,-0.1102,474,0.96482,344,0.47995,220,-0.3131,314,0.26086
ENSG00000215788,TNFRSF25,2,-3.2859,12,-0.6542,16,-0.1681,22,0.27801,12,-0.6091,25,0.60705,24,0.47040,26,0.55827
ENSG00000171680,PLEKHG5,12,-1.2287,15,-0.8798,16,-0.7841,17,-0.7220,28,0.09510,27,-0.0209,45,0.86076,55,1.21668
ENSG00000162408,NOL9,18,-0.6063,19,-0.5810,34,0.35655,36,0.46512,25,-0.1455,29,0.11520,28,0.06285,26,-0.0380
ENSG00000162413,KLHL21,25,-0.5789,23,-0.7120,31,-0.2262,39,0.12041,33,-0.1464,38,0.08682,48,0.45656,51,0.55361
ENSG00000116273,PHF13,7,-1.1109,6,-1.3831,22,0.68868,13,-0.2177,14,-0.0155,18,0.40132,9,-0.6618,24,0.78843
ENSG00000041988,THAP3,19,-0.0110,18,-0.1364,18,-0.0927,10,-1.0352,18,-0.1619,32,0.93986,9,-1.2516,21,0.13517
ENSG00000007923,DNAJC11,20,-0.6935,31,-0.0088,25,-0.3258,39,0.36380,30,-0.0679,34,0.20220,23,-0.4664,42,0.51557
ENSG00000171735,CAMTA1,103,-0.6852,124,-0.3985,221,0.54293,145,-0.1563,140,-0.2143,160,0.00350,187,0.26237,195,0.33328
ENSG00000049245,VAMP3,127,3.25241,27,0.09721,8,-1.6813,9,-1.6336,5,-2.4471,12,-1.2937,16,-0.7431,15,-0.8247
ENSG00000049246,PER3,27,0.44765,14,-0.6267,34,0.80257,12,-0.8689,12,-0.8745,23,0.19710,29,0.53556,13,-0.6782
ENSG00000116288,PARK7,318,-0.1383,325,-0.1039,433,0.36744,321,-0.1231,284,-0.3185,315,-0.1733,380,0.14927,427,0.34479
ENSG00000116285,ERRFI1,21,0.09137,12,-0.7351,21,0.12318,17,-0.2831,17,-0.2599,19,-0.1290,28,0.58264,25,0.38464
ENSG00000162426,SLC45A1,15,-1.4029,28,-0.4912,42,0.11396,36,-0.1356,46,0.28331,48,0.41508,49,0.36196,37,-0.0827
ENSG00000142599,RERE,58,-0.5481,70,-0.2365,57,-0.5736,95,0.25504,82,0.00502,103,0.45277,79,-0.0494,86,0.09370
ENSG00000074800,ENO1,481,-0.5576,461,-0.6232,803,0.26628,753,0.15921,808,0.27608,609,-0.2090,806,0.27305,815,0.29047
ENSG00000171612,SLC25A33,26,-0.4255,29,-0.2778,51,0.63993,37,0.12494,26,-0.4326,33,-0.1029,54,0.74575,22,-0.7267
ENSG00000188807,TMEM201,8,-0.6214,14,0.18572,7,-0.8976,18,0.56117,17,0.49490,10,-0.4215,20,0.76094,9,-0.4963
ENSG00000171608,PIK3CD,6,-1.5586,11,-0.6221,24,0.54893,22,0.42006,24,0.52212,17,-0.0259,18,0.03306,16,-0.1448
ENSG00000171603,CLSTN1,184,-1.9922,422,-0.7366,519,-0.4121,564,-0.2794,838,0.36385,938,0.65467,601,-0.1797,1042,0.73598
ENSG00000178585,CTNNBIP1,39,-0.0955,47,0.18823,38,-0.1678,33,-0.3988,28,-0.6146,58,0.62173,35,-0.2608,41,-0.0379
ENSG00000162441,LZIC,58,1.21203,24,-0.3072,20,-0.5935,42,0.61539,17,-0.8371,32,0.20500,23,-0.3434,11,-1.4536
ENSG00000130939,UBE4B,37,-0.0493,18,-1.1289,27,-0.5441,29,-0.4190,40,0.05084,38,-0.0203,67,0.93400,51,0.45735
ENSG00000054523,KIF1B,249,-0.0582,208,-0.3461,310,0.29783,251,-0.0447,240,-0.1161,230,-0.2099,339,0.44635,267,0.05563
ENSG00000142657,PGD,30,-0.8914,32,-0.7990,51,-0.0439,54,0.04373,61,0.24007,59,0.21624,81,0.70362,48,-0.1605
ENSG00000241563,CORT,67,-0.1797,49,-0.6808,24,-1.7334,50,-0.6562,59,-0.3877,192,2.18326,17,-2.2469,27,-1.5506
ENSG00000160049,DFFA,52,0.74663,23,-0.5667,28,-0.2425,31,-0.0904,34,0.06592,41,0.39900,29,-0.2137,18,-0.9310
ENSG00000142655,PEX14,18,-0.7497,20,-0.6197,24,-0.3393,18,-0.7663,42,0.59766,36,0.37645,38,0.39876,34,0.20711
ENSG00000120948,TARDBP,51,-0.3062,52,-0.2797,63,0.01953,44,-0.5404,81,0.42751,57,-0.1765,64,0.03056,92,0.65342
ENSG00000116649,SRM,63,-0.8160,113,0.10310,88,-0.2948,86,-0.3323,153,0.61232,114,0.13528,103,-0.0397,119,0.19063
ENSG00000171824,EXOSC10,39,0.77608,16,-0.6349,16,-0.6621,21,-0.2548,17,-0.5138,23,-0.0878,20,-0.2947,43,0.96642
ENSG00000198793,MTOR,16,-1.3048,37,-0.0542,44,0.20686,41,0.09442,55,0.59011,47,0.37791,22,-0.8483,37,-0.0683
ENSG00000116661,FBXO2,396,0.51781,362,0.36291,360,0.35468,289,-0.0083,261,-0.1681,223,-0.4714,276,-0.0817,221,-0.4329
ENSG00000132879,FBXO44,52,-1.5813,96,-0.6525,167,0.23128,128,-0.1993,203,0.56034,145,0.00355,208,0.60306,160,0.15599
ENSG00000116663,FBXO6,7,-1.1821,6,-1.3037,13,-0.1510,15,0.05125,11,-0.3556,22,0.82239,20,0.52524,14,-0.0667
ENSG00000116670,MAD2L2,33,1.01719,28,0.74724,11,-0.6691,16,-0.1958,23,0.40374,10,-0.9292,17,-0.0719,12,-0.6300
ENSG00000177000,MTHFR,9,-0.8736,9,-0.7843,15,-0.0602,21,0.45111,21,0.47989,16,0.01043,23,0.64928,11,-0.5307
ENSG00000011021,CLCN6,21,-1.4119,30,-0.8469,70,0.47348,46,-0.1901,63,0.30400,68,0.51734,42,-0.3546,61,0.26417
ENSG00000116685,KIAA2013,37,-0.0605,15,-1.4708,34,-0.1663,39,0.01547,39,0.03531,53,0.62776,30,-0.3808,45,0.25767
ENSG00000083444,PLOD1,27,0.24297,20,-0.2445,23,0.04117,20,-0.1781,17,-0.4196,21,-0.1416,30,0.45064,26,0.19476
ENSG00000116688,MFN2,64,-0.5637,66,-0.5159,109,0.28083,65,-0.5342,115,0.37692,103,0.22983,104,0.21481,93,0.02775
ENSG00000116691,MIIP,27,0.47342,14,-0.5716,19,-0.1138,17,-0.2347,13,-0.6329,24,0.30492,26,0.39703,18,-0.1998
ENSG00000048707,VPS13D,28,-0.7440,31,-0.5955,47,0.06347,39,-0.2167,65,0.59715,44,-0.0585,45,-0.0235,64,0.58268
ENSG00000162496,DHRS3,53,1.34965,16,-0.5887,38,0.75716,12,-1.0275,14,-0.7855,26,0.14486,10,-1.3883,21,-0.2315
ENSG00000116731,PRDM2,48,-0.4104,37,-0.7917,88,0.58102,85,0.52274,37,-0.8175,54,-0.2394,62,-0.0054,92,0.66161
ENSG00000189337,KAZN,53,0.13393,28,-0.8840,29,-0.8245,52,0.09834,51,0.06753,67,0.59785,57,0.23828,38,-0.4135
ENSG00000142634,EFHD2,101,-0.8911,97,-0.9618,348,1.14417,154,-0.2345,14,-3.8089,13,-4.1160,317,0.97656,549,2.05321
ENSG00000116138,DNAJC16,9,-1.5028,18,-0.4235,31,0.41613,21,-0.2066,36,0.68653,23,-0.0882,21,-0.2086,33,0.55221
ENSG00000197312,DDI2,12,-0.7083,13,-0.5797,23,0.28290,29,0.67941,19,-0.0731,15,-0.4713,27,0.53446,22,0.16048
ENSG00000116786,PLEKHM2,41,-0.9822,109,0.57969,101,0.44178,64,-0.2902,96,0.36404,82,0.11674,47,-0.7809,71,-0.1337
ENSG00000065526,SPEN,44,1.03412,25,0.10451,18,-0.3973,16,-0.6198,17,-0.4653,24,0.03763,19,-0.3266,24,0.06150
ENSG00000116809,ZBTB17,22,0.32476,13,-0.5171,23,0.41065,20,0.18673,12,-0.6317,13,-0.5124,28,0.71180,17,-0.0790
ENSG00000185519,FAM131C,7,-1.8577,21,-0.2168,15,-0.7686,39,0.77947,22,-0.1478,52,1.59814,5,-2.2941,7,-1.8070
ENSG00000037637,FBXO42,5,-1.7864,11,-0.5580,11,-0.5575,25,0.66715,17,0.03681,14,-0.2698,14,-0.2486,36,1.35634
ENSG00000055070,SZRD1,55,1.33886,22,-0.2113,18,-0.4952,34,0.49358,10,-1.3729,21,-0.3274,20,-0.3676,25,0.00392
ENSG00000157191,NECAP2,34,1.69820,10,-0.3035,17,0.44721,11,-0.1775,12,-0.1324,5,-1.3919,12,-0.1122,8,-0.7290
