Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000156256,USP16,36,0.18162,27,-0.3868,37,0.18838
ENSG00000156261,CCT8,104,-0.3512,143,0.41385,116,-0.0260
ENSG00000171189,GRIK1,29,0.09972,33,0.32476,19,-0.6990
ENSG00000156299,TIAM1,61,-0.5611,96,0.49557,83,0.16881
ENSG00000142168,SOD1,710,-0.0326,766,0.13484,667,-0.1328
ENSG00000142207,URB1,13,-0.9010,26,0.68996,23,0.35659
ENSG00000159079,CFAP298,40,-0.2570,40,-0.2154,61,0.60015
ENSG00000159082,SYNJ1,78,-1.0757,219,1.43621,86,-0.6041
ENSG00000205927,OLIG2,27,0.52619,17,-0.5808,21,-0.1193
ENSG00000184221,OLIG1,122,0.33972,70,-0.8505,136,0.41020
ENSG00000142166,IFNAR1,29,-0.4559,42,0.45391,36,0.07513
ENSG00000159128,IFNGR2,43,-0.6793,70,0.47350,69,0.35692
ENSG00000142188,TMEM50B,43,-0.7675,83,0.81018,58,0.00817
ENSG00000159131,GART,8,-1.2608,16,0.39843,23,1.07246
ENSG00000159140,SON,152,-0.4378,170,-0.1050,260,0.71069
ENSG00000205758,CRYZL1,40,-0.0438,40,-0.0350,43,0.11170
ENSG00000205726,ITSN1,78,0.06758,58,-0.5082,98,0.46645
ENSG00000241837,ATP5PO,337,0.00025,335,-0.0137,341,0.01756
ENSG00000243927,MRPS6,53,-0.2954,63,0.11791,69,0.28580
ENSG00000198743,SLC5A3,18,-0.8542,35,0.70663,29,0.27533
ENSG00000159200,RCAN1,32,-0.9690,63,0.62482,62,0.52069
ENSG00000159228,CBR1,68,-0.3590,76,-0.0540,105,0.56293
ENSG00000142197,DOP1B,11,-0.7794,22,0.82653,15,0.00044
ENSG00000159256,MORC3,16,-0.0770,19,0.29411,14,-0.2990
ENSG00000185808,PIGP,20,-0.2060,33,0.87578,10,-1.2449
ENSG00000182670,TTC3,296,0.03961,291,-0.0109,285,-0.0480
ENSG00000157538,VPS26C,13,-0.4761,17,0.25324,19,0.36589
ENSG00000157540,DYRK1A,48,-0.5685,85,0.80322,50,-0.2937
ENSG00000157542,KCNJ6,46,-0.0992,43,-0.2135,59,0.39436
ENSG00000157557,ETS2,62,-0.3664,100,0.76069,51,-0.5892
ENSG00000183527,PSMG1,23,-0.5348,29,0.01917,41,0.70004
ENSG00000185658,BRWD1,115,-0.6387,187,0.52578,167,0.23498
ENSG00000205581,HMGN1,54,-0.1520,55,-0.0716,67,0.31051
ENSG00000182093,GET1,102,-0.3188,130,0.25198,125,0.14966
ENSG00000185437,SH3BGR,19,0.41558,13,-0.5510,17,0.01944
ENSG00000183036,PCP4,62,-0.2721,120,1.36748,7,-3.4804
ENSG00000157617,C2CD2,16,-0.3468,20,0.28826,19,0.14239
ENSG00000160188,RSPH1,22,0.13340,14,-0.7269,29,0.57403
ENSG00000160194,NDUFV3,172,0.47157,130,-0.2707,116,-0.4260
ENSG00000160209,PDXK,207,0.33995,166,-0.2157,159,-0.2692
ENSG00000160213,CSTB,128,0.32271,82,-0.6591,133,0.26365
ENSG00000160214,RRP1,20,-0.3936,25,0.12024,30,0.41509
ENSG00000160216,AGPAT3,71,-0.1866,71,-0.1431,96,0.43582
ENSG00000160221,GATD3A,22,-0.0107,22,0.00839,22,0.00575
ENSG00000141959,PFKL,128,-0.5933,145,-0.2053,265,0.98099
ENSG00000160226,CFAP410,35,-0.4161,45,0.19086,50,0.36157
ENSG00000142185,TRPM2,18,-0.4135,34,1.07438,10,-1.2220
ENSG00000184787,UBE2G2,37,-0.2145,43,0.14486,44,0.13685
ENSG00000184900,SUMO3,165,-0.3234,211,0.27514,199,0.12574
ENSG00000183255,PTTG1IP,43,-0.1101,29,-0.8456,74,0.95552
ENSG00000160256,FAM207A,28,-0.0527,26,-0.1361,32,0.24509
ENSG00000197381,ADARB1,32,-0.4964,48,0.45830,42,0.12809
ENSG00000223768,LINC00205,29,0.01730,37,0.50490,17,-0.8904
ENSG00000173638,SLC19A1,18,0.26641,14,-0.2999,16,-0.0387
ENSG00000142156,COL6A1,33,-0.3312,43,0.28657,40,0.12183
ENSG00000160284,SPATC1L,22,-0.0797,15,-0.7188,35,0.82683
ENSG00000160285,LSS,18,-0.5120,27,0.45116,24,0.16020
ENSG00000160294,MCM3AP,25,-0.5206,38,0.49224,32,0.11581
ENSG00000160299,PCNT,35,-0.3372,41,0.04097,51,0.43177
ENSG00000160305,DIP2A,17,-0.1702,23,0.53808,13,-0.5496
ENSG00000160307,S100B,641,0.71714,307,-0.9762,514,-0.0058
ENSG00000160310,PRMT2,148,0.07281,166,0.30743,101,-0.6090
ENSG00000183307,TMEM121B,12,-0.7117,27,1.17925,10,-0.7633
ENSG00000069998,HDHD5,18,-0.1024,20,0.17684,17,-0.0788
ENSG00000182902,SLC25A18,81,0.19250,45,-0.9718,109,0.68971
ENSG00000131100,ATP6V1E1,348,-0.6344,572,0.55228,494,0.19306
ENSG00000099968,BCL2L13,22,-0.2765,29,0.32683,24,-0.0166
ENSG00000015475,BID,29,-0.1090,40,0.60179,19,-0.8100
ENSG00000243156,MICAL3,40,-0.5124,50,0.03475,70,0.65738
ENSG00000215193,PEX26,32,-0.1129,41,0.42136,26,-0.4477
ENSG00000278558,TMEM191B,20,0.16609,22,0.25698,12,-0.7100
ENSG00000183628,DGCR6,28,0.43367,16,-0.7167,26,0.16204
ENSG00000273032,DGCR9,44,0.36830,34,-0.2418,33,-0.2823
ENSG00000070413,DGCR2,72,-0.8848,113,0.20217,163,0.90242
ENSG00000100056,ESS2,13,-0.5763,20,0.46624,18,0.22950
ENSG00000100075,SLC25A1,27,-0.0174,27,-0.0353,28,0.07231
ENSG00000100084,HIRA,13,-0.6739,25,0.93524,13,-0.3466
ENSG00000242259,C22orf39,69,0.10531,74,0.21055,50,-0.4997
ENSG00000185608,MRPL40,53,0.52907,38,-0.2900,33,-0.5049
ENSG00000070010,UFD1,19,-0.6029,33,0.64490,25,0.01574
ENSG00000184113,CLDN5,63,1.04750,28,-0.9631,34,-0.5500
ENSG00000184702,SEPTIN5,159,0.38890,108,-0.5144,142,0.02004
ENSG00000203618,GP1BB,120,0.79930,58,-0.9130,85,-0.1922
ENSG00000215012,RTL10,27,-0.0919,26,-0.2044,35,0.37482
ENSG00000184470,TXNRD2,16,-0.2182,22,0.43785,15,-0.2830
ENSG00000093010,COMT,58,0.36239,37,-0.6389,58,0.18839
ENSG00000099889,ARVCF,23,-0.5883,35,0.41127,34,0.31737
ENSG00000183597,TANGO2,17,-0.6645,29,0.64602,23,0.10350
ENSG00000099899,TRMT2A,21,-0.3879,21,-0.3420,39,0.87345
ENSG00000099901,RANBP1,89,0.21446,85,0.05367,64,-0.4463
ENSG00000099904,ZDHHC8,37,-0.5519,55,0.39982,53,0.28349
ENSG00000040608,RTN4R,84,-1.0007,165,0.58936,174,0.59968
ENSG00000128185,DGCR6L,81,-0.0082,90,0.20989,69,-0.2874
ENSG00000099910,KLHL22,38,-0.3058,56,0.59675,34,-0.3970
ENSG00000099917,MED15,35,-0.8846,65,0.61144,63,0.43792
ENSG00000241973,PI4KA,349,-0.5192,504,0.37053,493,0.27697
ENSG00000099940,SNAP29,26,-0.5094,37,0.35103,37,0.28869
ENSG00000099942,CRKL,44,-0.2988,61,0.46866,44,-0.1943
