Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,4,-2.2724,26,0.52351,26,0.52967,19,0.00719,26,0.48499,16,-0.2697,16,-0.2639,25,0.50439,7,-1.4101,18,-0.1176
ENSG00000188976,NOC2L,20,-1.1297,48,0.20845,26,-0.7275,33,-0.4008,50,0.26998,51,0.31463,59,0.52353,57,0.55105,27,-0.6603,35,-0.2750
ENSG00000188290,HES4,29,-1.0880,77,0.41874,55,-0.1119,69,0.24015,85,0.56673,37,-0.7134,31,-0.9860,57,-0.0809,93,0.72269,64,0.10339
ENSG00000187608,ISG15,76,0.72867,57,0.25996,59,0.30340,71,0.60885,57,0.24723,24,-1.0587,19,-1.4056,45,-0.1450,42,-0.2175,39,-0.3250
ENSG00000188157,AGRN,27,0.51463,22,0.16099,22,0.16202,10,-1.0408,14,-0.5244,26,0.44752,19,-0.0386,25,0.40372,14,-0.4850,13,-0.6514
ENSG00000078808,SDF4,65,0.09229,59,-0.0424,54,-0.1741,64,0.07255,44,-0.5000,92,0.66796,79,0.41730,49,-0.3806,77,0.37017,38,-0.7158
ENSG00000176022,B3GALT6,18,-0.7695,35,0.20321,34,0.17401,21,-0.5490,41,0.46770,42,0.49259,24,-0.3759,36,0.27022,28,-0.1220,21,-0.5459
ENSG00000160087,UBE2J2,22,-0.7185,45,0.41215,31,-0.1956,24,-0.5747,43,0.34761,33,-0.0590,38,0.13861,42,0.35464,32,-0.1474,30,-0.2345
ENSG00000131584,ACAP3,57,-0.0513,65,0.14779,77,0.41807,50,-0.2780,60,0.01989,47,-0.3630,76,0.40350,67,0.21868,43,-0.4837,42,-0.5250
ENSG00000169972,PUSL1,10,-0.0104,15,0.63048,14,0.53545,8,-0.3895,9,-0.2452,5,-0.9307,9,-0.1023,14,0.51136,4,-1.1967,9,-0.1457
ENSG00000127054,INTS11,41,-0.1588,56,0.33356,54,0.28310,46,0.00011,48,0.08936,45,-0.0333,53,0.23634,48,0.07811,35,-0.4052,28,-0.7615
ENSG00000224051,CPTP,16,-0.9440,60,1.17429,29,-0.0389,26,-0.1827,32,0.12839,21,-0.5160,33,0.15942,35,0.30234,17,-0.8303,21,-0.5461
ENSG00000107404,DVL1,59,0.07320,47,-0.2768,68,0.29717,60,0.09547,55,-0.0398,34,-0.7668,40,-0.5270,58,0.05585,82,0.60403,58,0.05249
ENSG00000175756,AURKAIP1,145,-0.1582,174,0.13144,163,0.03422,138,-0.2344,182,0.20302,144,-0.1651,123,-0.4039,184,0.25199,157,-0.0324,166,0.05490
ENSG00000221978,CCNL2,60,0.43618,52,0.20562,52,0.20099,41,-0.1641,45,-0.0177,35,-0.4304,57,0.34778,53,0.27570,31,-0.6157,24,-1.0108
ENSG00000224870,MRPL20-AS1,15,0.46347,11,-0.0101,10,-0.1741,11,-0.0324,6,-0.9356,10,-0.1581,15,0.51732,12,0.14509,12,0.17733,7,-0.5967
ENSG00000242485,MRPL20,180,-0.1034,194,0.01350,195,0.02553,233,0.30757,172,-0.1741,257,0.46861,148,-0.4049,188,-0.0347,154,-0.3511,204,0.09490
ENSG00000235098,ANKRD65,33,0.72006,31,0.57961,27,0.38755,15,-0.4954,23,0.10986,23,0.10090,10,-1.1750,19,-0.1659,18,-0.2514,16,-0.4743
ENSG00000179403,VWA1,229,3.14339,13,-1.8071,22,-1.0476,26,-0.7768,10,-2.1939,47,0.11789,32,-0.5057,12,-1.9976,59,0.46294,20,-1.1576
ENSG00000197785,ATAD3A,10,-0.5171,15,0.11419,18,0.45891,9,-0.6428,11,-0.2647,15,0.12890,18,0.43077,18,0.44632,9,-0.6267,10,-0.4421
ENSG00000205090,TMEM240,12,-1.6560,43,0.26783,30,-0.3193,32,-0.2087,68,1.01580,42,0.23962,27,-0.4552,39,0.11645,24,-0.6538,45,0.33894
ENSG00000160075,SSU72,90,-0.6191,135,-0.0006,175,0.42395,183,0.48869,118,-0.2075,144,0.10394,129,-0.0672,137,0.02768,108,-0.3393,126,-0.1090
ENSG00000228594,FNDC10,5,-2.5781,35,0.23428,28,-0.0824,34,0.21888,41,0.49228,39,0.40730,28,-0.0801,35,0.29289,22,-0.4929,26,-0.1903
ENSG00000272106,AL691432.2,22,0.23260,16,-0.3190,23,0.26039,13,-0.5818,10,-0.9136,17,-0.2361,32,0.83662,19,-0.0604,27,0.55033,14,-0.4671
ENSG00000197530,MIB2,20,-0.6733,29,-0.0710,29,-0.0894,31,0.01784,43,0.54850,23,-0.4283,44,0.59870,37,0.34142,14,-1.1415,28,-0.1085
ENSG00000248333,CDK11B,18,1.21190,3,-1.4483,6,-0.5943,2,-1.7872,6,-0.4810,7,-0.2706,5,-0.8623,14,0.88299,12,0.49780,7,-0.2750
ENSG00000189339,SLC35E2B,16,-0.0466,14,-0.2566,14,-0.2247,15,-0.1003,16,-0.0493,10,-0.6937,27,0.84609,13,-0.3408,29,0.92997,11,-0.5894
ENSG00000215790,SLC35E2A,19,-0.3755,26,0.12279,23,-0.0674,17,-0.5344,26,0.11935,15,-0.6722,28,0.26242,26,0.16542,25,0.08440,32,0.43433
ENSG00000008130,NADK,12,-0.9102,25,0.18467,23,0.06879,17,-0.4413,21,-0.1033,31,0.52842,26,0.22966,26,0.29902,13,-0.8632,25,0.16679
ENSG00000078369,GNB1,216,-1.0496,489,0.21639,415,-0.0457,468,0.14559,439,0.04330,481,0.18931,515,0.29895,432,0.02014,435,0.03053,376,-0.2015
ENSG00000187730,GABRD,6,-4.4696,378,1.73812,200,0.60797,136,-0.0138,154,0.18578,50,-1.5247,100,-0.4962,154,0.20687,65,-1.1368,111,-0.3353
ENSG00000067606,PRKCZ,99,-0.8625,183,0.09549,127,-0.4738,196,0.20302,197,0.21491,172,-0.0042,197,0.20987,216,0.41030,132,-0.4198,161,-0.1050
ENSG00000162585,FAAP20,66,0.67290,27,-0.7610,25,-0.8651,61,0.53592,38,-0.2298,58,0.44655,25,-0.8782,31,-0.5728,73,0.83980,46,0.09018
ENSG00000157933,SKI,43,0.47661,19,-0.7552,38,0.26648,29,-0.1405,30,-0.0820,36,0.18707,33,0.07389,21,-0.6557,39,0.34018,39,0.32954
