Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000188976,NOC2L,101,0.95035,44,-0.7253,54,-0.6845
ENSG00000188290,HES4,86,-0.4318,207,1.20348,93,-0.3211
ENSG00000187608,ISG15,93,-0.1126,165,0.89926,84,-0.3906
ENSG00000188157,AGRN,47,0.03650,64,0.53471,41,-0.3035
ENSG00000078808,SDF4,110,0.20814,83,-0.3146,98,-0.0716
ENSG00000176022,B3GALT6,46,0.27972,30,-0.4595,39,-0.0896
ENSG00000160087,UBE2J2,92,1.22042,32,-0.9670,41,-0.9001
ENSG00000131584,ACAP3,194,0.45925,118,-0.4941,147,-0.2552
ENSG00000127054,INTS11,89,0.39323,92,0.33945,61,-0.5477
ENSG00000224051,CPTP,66,0.37487,48,-0.2627,51,-0.2544
ENSG00000107404,DVL1,86,-0.4859,97,-0.1725,127,0.51073
ENSG00000175756,AURKAIP1,162,-0.2068,148,-0.3012,197,0.31321
ENSG00000221978,CCNL2,58,0.45407,83,0.92617,32,-0.9868
ENSG00000242485,MRPL20,158,-0.1411,161,-0.0702,177,0.16098
ENSG00000179403,VWA1,28,-1.2441,121,1.48488,54,0.07078
ENSG00000205090,TMEM240,104,0.59832,45,-0.9565,75,-0.2578
ENSG00000160075,SSU72,197,0.18202,143,-0.3949,182,-0.0173
ENSG00000228594,FNDC10,53,-0.0967,39,-0.5449,61,0.29761
ENSG00000197530,MIB2,48,-0.0089,35,-0.4865,51,0.19607
ENSG00000215790,SLC35E2A,27,-0.2046,28,-0.1020,32,0.23219
ENSG00000008130,NADK,39,0.20114,22,-0.7581,37,0.08030
ENSG00000078369,GNB1,406,0.28234,267,-0.4853,350,-0.0834
ENSG00000187730,GABRD,168,0.90203,37,-1.8121,103,-0.3928
ENSG00000067606,PRKCZ,261,0.54055,130,-0.7654,191,-0.2518
ENSG00000162585,FAAP20,59,-0.7017,115,0.55930,92,0.32813
ENSG00000157933,SKI,67,0.30942,38,-0.6967,58,-0.0430
ENSG00000157916,RER1,96,0.63631,54,-0.5054,63,-0.4301
ENSG00000157911,PEX10,26,-1.0716,32,-0.5126,61,1.13350
ENSG00000149527,PLCH2,42,0.61388,27,-0.2699,27,-0.4930
ENSG00000197921,HES5,63,-0.4676,35,-1.2510,100,0.83496
ENSG00000157870,PRXL2B,153,0.49794,72,-0.8762,118,-0.1784
ENSG00000177133,PRDM16-DT,34,-0.9710,70,0.42596,66,0.61280
ENSG00000158109,TPRG1L,198,0.82963,68,-1.1799,122,-0.4382
ENSG00000130764,LRRC47,75,0.46463,28,-1.2513,61,-0.0551
ENSG00000196581,AJAP1,77,1.38154,27,-0.8500,30,-1.1094
ENSG00000069424,KCNAB2,351,0.37057,145,-1.1526,303,0.01600
ENSG00000116254,CHD5,370,0.48160,145,-1.1765,295,-0.0883
ENSG00000116251,RPL22,441,-0.8019,1050,0.83690,698,0.23519
ENSG00000116237,ICMT,56,1.07123,18,-1.1197,28,-0.7023
ENSG00000158292,GPR153,42,0.67850,23,-0.5286,27,-0.4655
ENSG00000097021,ACOT7,181,0.96751,59,-1.1947,101,-0.5766
ENSG00000215788,TNFRSF25,51,1.15059,31,-0.1296,21,-1.1320
ENSG00000171680,PLEKHG5,70,0.79187,12,-2.2453,47,-0.2241
ENSG00000162408,NOL9,63,0.70648,30,-0.7363,40,-0.4284
ENSG00000162413,KLHL21,42,0.21624,42,0.15917,35,-0.2796
ENSG00000007923,DNAJC11,59,0.41759,20,-1.3975,50,0.02125
ENSG00000171735,CAMTA1,318,0.03495,303,-0.0565,313,-0.0085
ENSG00000049245,VAMP3,18,-1.7141,59,0.52206,59,1.05563
ENSG00000049246,PER3,33,-0.2864,26,-0.5536,44,0.47492
ENSG00000116288,PARK7,219,-0.7406,306,-0.0292,382,0.66351
ENSG00000162426,SLC45A1,49,1.46628,3,-3.0872,21,-0.8318
ENSG00000142599,RERE,140,-0.1069,167,0.21600,147,-0.0006
ENSG00000074800,ENO1,729,-0.2452,495,-0.7937,956,0.51195
ENSG00000171612,SLC25A33,33,-1.1043,56,-0.0067,75,0.93978
ENSG00000171603,CLSTN1,826,0.90040,358,-0.7880,464,-0.6132
ENSG00000178585,CTNNBIP1,35,0.02669,34,-0.0151,34,-0.0184
ENSG00000162441,LZIC,29,-0.7228,62,0.69160,45,0.26572
ENSG00000130939,UBE4B,47,0.52457,22,-0.8367,35,-0.2157
ENSG00000054523,KIF1B,391,0.26558,264,-0.4566,340,-0.0768
ENSG00000142657,PGD,65,0.39978,55,-0.0190,48,-0.3796
ENSG00000160049,DFFA,48,0.11225,63,0.54583,39,-0.3829
ENSG00000120948,TARDBP,89,0.56934,69,-0.0440,58,-0.5411
ENSG00000116649,SRM,136,0.01381,105,-0.4052,142,0.14659
ENSG00000198793,MTOR,49,0.29330,32,-0.4559,42,-0.1041
ENSG00000116661,FBXO2,284,-0.5391,439,0.30789,407,0.33327
ENSG00000132879,FBXO44,264,0.93717,71,-1.4964,154,-0.4824
ENSG00000116670,MAD2L2,52,0.83278,25,-0.6381,30,-0.5889
ENSG00000011021,CLCN6,102,0.72386,53,-0.5910,63,-0.4914
ENSG00000116685,KIAA2013,60,1.01216,37,-0.1898,28,-0.9495
ENSG00000083444,PLOD1,30,-0.1677,45,0.56185,31,-0.1288
ENSG00000116688,MFN2,107,0.32224,92,-0.0207,84,-0.3015
ENSG00000048707,VPS13D,55,0.47737,37,-0.3167,40,-0.3364
ENSG00000162496,DHRS3,19,-1.3127,57,0.71585,46,0.67824
ENSG00000116731,PRDM2,126,0.84437,72,-0.3730,69,-0.6937
ENSG00000189337,KAZN,27,-0.6006,30,-0.2883,44,0.65604
ENSG00000142634,EFHD2,51,0.61552,86,1.36705,20,-1.5714
ENSG00000116786,PLEKHM2,99,-0.4837,104,-0.2915,148,0.55641
ENSG00000065526,SPEN,69,0.49002,67,0.29342,44,-0.6229
ENSG00000055070,SZRD1,31,-1.0146,57,0.18168,64,0.77767
