Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,17,-2.2245,126,0.88542,94,0.39187,151,1.22051,38,-1.0353,31,-1.3469,95,0.39962,17,-2.2338,99,0.47601
ENSG00000188290,HES4,754,3.06113,76,-1.1884,44,-2.0165,114,-0.5778,44,-2.0092,311,1.09907,26,-2.7791,34,-2.3741,70,-1.3284
ENSG00000187608,ISG15,1,-5.3510,64,0.36610,32,-0.7442,17,-1.7214,78,0.69650,149,1.91893,38,-0.4619,49,-0.0726,34,-0.6583
ENSG00000078808,SDF4,185,0.91206,145,0.49178,54,-1.0757,75,-0.5800,88,-0.3319,137,0.39538,86,-0.3677,144,0.47687,57,-0.9981
ENSG00000160087,UBE2J2,26,-1.4615,107,0.78388,124,1.03272,62,-0.1300,33,-1.0935,48,-0.5255,100,0.66628,75,0.17615,29,-1.2852
ENSG00000131584,ACAP3,108,-0.6295,192,0.28473,369,1.44787,195,0.31079,135,-0.2845,93,-0.8606,87,-0.9675,178,0.16801,92,-0.8735
ENSG00000127054,INTS11,136,1.03987,112,0.69189,60,-0.3399,81,0.16339,28,-1.4732,65,-0.2023,70,-0.0935,31,-1.3342,81,0.14839
ENSG00000107404,DVL1,17,-2.5664,26,-1.9706,69,-0.4816,120,0.41211,130,0.54704,85,-0.1440,117,0.37415,147,0.75660,129,0.54018
ENSG00000175756,AURKAIP1,101,-0.3417,98,-0.3943,106,-0.2697,211,0.87530,83,-0.6519,64,-1.0426,143,0.21780,158,0.37908,164,0.44306
ENSG00000221978,CCNL2,90,0.75472,39,-0.5909,70,0.34287,54,-0.1008,40,-0.5664,73,0.41054,41,-0.5161,21,-1.5639,86,0.67837
ENSG00000242485,MRPL20,163,0.45693,116,-0.1053,127,0.04027,99,-0.3458,122,-0.0196,99,-0.3486,129,0.06637,86,-0.5637,170,0.53254
ENSG00000179403,VWA1,14,-2.1477,13,-2.3022,4,-4.0234,25,-1.3079,53,-0.1776,111,1.05335,211,2.36518,22,-1.5109,82,0.53013
ENSG00000205090,TMEM240,1,-5.9377,103,0.46215,136,0.94973,114,0.64558,55,-0.5400,53,-0.5981,88,0.19969,80,0.04639,68,-0.2068
ENSG00000160075,SSU72,66,-1.6709,332,0.89594,259,0.46800,266,0.51165,146,-0.4633,154,-0.3751,165,-0.2722,142,-0.5047,227,0.24550
ENSG00000228594,FNDC10,60,0.13231,54,-0.0212,66,0.28883,110,1.17265,50,-0.1506,5,-3.4461,58,0.06863,31,-0.9108,63,0.21541
ENSG00000197530,MIB2,1,-5.2189,66,0.58177,74,0.76909,60,0.40635,48,0.03441,66,0.57318,12,-2.0174,22,-1.1883,71,0.70288
ENSG00000078369,GNB1,435,0.07683,587,0.57554,277,-0.6430,454,0.14740,321,-0.4091,398,-0.0696,312,-0.4539,434,0.07108,518,0.36434
ENSG00000187730,GABRD,1,-6.6604,284,0.93477,302,1.04965,267,0.82907,70,-1.3072,80,-1.1138,178,0.14161,106,-0.6825,180,0.15935
ENSG00000067606,PRKCZ,275,0.42799,280,0.45837,256,0.30626,265,0.36316,227,0.11066,99,-1.1931,126,-0.8225,230,0.12751,153,-0.5201
ENSG00000162585,FAAP20,136,1.03750,4,-4.0648,63,-0.2677,106,0.58835,72,-0.0444,97,0.43846,88,0.28624,26,-1.6018,74,0.00338
ENSG00000157933,SKI,112,0.39875,97,0.16267,77,-0.2024,136,0.73068,74,-0.2778,67,-0.4309,104,0.27070,76,-0.2311,48,-0.9597
ENSG00000157916,RER1,158,1.31078,124,0.86347,72,-0.0546,51,-0.5875,52,-0.5538,71,-0.0623,86,0.24010,15,-2.3941,37,-1.0605
ENSG00000197921,HES5,10,-3.9712,18,-3.0900,49,-1.6235,72,-1.0512,73,-1.0267,161,0.22087,365,1.69060,209,0.65858,310,1.37242
ENSG00000157870,PRXL2B,59,-1.0105,222,1.15557,168,0.65786,130,0.22979,91,-0.3457,93,-0.3089,103,-0.1459,119,0.08600,31,-1.9496
ENSG00000177133,PRDM16-DT,8,-2.5949,14,-1.8356,6,-2.8926,14,-1.8131,38,-0.3047,48,0.07070,141,2.02652,96,1.25022,50,0.13123
ENSG00000158109,TPRG1L,164,0.08008,269,0.91356,159,0.02788,137,-0.2109,96,-0.7721,104,-0.6404,191,0.32477,129,-0.3048,158,0.02021
ENSG00000130764,LRRC47,1,-5.6702,108,0.87175,84,0.43706,63,-0.0154,42,-0.6523,79,0.34752,73,0.22074,30,-1.1570,96,0.66574
ENSG00000196581,AJAP1,60,0.32206,56,0.21885,89,0.98745,60,0.30978,19,-1.4893,25,-1.0313,21,-1.2917,84,0.88813,30,-0.7682
ENSG00000069424,KCNAB2,218,-0.6171,562,0.94414,485,0.68497,343,0.10519,172,-0.9787,217,-0.6209,175,-0.9579,388,0.30904,334,0.06377
ENSG00000116254,CHD5,74,-2.1591,432,0.58682,601,1.17453,436,0.60218,285,-0.1014,148,-1.1239,272,-0.1760,289,-0.0785,194,-0.7076
ENSG00000116251,RPL22,403,0.01812,302,-0.4456,288,-0.5194,435,0.13914,572,0.60007,534,0.48334,317,-0.3658,418,0.07594,321,-0.3471
ENSG00000097021,ACOT7,74,-1.1315,280,1.01883,207,0.49320,233,0.69239,102,-0.6478,58,-1.5094,271,0.95907,65,-1.3356,93,-0.7853
ENSG00000171680,PLEKHG5,1,-5.4501,135,1.58546,53,-0.0486,87,0.76599,50,-0.1526,49,-0.1674,42,-0.4356,34,-0.7572,43,-0.4001
ENSG00000162408,NOL9,1,-5.6634,23,-1.5789,37,-0.8364,147,1.45483,69,0.13642,98,0.71637,63,-0.0076,87,0.50256,48,-0.4369
ENSG00000007923,DNAJC11,1,-5.5803,109,1.01135,76,0.39029,50,-0.3033,76,0.37690,34,-0.9065,116,1.11401,19,-1.7907,61,0.03314
ENSG00000171735,CAMTA1,222,-0.1755,238,-0.0620,286,0.23853,275,0.17422,163,-0.6598,196,-0.3713,357,0.60693,189,-0.4300,301,0.32049
ENSG00000049245,VAMP3,36,-0.4524,0,-7.4268,38,-0.3533,12,-2.0718,68,0.58112,154,2.15096,43,-0.1677,55,0.23029,23,-1.1018
ENSG00000116288,PARK7,151,-0.4496,133,-0.6457,132,-0.6636,201,0.00961,171,-0.2560,180,-0.1697,256,0.40721,257,0.41225,320,0.78953
ENSG00000142599,RERE,42,-1.8031,110,-0.3305,177,0.44580,220,0.81889,75,-0.9292,120,-0.1934,157,0.23996,149,0.15134,168,0.35907
ENSG00000074800,ENO1,240,-1.7068,709,-0.0337,364,-1.0759,748,0.05439,486,-0.6308,733,0.02130,1251,0.92738,835,0.23310,1147,0.77289
ENSG00000171603,CLSTN1,243,-1.2962,1126,1.20490,585,0.07355,871,0.74443,320,-0.8775,240,-1.3163,596,0.10515,279,-1.0907,770,0.53146
ENSG00000162441,LZIC,4,-3.8647,5,-3.4423,69,0.41768,30,-0.9190,48,-0.1810,68,0.39102,141,1.72038,50,-0.1005,67,0.36600
ENSG00000130939,UBE4B,70,0.62918,92,1.09382,75,0.73405,55,0.21919,50,0.06634,31,-0.7064,15,-1.7720,9,-2.5552,37,-0.4243
ENSG00000054523,KIF1B,357,-0.3292,405,-0.1282,467,0.10311,536,0.33041,394,-0.1703,454,0.05748,468,0.10692,423,-0.0584,441,0.00982
ENSG00000142657,PGD,1,-5.2147,58,0.35674,84,1.00122,71,0.68926,43,-0.1206,47,0.01048,38,-0.3176,51,0.15845,26,-0.9131
ENSG00000160049,DFFA,1,-4.9478,2,-3.9200,59,0.66146,30,-0.4370,58,0.63618,50,0.38790,54,0.50954,56,0.55925,46,0.23604
ENSG00000120948,TARDBP,101,0.52779,79,0.11860,43,-0.8404,43,-0.8390,84,0.22917,139,1.09016,19,-2.0775,41,-0.8910,111,0.68514
ENSG00000116649,SRM,86,-0.5350,200,0.84334,133,0.15507,172,0.58990,97,-0.3549,119,-0.0249,79,-0.6730,107,-0.1999,95,-0.3812
ENSG00000116661,FBXO2,22,-3.6805,261,-0.0022,251,-0.0706,235,-0.1718,253,-0.0569,245,-0.1037,238,-0.1548,550,1.28425,300,0.22305
