"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"CHRM3","GO:0097060","synaptic membrane","26/178","68/954",0.382352941176471,2.04923992068738,4.29771876065443,6.57214276391722e-05,0.0146558783635354,0.0132826464281274,"ABHD17B/ADCY8/ATP2B2/BAIAP2/CACNA1C/CACNA2D3/CRYAB/DGKB/ERC2/FARP1/GABRB3/GPM6A/GRIP1/GRM5/GRM7/HCN1/KCNJ3/KCNQ5/LRFN5/NRCAM/NRXN1/NTRK3/SORCS3/SYNE1/TENM2/UTRN",26,"CC"
"CHRM3","GO:0098978","glutamatergic synapse","28/178","83/954",0.337349397590361,1.80804115337756,3.68798409479355,0.000435514028591043,0.0352403486054502,0.0319383853304057,"ABHD17B/ABTB3/ADCY8/ATP2B2/BAIAP2/BIN1/CBLN2/CPNE4/ERC2/FARP1/GPM6A/GRM5/HCN1/LGI1/LRFN5/LRRK2/NRCAM/NRG3/NRXN1/NTRK3/PAK3/PCLO/PLCB1/PLEKHA5/SLC6A17/SORCS3/TENM4/TRIO",28,"CC"
"CHRM3","GO:0098794","postsynapse","32/178","100/954",0.32,1.71505617977528,3.6177355691235,0.000487427581078273,0.0352403486054502,0.0319383853304057,"ABHD17B/ABLIM1/ADCY8/ATP2B2/BAIAP2/CACNA1C/CRYAB/DGKB/FARP1/GABRB3/GPM6A/GRIP1/GRM5/GRM7/HCN1/KALRN/LRFN5/LRRK2/NRCAM/NTRK3/PAK3/PCLO/PLCB1/PLEKHA5/PTCHD1/SLC4A10/SLC6A17/SORCS3/SYNE1/TENM2/TRIO/UTRN",32,"CC"
"CHRM3","GO:0045211","postsynaptic membrane","17/178","42/954",0.404761904761905,2.169341894061,3.71017441570557,0.000632113876330946,0.0352403486054502,0.0319383853304057,"ABHD17B/ATP2B2/CACNA1C/DGKB/FARP1/GABRB3/GRIP1/GRM5/GRM7/HCN1/LRFN5/NRCAM/NTRK3/SORCS3/SYNE1/TENM2/UTRN",17,"CC"
"CHRM3","GO:0045202","synapse","55/178","206/954",0.266990291262136,1.43094796552853,3.34374566927116,0.00081021694571164,0.0361356757787391,0.0327498218056073,"ABHD17B/ABLIM1/ABTB3/ADCY8/ATP2B2/BAIAP2/BIN1/CACNA1B/CACNA1C/CACNA2D3/CACNB2/CBLN2/CNP/CPNE4/CRYAB/DGKB/EMB/ERC2/FARP1/GABRB3/GNG2/GPM6A/GPR37/GPRIN3/GRIP1/GRM5/GRM7/HCN1/KALRN/KCNJ3/KCNQ5/LGI1/LRFN5/LRRK2/MCTP1/NRCAM/NRG3/NRXN1/NTRK3/PAK3/PCLO/PLCB1/PLEKHA5/PTCHD1/PTPRN2/RIMBP2/SLC4A10/SLC6A17/SORCS3/SYNE1/SYNGR2/TENM2/TENM4/TRIO/UTRN",55,"CC"
"FZD8|SV2B","GO:0045202","synapse","19/32","206/954",0.0922330097087379,2.74969660194175,5.28082211629994,2.55156401014329e-06,0.000395492421572209,0.00034647553400893,"ABLIM1/CACNA1B/GRIP1/GRM7/HCN1/KCNJ3/LRFN5/NTRK3/PLCB1/PTPRN2/ATP1A2/CACNA1E/CDH10/EPHA4/KCTD16/NCAN/PDZRN3/RAB3C/RAPGEF4",19,"CC"
"FZD8|SV2B","GO:0045211","postsynaptic membrane","8/32","42/954",0.19047619047619,5.67857142857143,5.77426178372611,3.43073253712032e-05,0.00265881771626825,0.00232928682783433,"GRIP1/GRM7/HCN1/LRFN5/NTRK3/CDH10/EPHA4/KCTD16",8,"CC"
"FZD8|SV2B","GO:0098794","postsynapse","11/32","100/954",0.11,3.279375,4.48583013648009,0.000193085298072389,0.00664355869279881,0.00582016347280846,"ABLIM1/GRIP1/GRM7/HCN1/LRFN5/NTRK3/PLCB1/ATP1A2/CDH10/EPHA4/KCTD16",11,"CC"
"FZD8|SV2B","GO:0097060","synaptic membrane","9/32","68/954",0.132352941176471,3.94577205882353,4.69345558974122,0.000209509311280888,0.00664355869279881,0.00582016347280846,"GRIP1/GRM7/HCN1/KCNJ3/LRFN5/NTRK3/CDH10/EPHA4/KCTD16",9,"CC"
"FZD8|SV2B","GO:0030054","cell junction","19/32","273/954",0.0695970695970696,2.07486263736264,3.91396297847153,0.000214308344928994,0.00664355869279881,0.00582016347280846,"ABLIM1/CACNA1B/GRIP1/GRM7/HCN1/KCNJ3/LRFN5/NTRK3/PLCB1/PTPRN2/ATP1A2/CACNA1E/CDH10/EPHA4/KCTD16/NCAN/PDZRN3/RAB3C/RAPGEF4",19,"CC"
"FZD8|SV2B","GO:1902495","transmembrane transporter complex","7/32","47/954",0.148936170212766,4.44015957446809,4.50380783934009,0.000589629058199449,0.0138179837262078,0.0121053983068306,"CACNA1B/HCN1/KCNJ3/SCN3A/UNC80/ATP1A2/CACNA1E",7,"CC"
"FZD8|SV2B","GO:1990351","transporter complex","7/32","48/954",0.145833333333333,4.34765625,4.43152654832313,0.000674019391051794,0.0138179837262078,0.0121053983068306,"CACNA1B/HCN1/KCNJ3/SCN3A/UNC80/ATP1A2/CACNA1E",7,"CC"
"FZD8|SV2B","GO:0034703","cation channel complex","6/32","35/954",0.171428571428571,5.11071428571429,4.61370197667704,0.000713186256836533,0.0138179837262078,0.0121053983068306,"CACNA1B/HCN1/KCNJ3/SCN3A/UNC80/CACNA1E",6,"CC"
"FZD8|SV2B","GO:0034702","monoatomic ion channel complex","6/32","45/954",0.133333333333333,3.975,3.80686314401666,0.00281288872528882,0.0456358540580062,0.0399797974430071,"CACNA1B/HCN1/KCNJ3/SCN3A/UNC80/CACNA1E",6,"CC"
"FZD8|SV2B","GO:0042734","presynaptic membrane","5/32","32/954",0.15625,4.658203125,3.91952396322278,0.0032512943955452,0.0456358540580062,0.0399797974430071,"HCN1/KCNJ3/CDH10/EPHA4/KCTD16",5,"CC"
"FZD8|SV2B","GO:0098796","membrane protein complex","9/32","98/954",0.0918367346938776,2.73788265306122,3.38183630983037,0.00332258562189452,0.0456358540580062,0.0399797974430071,"CACNA1B/HCN1/KCNJ3/SCN3A/TUSC3/UNC80/ATP1A2/CACNA1E/CDH10",9,"CC"
"FZD8|SV2B","GO:0098590","plasma membrane region","11/32","139/954",0.079136690647482,2.35926258992806,3.22840446273174,0.00353309837868435,0.0456358540580062,0.0399797974430071,"GRIP1/GRM7/HCN1/KCNJ3/LRFN5/NTRK3/SCN3A/ATP1A2/CDH10/EPHA4/KCTD16",11,"CC"
"NPTXR","GO:0098793","presynapse","8/19","88/954",0.0909090909090909,4.56459330143541,5.00045843953795,0.000124540381380554,0.017311113011897,0.0129784186912367,"GAD1/SNAP25/CALM3/CNR1/DNM1/SLC17A7/SYT4/YWHAH",8,"CC"
"NPTXR","GO:0150034","distal axon","5/19","35/954",0.142857142857143,7.17293233082707,5.30133474517087,0.000398536727202139,0.0251784263759731,0.0188766695283706,"GAD1/SNAP25/CALM3/CNR1/OLFM1",5,"CC"
"NPTXR","GO:0045202","synapse","11/19","206/954",0.0533980582524272,2.68114460909555,3.88244515035381,0.000543419274301578,0.0251784263759731,0.0188766695283706,"GAD1/OLFM2/SNAP25/CALM3/CNR1/DNM1/NPTXR/OLFM1/SLC17A7/SYT4/YWHAH",11,"CC"
"NPTXR","GO:0030424","axon","7/19","90/954",0.0777777777777778,3.90526315789474,4.12636181241099,0.00103800597435329,0.0295641523972877,0.0221647185712343,"GAD1/SNAP25/CALM3/CNR1/OLFM1/SLC17A7/SYT4",7,"CC"
