Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000228794,LINC01128,27,0.17410,32,0.45593,18,-0.5021,28,0.21792,17,-0.5826,19,-0.3494,25,0.04964,26,0.15287
ENSG00000188976,NOC2L,55,-0.3555,117,0.88190,98,0.58266,73,0.09196,43,-0.7461,27,-1.4265,92,0.47042,58,-0.3117
ENSG00000188290,HES4,139,0.92500,52,-0.6794,73,-0.1415,90,0.18107,55,-0.6074,89,0.16838,58,-0.5140,83,0.06737
ENSG00000187608,ISG15,137,0.39944,105,-0.0270,104,-0.0571,96,-0.1755,64,-0.8144,122,0.20724,117,0.13498,111,0.05688
ENSG00000188157,AGRN,64,0.63766,45,0.03826,70,0.78239,27,-0.7215,33,-0.4559,42,-0.0473,37,-0.2446,37,-0.2925
ENSG00000078808,SDF4,80,0.43524,69,0.19094,94,0.70782,58,-0.1061,57,-0.1254,60,-0.0311,36,-0.8257,49,-0.3875
ENSG00000176022,B3GALT6,53,0.70072,45,0.42737,33,-0.0716,47,0.48967,10,-1.8855,30,-0.2426,39,0.15948,28,-0.3721
ENSG00000160087,UBE2J2,82,0.73991,68,0.41514,81,0.70482,33,-0.7189,41,-0.3855,46,-0.2175,46,-0.2154,39,-0.5531
ENSG00000131584,ACAP3,141,0.14074,162,0.37267,144,0.17819,185,0.59319,101,-0.3915,122,-0.0912,95,-0.4816,106,-0.3527
ENSG00000127054,INTS11,85,0.45466,59,-0.1487,110,0.89842,85,0.44109,42,-0.6624,47,-0.5013,49,-0.4461,52,-0.3804
ENSG00000224051,CPTP,57,0.52324,51,0.34487,60,0.59855,21,-1.0411,30,-0.5277,50,0.30601,26,-0.7080,39,-0.1078
ENSG00000107404,DVL1,95,0.35242,51,-0.6385,64,-0.3015,104,0.49857,96,0.35676,73,-0.0912,76,-0.0262,67,-0.2515
ENSG00000175756,AURKAIP1,173,-0.1317,121,-0.6978,214,0.21432,257,0.51838,191,0.02661,165,-0.2130,204,0.13618,183,-0.0484
ENSG00000221978,CCNL2,72,0.51042,62,0.26873,83,0.75025,79,0.67535,28,-0.9669,31,-0.8435,54,0.03360,33,-0.8214
