Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,15,-0.4302,28,1.36369,0,-4.8708,12,-0.7828
ENSG00000188976,NOC2L,28,-0.6994,61,1.46684,8,-2.4282,23,-0.9357
ENSG00000188290,HES4,83,-0.0773,68,-0.6158,183,1.31745,71,-0.3229
ENSG00000187608,ISG15,108,0.23462,71,-0.7669,175,1.04233,93,-0.0559
ENSG00000188157,AGRN,38,0.35595,31,-0.0732,14,-1.2406,40,0.37863
ENSG00000078808,SDF4,72,-0.1053,72,-0.1570,61,-0.3480,116,0.71280
ENSG00000176022,B3GALT6,34,-0.1334,45,0.65526,27,-0.4563,18,-1.1367
ENSG00000160087,UBE2J2,32,-0.3647,50,0.90014,2,-4.3035,42,0.14080
ENSG00000131584,ACAP3,59,-0.8486,125,0.92383,83,-0.2189,60,-0.7230
ENSG00000127054,INTS11,34,-0.6316,53,0.30147,37,-0.4141,67,0.56090
ENSG00000224051,CPTP,30,-0.3631,35,-0.0811,59,0.82239,31,-0.2601
ENSG00000107404,DVL1,66,-0.0266,70,0.11819,58,-0.2215,66,-0.0155
ENSG00000175756,AURKAIP1,164,-0.0642,176,0.10142,122,-0.5394,206,0.31833
ENSG00000221978,CCNL2,30,-0.7060,55,0.73956,27,-0.7661,45,0.03177
ENSG00000242485,MRPL20,174,0.03523,191,0.33859,91,-1.0050,165,-0.0597
ENSG00000235098,ANKRD65,13,-0.3120,17,0.26029,0,-4.7298,30,1.12852
ENSG00000179403,VWA1,33,-0.7486,29,-1.3094,29,-0.8540,192,2.65561
ENSG00000197785,ATAD3A,10,-1.0874,19,0.16252,30,0.83309,20,0.10779
ENSG00000205090,TMEM240,38,-0.1670,53,0.80393,27,-0.6924,18,-1.3224
