"Cluster","DE_classes","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Astro-1_down_AA","Astro-1_down_AA","GO:0036038","MKS complex","1/2","13/15105",0.0769230769230769,580.961538461538,24.072813223541,0.00172060057002077,0.00344120114004154,NA,"TCTN1",1,"CC"
"Astro-1_down_AA","Astro-1_down_AA","GO:0035869","ciliary transition zone","1/2","68/15105",0.0147058823529412,111.066176470588,10.4678408617288,0.00898367150286972,0.00898367150286972,NA,"TCTN1",1,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0097060","synaptic membrane","7/13","434/15105",0.0161290322580645,18.7406947890819,11.0060098443249,2.27691171791709e-08,1.59537472932837e-06,6.67135791644164e-07,"CACNG3/DNM1/KCNC2/KCNH1/RGS7BP/CACNG8/PLPPR4",7,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0098839","postsynaptic density membrane","5/13","125/15105",0.04,46.4769230769231,14.9842302987702,4.3708896693928e-08,1.59537472932837e-06,6.67135791644164e-07,"CACNG3/KCNH1/RGS7BP/CACNG8/PLPPR4",5,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0045211","postsynaptic membrane","6/13","309/15105",0.0194174757281553,22.5616131441374,11.2391274084579,1.06186585355885e-07,2.1970427928353e-06,9.18734549275036e-07,"CACNG3/KCNC2/KCNH1/RGS7BP/CACNG8/PLPPR4",6,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0099634","postsynaptic specialization membrane","5/13","153/15105",0.0326797385620915,37.9713423831071,13.4898014373573,1.20385906456729e-07,2.1970427928353e-06,9.18734549275036e-07,"CACNG3/KCNH1/RGS7BP/CACNG8/PLPPR4",5,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0014069","postsynaptic density","5/13","358/15105",0.0139664804469274,16.2279759346798,8.55807565431208,8.0032655409621e-06,0.000113487558153626,4.74569457311487e-05,"CACNG3/KCNH1/RGS7BP/CACNG8/PLPPR4",5,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0032279","asymmetric synapse","5/13","374/15105",0.0133689839572193,15.5337309749074,8.35297284760432,9.89955498747428e-06,0.000113487558153626,4.74569457311487e-05,"CACNG3/KCNH1/RGS7BP/CACNG8/PLPPR4",5,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0042734","presynaptic membrane","4/13","175/15105",0.0228571428571429,26.5582417582418,9.98077719377024,1.14718779341967e-05,0.000113487558153626,4.74569457311487e-05,"DNM1/KCNC2/KCNH1/RGS7BP",4,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0099572","postsynaptic specialization","5/13","392/15105",0.0127551020408163,14.8204474097331,8.13689637274867,1.243699267437e-05,0.000113487558153626,4.74569457311487e-05,"CACNG3/KCNH1/RGS7BP/CACNG8/PLPPR4",5,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0098984","neuron to neuron synapse","5/13","410/15105",0.0121951219512195,14.1697936210131,7.93469739717952,1.54590059754586e-05,0.000125389715134275,5.24340553553566e-05,"CACNG3/KCNH1/RGS7BP/CACNG8/PLPPR4",5,"CC"
"Astro-1_up_AA","Astro-1_up_AA","GO:0034703","cation channel complex","4/13","207/15105",0.0193236714975845,22.4526198439242,9.12107004598834,2.2234279514512e-05,0.000162310240455938,6.7873063781142e-05,"CACNG3/KCNC2/KCNH1/CACNG8",4,"CC"
