ERC_Oligo,dacc,dlpfc,erc,hpc
Oligo.1,0.21719422829946364,NA,0.282717192475328,0.15190805952556358
Oligo.1/Oligo.4,NA,0.30706326383896476,NA,NA
Oligo.2,0.12593487950441942,NA,0.2712224204512093,0.4918226020332989
Oligo.2/Oligo.1,NA,0.31137670740474477,NA,NA
Oligo.3,0.05665936390420791,0.0609273903666427,0.19392064316524016,0.10092824517459849
Oligo.3*,NA,0.07180086268871315,NA,NA
Oligo.3/Oligo.4*,NA,0.09606398274622574,NA,NA
Oligo.3/Oligo.5*,NA,0.020398993529834653,NA,NA
Oligo.4,0.600211528291909,NA,0.1560714527675527,0.255341093266539
Oligo.4*,NA,0.1323687994248742,NA,NA
Oligo.5,NA,NA,0.09606829114066981,NA
