dataset,ERC_Oligo,n,prop,clus
dacc,Oligo.1,2875,0.21719422829946364,dacc_Oligo.2
dacc,Oligo.2,1667,0.12593487950441942,"dacc_Oligo.3, dacc_Oligo.6"
dacc,Oligo.3,750,0.05665936390420791,"dacc_Oligo.4, dacc_Oligo.5"
dacc,Oligo.4,7945,0.600211528291909,dacc_Oligo.1
dlpfc,Oligo.1/Oligo.4,3417,0.30706326383896476,dlpfc_Oligo.2
dlpfc,Oligo.2/Oligo.1,3465,0.31137670740474477,dlpfc_Oligo.1
dlpfc,Oligo.3,678,0.0609273903666427,dlpfc_Oligo.5
dlpfc,Oligo.3*,799,0.07180086268871315,"dlpfc_Oligo.6, dlpfc_Oligo.7, dlpfc_Oligo.9"
dlpfc,Oligo.3/Oligo.4*,1069,0.09606398274622574,dlpfc_Oligo.4
dlpfc,Oligo.3/Oligo.5*,227,0.020398993529834653,dlpfc_Oligo.8
dlpfc,Oligo.4*,1473,0.1323687994248742,dlpfc_Oligo.3
erc,Oligo.1,12519,0.282717192475328,NA
erc,Oligo.2,12010,0.2712224204512093,NA
erc,Oligo.3,8587,0.19392064316524016,NA
erc,Oligo.4,6911,0.1560714527675527,NA
erc,Oligo.5,4254,0.09606829114066981,NA
hpc,Oligo.1,1031,0.15190805952556358,hpc_Oligo.3
hpc,Oligo.2,3338,0.4918226020332989,"hpc_Oligo.1, hpc_Oligo.4"
hpc,Oligo.3,685,0.10092824517459849,"hpc_Oligo.5, hpc_Oligo.6"
hpc,Oligo.4,1733,0.255341093266539,hpc_Oligo.2
