Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,37,-0.3802,29,-0.7537,51,0.14126,90,1.35664,23,-1.1118,40,-0.2627,43,-0.1485,21,-1.2692
ENSG00000188290,HES4,4,-4.5579,52,-0.8324,68,-0.4264,64,-0.5834,151,0.89020,362,2.71482,3,-4.7932,32,-1.5641
ENSG00000187608,ISG15,74,0.61131,35,-0.6068,66,0.42130,37,-0.5534,31,-0.7759,129,1.63514,20,-1.4038,29,-0.8550
ENSG00000188157,AGRN,97,1.56091,18,-1.1812,27,-0.5738,36,-0.1679,37,-0.0876,55,0.54988,46,0.23630,3,-3.6578
ENSG00000078808,SDF4,370,1.95692,54,-1.3181,106,-0.2620,132,0.08944,93,-0.4762,103,-0.3173,93,-0.4808,47,-1.5049
ENSG00000176022,B3GALT6,13,-1.2794,20,-0.6842,31,0.02343,60,1.40265,15,-1.1060,31,0.02070,26,-0.2620,20,-0.6458
ENSG00000160087,UBE2J2,51,0.03017,32,-0.6839,118,1.49765,69,0.61706,33,-0.6726,24,-1.1343,32,-0.7003,23,-1.2176
ENSG00000131584,ACAP3,3,-5.3593,85,-0.4421,195,0.93021,186,1.02382,67,-0.8024,113,0.01584,70,-0.7445,105,-0.1012
ENSG00000127054,INTS11,3,-4.5354,39,-0.7786,132,1.25551,93,0.75708,35,-0.9058,74,0.24713,74,0.26035,28,-1.2698
ENSG00000224051,CPTP,3,-3.7133,24,-0.7714,58,0.65188,88,1.79599,23,-0.8384,33,-0.2384,24,-0.7523,10,-2.0194
ENSG00000107404,DVL1,3,-4.1943,49,-0.0421,71,0.57990,67,0.54985,24,-1.1598,76,0.68556,53,0.07858,43,-0.2411
ENSG00000175756,AURKAIP1,246,1.16863,66,-0.9978,126,0.02769,103,-0.3464,200,0.79852,69,-0.9267,113,-0.1517,94,-0.4507
ENSG00000221978,CCNL2,82,0.54099,39,-0.6650,84,0.59184,48,-0.3675,34,-0.8722,74,0.36551,100,0.88472,23,-1.4742
ENSG00000242485,MRPL20,88,-0.5173,56,-1.2211,119,-0.0457,168,0.62565,140,0.22725,133,0.13883,142,0.24421,85,-0.5787
ENSG00000235098,ANKRD65,3,-3.2885,12,-1.2096,15,-0.8970,3,-3.4587,37,0.54349,44,0.84996,89,2.21786,34,0.40712
ENSG00000179403,VWA1,66,-0.7917,35,-1.7566,37,-1.6637,25,-2.4036,152,0.55686,130,0.29981,402,2.47520,107,-0.0300
ENSG00000205090,TMEM240,3,-4.0147,36,-0.3211,80,0.99923,110,2.09258,2,-4.4449,25,-0.8568,6,-2.9225,26,-0.8298
ENSG00000160075,SSU72,150,0.22300,84,-0.6969,134,0.03529,140,0.12746,204,0.73898,175,0.47863,105,-0.3529,46,-1.6012
ENSG00000228594,FNDC10,3,-3.4200,29,0.00016,58,1.17227,48,0.98672,50,0.89407,0,-6.4260,14,-1.0743,13,-1.2468
ENSG00000272106,AL691432.2,3,-2.9574,20,-0.0846,16,-0.4350,34,0.96441,2,-3.4005,37,0.93649,42,1.14958,2,-3.1090
ENSG00000197530,MIB2,40,0.30743,23,-0.5570,51,0.74690,33,-0.0068,32,-0.0488,23,-0.5762,25,-0.4041,36,0.14526
ENSG00000215790,SLC35E2A,3,-3.2246,13,-1.0743,34,0.45281,43,1.03027,24,-0.0752,8,-1.6780,25,-0.0011,37,0.62348
ENSG00000008130,NADK,3,-3.1101,19,-0.3406,39,0.83812,28,0.34108,59,1.60748,7,-1.8973,29,0.32602,0,-5.0598
ENSG00000078369,GNB1,430,0.69256,151,-0.9949,289,0.03027,402,0.68171,223,-0.3869,259,-0.1500,189,-0.6445,212,-0.4675
ENSG00000187730,GABRD,3,-4.0948,30,-0.6983,83,0.97472,143,2.88525,11,-2.2053,0,-7.1560,0,-6.2349,7,-2.8952
ENSG00000067606,PRKCZ,3,-4.9624,55,-0.8323,152,0.81493,194,1.57099,27,-1.8825,42,-1.2419,90,-0.0623,85,-0.1521
ENSG00000162585,FAAP20,303,1.95352,61,-0.8289,57,-0.9275,98,-0.0977,90,-0.2197,88,-0.2576,62,-0.8061,72,-0.5766
ENSG00000157933,SKI,91,0.66698,31,-1.0460,60,-0.0228,72,0.32178,46,-0.4621,71,0.25354,66,0.11608,40,-0.6787
ENSG00000157916,RER1,144,0.98035,44,-0.9487,65,-0.3323,86,0.12453,48,-0.8008,100,0.35919,118,0.63013,33,-1.3643
ENSG00000157911,PEX10,14,-1.1410,24,-0.3706,45,0.66041,37,0.41075,41,0.50126,1,-4.4879,50,0.84232,21,-0.5431
ENSG00000197921,HES5,3,-3.1013,31,0.45596,99,2.78863,8,-1.6743,56,1.52404,0,-6.1716,4,-2.6335,1,-3.9973
ENSG00000157870,PRXL2B,19,-1.7994,38,-0.7735,136,1.32902,125,1.46997,38,-0.7746,28,-1.2635,21,-1.6485,34,-0.9573
ENSG00000177133,PRDM16-DT,53,0.82611,41,0.40894,52,0.80965,1,-4.4713,123,2.54803,4,-3.0213,6,-2.3668,6,-2.4297
ENSG00000158109,TPRG1L,320,1.84708,39,-1.6387,150,0.45486,192,1.06113,24,-2.3399,46,-1.4065,30,-2.0598,34,-1.8639
ENSG00000130764,LRRC47,3,-4.1484,22,-1.1893,65,0.47675,66,0.61048,56,0.24421,51,0.07583,85,0.95370,21,-1.2834
ENSG00000069424,KCNAB2,3,-5.3581,68,-0.7777,277,1.59078,279,2.10532,37,-1.6858,1,-6.4800,22,-2.4633,43,-1.4737
ENSG00000116254,CHD5,3,-5.6802,208,0.65257,289,1.24440,348,2.09887,14,-3.3842,33,-2.2056,12,-3.6520,8,-4.2669
ENSG00000116251,RPL22,845,0.38191,322,-1.1468,372,-0.9271,266,-1.5610,533,-0.3686,1101,0.83600,1025,0.71051,1304,1.14031
ENSG00000116237,ICMT,98,1.60992,11,-1.9403,45,0.20239,20,-1.1696,54,0.52810,56,0.58660,24,-0.7716,26,-0.6274
