Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to8,Feature log2 fold change topic 3to8
ENSG00000228794,LINC01128,17,-0.3543,22,0.35439
ENSG00000188976,NOC2L,34,-0.9921,69,0.99211
ENSG00000188290,HES4,86,0.33919,68,-0.3391
ENSG00000187608,ISG15,62,-0.0971,67,0.09719
ENSG00000188157,AGRN,37,-0.2135,43,0.21354
ENSG00000078808,SDF4,85,-0.1113,92,0.11132
ENSG00000176022,B3GALT6,28,-0.4548,39,0.45488
ENSG00000160087,UBE2J2,41,-0.2391,48,0.23911
ENSG00000131584,ACAP3,79,-0.5206,114,0.52063
ENSG00000127054,INTS11,54,-0.1692,61,0.16922
ENSG00000224051,CPTP,36,-0.1755,41,0.17551
ENSG00000107404,DVL1,65,-0.0758,69,0.07588
ENSG00000175756,AURKAIP1,162,-0.1384,178,0.13842
ENSG00000221978,CCNL2,39,-0.4912,56,0.49124
ENSG00000242485,MRPL20,201,0.09905,188,-0.0990
ENSG00000235098,ANKRD65,25,-0.1186,27,0.11867
ENSG00000179403,VWA1,34,0.28825,28,-0.2882
ENSG00000197785,ATAD3A,14,-0.8844,26,0.88441
ENSG00000205090,TMEM240,29,-0.5744,44,0.57449
ENSG00000160075,SSU72,156,-0.3571,200,0.35716
ENSG00000228594,FNDC10,39,-0.0152,39,0.01521
ENSG00000272106,AL691432.2,20,-0.5737,30,0.57379
ENSG00000197530,MIB2,27,-0.6669,43,0.66699
ENSG00000189339,SLC35E2B,21,0.07822,20,-0.0782
ENSG00000215790,SLC35E2A,31,-0.6406,48,0.64061
ENSG00000008130,NADK,32,0.15252,29,-0.1525
ENSG00000078369,GNB1,468,0.00192,468,-0.0019
ENSG00000187730,GABRD,124,-0.7064,203,0.70642
ENSG00000067606,PRKCZ,207,-0.2403,244,0.24032
ENSG00000162585,FAAP20,64,0.54036,44,-0.5403
ENSG00000157933,SKI,38,0.44934,28,-0.4493
ENSG00000157916,RER1,47,-0.9589,92,0.95892
ENSG00000157911,PEX10,30,-0.0681,31,0.06816
ENSG00000149527,PLCH2,29,0.07454,27,-0.0745
ENSG00000157881,PANK4,13,-0.7573,23,0.75733
ENSG00000157870,PRXL2B,61,-0.3489,78,0.34891
ENSG00000177133,PRDM16-DT,28,0.28201,23,-0.2820
ENSG00000158109,TPRG1L,172,-0.5555,252,0.55556
ENSG00000130764,LRRC47,55,-0.7191,91,0.71917
ENSG00000196581,AJAP1,27,-0.8046,47,0.80466
ENSG00000069424,KCNAB2,264,0.11070,244,-0.1107
ENSG00000116254,CHD5,135,0.10655,126,-0.1065
ENSG00000116251,RPL22,688,0.74927,409,-0.7492
ENSG00000116237,ICMT,31,-0.6874,50,0.68743
ENSG00000097021,ACOT7,241,-0.7771,413,0.77712
ENSG00000215788,TNFRSF25,19,-0.0554,20,0.05542
ENSG00000171680,PLEKHG5,25,-0.4027,34,0.40277
ENSG00000162408,NOL9,25,-0.1544,28,0.15442
ENSG00000162413,KLHL21,28,-0.3586,36,0.35869
ENSG00000041988,THAP3,15,-0.8666,27,0.86669
ENSG00000007923,DNAJC11,27,-0.5123,39,0.51239
ENSG00000171735,CAMTA1,124,-0.0703,131,0.07039
ENSG00000049245,VAMP3,32,0.49585,23,-0.4958
ENSG00000049246,PER3,25,0.15205,23,-0.1520
ENSG00000116288,PARK7,403,-0.0700,423,0.07008
ENSG00000116285,ERRFI1,19,-0.0695,20,0.06950
ENSG00000162426,SLC45A1,31,-0.5603,45,0.56039
ENSG00000142599,RERE,107,-0.0011,107,0.00113
