cluster,sestan_EC
OPC.1,Astro.AQP4.CHRDL1*
OPC.2,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098*
OPC.3,aSMC.ACTA2.TAGLN*
