k10,n,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,passALL_metricQC,sctype,sestan_EC,snDLPFC_PEC
3,4815,1,OPC.1,8122,3246,0.05821399464431249,0.0010560568189248443,TRUE,Oligodendrocytes,Astro.AQP4.GFAP/Astro.AQP4.CHRDL1/Macro.F13A1.COLEC12/InN.VIP.ABI3BP/InN.VIP.SCTR*,Pax6*
2,4009,2,OPC.2,4601,2335,0.06648936170212766,8.011696627363563e-4,TRUE,Oligodendrocytes,aSMC.ACTA2.TAGLN*,SMC/OPC*
1,3932,3,OPC.3,12043.5,3952.5,0.049380394314878756,0.0015045370673760772,TRUE,Oligodendrocytes,Oligo.OPALIN.SLC5A11/Oligo.OPALIN.LINC01098*,Oligo*
4,1961,4,OPC.4,10767,3799,0.05717226001943857,0.0012470565270632505,TRUE,Oligodendrocytes,COP.GPR17.ADAM33*,Oligo*
