"Cluster","DE_classes","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Astro-1_up_ALL","Astro-1_up_ALL","GO:0038037","G protein-coupled receptor dimeric complex","1/4","7/14564",0.142857142857143,520.142857142857,22.7706115647902,0.00192136087845751,0.0146190288777028,0.00577066929383005,"GABBR2",1,"CC"
"Astro-1_up_ALL","Astro-1_up_ALL","GO:0045211","postsynaptic membrane","2/4","291/14564",0.00687285223367698,25.0240549828179,6.8613552808932,0.00232461675982461,0.0146190288777028,0.00577066929383005,"GABBR2/PLPPR4",2,"CC"
"Astro-1_up_ALL","Astro-1_up_ALL","GO:0097648","G protein-coupled receptor complex","1/4","11/14564",0.0909090909090909,331,18.1471634423459,0.0030180375129415,0.0146190288777028,0.00577066929383005,"GABBR2",1,"CC"
"Astro-1_up_ALL","Astro-1_up_ALL","GO:1902710","GABA receptor complex","1/4","15/14564",0.0666666666666667,242.733333333333,15.5253118074229,0.00411381013788858,0.0146190288777028,0.00577066929383005,"GABBR2",1,"CC"
"Astro-1_up_ALL","Astro-1_up_ALL","GO:0097060","synaptic membrane","2/4","410/14564",0.0048780487804878,17.7609756097561,5.70592895293445,0.00456844652428213,0.0146190288777028,0.00577066929383005,"GABBR2/PLPPR4",2,"CC"
"Astro-3_down_ALL","Astro-3_down_ALL","GO:0043218","compact myelin","2/13","14/14564",0.142857142857143,160.043956043956,17.795097485874,6.6528767867626e-05,0.00272767948257266,0.00203087817701174,"MBP/PLLP",2,"CC"
"Astro-3_down_ALL","Astro-3_down_ALL","GO:0043209","myelin sheath","2/13","41/14564",0.0487804878048781,54.6491557223265,10.281993668248,0.000591394205189016,0.0121235812063748,0.00902654313183236,"MBP/PLLP",2,"CC"
"Astro-3_down_M","Astro-3_down_M","GO:0043209","myelin sheath","5/27","41/14564",0.121951219512195,65.7813911472448,17.9012740544649,1.05953569806302e-08,1.17608462484995e-06,9.03393595190577e-07,"CNP/MBP/PLLP/ERMN/CA2",5,"CC"
"Astro-3_down_M","Astro-3_down_M","GO:0044304","main axon","3/27","70/14564",0.0428571428571429,23.1174603174603,7.99392482586235,0.000286332683062728,0.0109921728467376,0.00844348981114979,"BIN1/MBP/ERMN",3,"CC"
"Astro-3_down_M","Astro-3_down_M","GO:0043218","compact myelin","2/27","14/14564",0.142857142857143,77.058201058201,12.2701107301477,0.00029708575261453,0.0109921728467376,0.00844348981114979,"MBP/PLLP",2,"CC"
"Astro-3_down_M","Astro-3_down_M","GO:0043025","neuronal cell body","5/27","452/14564",0.0110619469026549,5.96689609963946,4.62306415655152,0.00129193110620134,0.0358510881970872,0.0275385314742917,"MBP/ERMN/SHTN1/TTLL7/CD22",5,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0097060","synaptic membrane","3/5","410/14564",0.00731707317073171,21.3131707317073,7.73169485328264,0.000212336808782847,0.00382206255809124,0.00178809944238187,"CHRM3/CNTN5/GABBR2",3,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0098802","plasma membrane signaling receptor complex","2/5","159/14564",0.0125786163522013,36.6389937106918,8.37359627030616,0.0011591302802849,0.0104321725225641,0.00488054854856799,"IL6ST/GABBR2",2,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0038037","G protein-coupled receptor dimeric complex","1/5","7/14564",0.142857142857143,416.114285714286,20.3575454153893,0.0024012063780352,0.0133365123951525,0.0062393040445158,"GABBR2",1,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0097648","G protein-coupled receptor complex","1/5","11/14564",0.0909090909090909,264.8,16.2195769710501,0.00377125190767769,0.0133365123951525,0.0062393040445158,"GABBR2",1,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0045211","postsynaptic membrane","2/5","291/14564",0.00687285223367698,20.0192439862543,6.07332840178458,0.00382326726298871,0.0133365123951525,0.0062393040445158,"CHRM3/GABBR2",2,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:1902710","GABA receptor complex","1/5","15/14564",0.0666666666666667,194.186666666667,13.8723762881156,0.00513979178953206,0.0133365123951525,0.0062393040445158,"GABBR2",1,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0043235","receptor complex","2/5","340/14564",0.00588235294117647,17.1341176470588,5.57851313547952,0.00518642148700376,0.0133365123951525,0.0062393040445158,"IL6ST/GABBR2",2,"CC"
"Astro-3_up_ALL","Astro-3_up_ALL","GO:0043025","neuronal cell body","2/5","452/14564",0.00442477876106195,12.8884955752212,4.7582415814697,0.00903092920829692,0.0203195907186681,0.00950624127189149,"IL6ST/PCSK2",2,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0016011","dystroglycan complex","1/2","7/14564",0.142857142857143,1040.28571428571,32.2313091591119,0.00096107635119802,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0098684","photoreceptor ribbon synapse","1/2","8/14564",0.125,910.25,30.1465202037615,0.00109833525394565,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0070938","contractile ring","1/2","11/14564",0.0909090909090909,662,25.7010843299544,0.00151005538391047,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0097470","ribbon synapse","1/2","14/14564",0.0714285714285714,520.142857142857,22.7745242422004,0.00192169064645831,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0043034","costamere","1/2","15/14564",0.0666666666666667,485.466666666667,22.0000094796581,0.00205888354121475,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0016010","dystrophin-associated glycoprotein complex","1/2","17/14564",0.0588235294117647,428.352941176471,20.6611431998792,0.00233324104158883,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0033268","node of Ranvier","1/2","19/14564",0.0526315789473684,383.263157894737,19.5394479830152,0.00260756082311031,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0090665","glycoprotein complex","1/2","19/14564",0.0526315789473684,383.263157894737,19.5394479830152,0.00260756082311031,0.0127118590126628,0.00240170075812792,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0099524","postsynaptic cytosol","1/2","25/14564",0.04,291.28,17.0235354599039,0.0034302938545635,0.0148646067031085,0.00280842771718649,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0099522","cytosolic region","1/2","36/14564",0.0277777777777778,202.277777777778,14.1701377776738,0.00493775606739311,0.0192572486628331,0.00363834657597387,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0005796","Golgi lumen","1/2","67/14564",0.0149253731343284,108.686567164179,10.3535616504413,0.00917991992400846,0.0311674057329978,0.00588857868099823,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0044304","main axon","1/2","70/14564",0.0142857142857143,104.028571428571,10.1261062218934,0.00958997099476855,0.0311674057329978,0.00588857868099823,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0005604","basement membrane","1/2","88/14564",0.0113636363636364,82.75,9.01435628944865,0.012048495203567,0.0341644990428181,0.00645483112819775,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0030175","filopodium","1/2","94/14564",0.0106382978723404,77.468085106383,8.71645285082251,0.0128673243338289,0.0341644990428181,0.00645483112819775,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0098982","GABA-ergic synapse","1/2","96/14564",0.0104166666666667,75.8541666666667,8.62337466435899,0.0131401919395454,0.0341644990428181,0.00645483112819775,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0044853","plasma membrane raft","1/2","107/14564",0.00934579439252336,68.0560747663551,8.15869757872531,0.0146402895465049,0.0356857057696056,0.00674223860694303,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0042383","sarcolemma","1/2","135/14564",0.00740740740740741,53.9407407407407,7.24216958828071,0.0184535711954555,0.0417511058177309,0.00788819813020557,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0034399","nuclear periphery","1/2","141/14564",0.00709219858156028,51.645390070922,7.08192925770642,0.019269741146645,0.0417511058177309,0.00788819813020557,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0005912","adherens junction","1/2","173/14564",0.00578034682080925,42.0924855491329,6.37191370198631,0.023616914287473,0.048115155271378,0.00909058264236561,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0030027","lamellipodium","1/2","187/14564",0.0053475935828877,38.9411764705882,6.11966106221442,0.0255157661689923,0.048115155271378,0.00909058264236561,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0098858","actin-based cell projection","1/2","196/14564",0.00510204081632653,37.1530612244898,5.97179460200384,0.0267354806889566,0.048115155271378,0.00909058264236561,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0030016","myofibril","1/2","199/14564",0.0050251256281407,36.5929648241206,5.92471955095395,0.0271418824607773,0.048115155271378,0.00909058264236561,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0043292","contractile muscle fiber","1/2","209/14564",0.00478468899521531,34.8421052631579,5.77509091892045,0.0284959421021656,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0016323","basolateral plasma membrane","1/2","222/14564",0.0045045045045045,32.8018018018018,5.59568506917516,0.0302548098938737,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0009925","basal plasma membrane","1/2","251/14564",0.00398406374501992,29.0119521912351,5.24619960958807,0.0341726953493767,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0005788","endoplasmic reticulum lumen","1/2","259/14564",0.00386100386100386,28.1158301158301,5.16010768061041,0.0352520957395746,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0045121","membrane raft","1/2","263/14564",0.00380228136882129,27.6882129277567,5.11851610472693,0.0357915696215609,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0098857","membrane microdomain","1/2","264/14564",0.00378787878787879,27.5833333333333,5.10826349439264,0.0359264145177749,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0045178","basal part of cell","1/2","268/14564",0.00373134328358209,27.1716417910448,5.06781793339444,0.0364656998055009,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0009897","external side of plasma membrane","1/2","273/14564",0.00366300366300366,26.6739926739927,5.01849315446537,0.0371395942466154,0.0482814725206,0.00912200560443185,"DAG1",1,"CC"
"Astro-3_up_M","Astro-3_up_M","GO:0045211","postsynaptic membrane","1/2","291/14564",0.00343642611683849,25.0240549828179,4.85137765967611,0.0395636622840314,0.0497736396476524,0.00940392651912461,"DAG1",1,"CC"
"Excit-L2_5-1_down_ALL","Excit-L2_5-1_down_ALL","GO:0043197","dendritic spine","2/5","168/14564",0.0119047619047619,34.6761904761905,8.13582002860668,0.00129289707486062,0.00794154661284565,0.00557301516690923,"LPAR1/DIP2A",2,"CC"
