"APOE_carrier","registration_variable","n","min_ncells","median_ncells","max_ncells","enough_samples"
"E2+","Astro.1_xGL",8,11,53.5,179,TRUE
"E2+","Astro.1_xL1_inhib",8,24,107.5,370,TRUE
"E2+","Astro.1_xL2",8,27,81,242,TRUE
"E2+","Astro.1_xL5",8,11,91.5,157,TRUE
"E2+","Astro.1_xL6",7,12,93,163,TRUE
"E2+","Astro.1_xLD_glia",8,20,184.5,534,TRUE
"E2+","Astro.1_xVasc_adj",6,16,44,77,TRUE
"E2+","Astro.1_xWMd",4,10,15.5,32,TRUE
"E2+","Astro.1_xWMuf",8,10,65,165,TRUE
"E2+","Astro.2_xGL",8,18,119.5,258,TRUE
"E2+","Astro.2_xL1_inhib",8,51,87.5,158,TRUE
"E2+","Astro.2_xL2",8,20,49,68,TRUE
"E2+","Astro.2_xL5",8,34,61.5,197,TRUE
"E2+","Astro.2_xL6",8,59,78.5,138,TRUE
"E2+","Astro.2_xLD_glia",8,97,201.5,404,TRUE
"E2+","Astro.2_xVasc_adj",7,10,27,57,TRUE
"E2+","Astro.2_xVasc_im",1,12,12,12,FALSE
"E2+","Astro.2_xWMd",7,14,36,64,TRUE
"E2+","Astro.2_xWMuf",8,53,94,222,TRUE
"E2+","Astro.3_xGL",2,13,13.5,14,FALSE
"E2+","Astro.3_xL6",4,10,14,20,TRUE
"E2+","Astro.3_xWMd",2,11,11.5,12,TRUE
"E2+","Astro.3_xWMuf",3,13,15,17,TRUE
"E2+","Astro.4_xGL",8,61,130,631,TRUE
"E2+","Astro.4_xVasc_adj",3,11,13,19,TRUE
"E2+","Astro.4_xVasc_im",7,14,18,32,TRUE
"E2+","Astro.4_xVasc_mural",3,10,14,22,TRUE
"E2+","Astro.4_xWMd",7,29,184,657,TRUE
"E2+","Astro.4_xWMuf",4,12,43.5,82,TRUE
"E2+","Astro.5_xGL",8,29,279,568,TRUE
"E2+","Astro.5_xL1_inhib",8,52,109.5,221,TRUE
"E2+","Astro.5_xL2",8,39,57.5,133,TRUE
"E2+","Astro.5_xL5",8,55,143.5,199,TRUE
"E2+","Astro.5_xL6",8,78,111,257,TRUE
"E2+","Astro.5_xLD_glia",8,127,353.5,874,TRUE
"E2+","Astro.5_xVasc_adj",8,22,56.5,113,TRUE
"E2+","Astro.5_xVasc_im",7,10,27,60,TRUE
"E2+","Astro.5_xVasc_mural",6,14,15.5,61,TRUE
"E2+","Astro.5_xWMd",8,14,75,186,TRUE
"E2+","Astro.5_xWMuf",8,44,168,453,TRUE
"E2+","Excit.L2_5.RELN_xL1_inhib",5,15,22,33,TRUE
"E2+","Excit.L2_5.RELN_xL2",5,15,35,77,TRUE
"E2+","Excit.L2_5.RELN_xL5",7,18,26,88,TRUE
"E2+","Excit.L2_5.RELN_xLD_glia",4,12,14,16,TRUE
"E2+","Excit.L2_5.mix_xL1_inhib",3,15,19,34,FALSE
"E2+","Excit.L2_5.mix_xL2",8,13,60.5,161,TRUE
"E2+","Excit.L2_5.mix_xL5",8,14,72.5,136,TRUE
"E2+","Excit.L2_5.mix_xL6",7,10,37,105,TRUE
"E2+","Excit.L2_5.mix_xLD_glia",8,11,35.5,151,TRUE
