"APOE_carrier","registration_variable","n","min_ncells","median_ncells","max_ncells","enough_samples"
"E2+","nnA_far_APOE_high_xGL",5,10,22,84,TRUE
"E2+","nnA_far_APOE_high_xL1_inhib",5,10,13,29,TRUE
"E2+","nnA_far_APOE_high_xL2",5,10,14,19,TRUE
"E2+","nnA_far_APOE_high_xL5",8,20,73.5,182,TRUE
"E2+","nnA_far_APOE_high_xL6",8,13,93.5,149,TRUE
"E2+","nnA_far_APOE_high_xLD_glia",8,19,87.5,170,TRUE
"E2+","nnA_far_APOE_high_xVasc_adj",6,28,41,87,TRUE
"E2+","nnA_far_APOE_high_xVasc_im",1,41,41,41,FALSE
"E2+","nnA_far_APOE_high_xVasc_mural",1,10,10,10,FALSE
"E2+","nnA_far_APOE_high_xWMd",7,53,184,582,TRUE
"E2+","nnA_far_APOE_high_xWMuf",8,24,210.5,482,TRUE
"E2+","nnA_far_APOE_low_xGL",7,15,27,49,TRUE
"E2+","nnA_far_APOE_low_xL1_inhib",5,10,15,15,TRUE
"E2+","nnA_far_APOE_low_xL2",4,10,24.5,45,TRUE
"E2+","nnA_far_APOE_low_xL5",8,36,63,118,TRUE
"E2+","nnA_far_APOE_low_xL6",8,30,83,154,TRUE
"E2+","nnA_far_APOE_low_xLD_glia",8,33,57,191,TRUE
"E2+","nnA_far_APOE_low_xVasc_adj",7,18,24,77,TRUE
"E2+","nnA_far_APOE_low_xVasc_im",5,13,14,23,TRUE
"E2+","nnA_far_APOE_low_xWMd",8,22,164.5,346,TRUE
"E2+","nnA_far_APOE_low_xWMuf",8,51,144.5,296,TRUE
"E2+","nnA_near_APOE_high_xGL",7,21,36,223,TRUE
"E2+","nnA_near_APOE_high_xL1_inhib",4,12,19.5,59,TRUE
"E2+","nnA_near_APOE_high_xL5",8,10,45,111,TRUE
"E2+","nnA_near_APOE_high_xL6",8,11,66,155,TRUE
"E2+","nnA_near_APOE_high_xLD_glia",8,17,85,193,TRUE
"E2+","nnA_near_APOE_high_xVasc_adj",6,13,19,64,TRUE
"E2+","nnA_near_APOE_high_xVasc_im",1,31,31,31,FALSE
"E2+","nnA_near_APOE_high_xVasc_mural",1,14,14,14,FALSE
"E2+","nnA_near_APOE_high_xWMd",8,11,123.5,451,TRUE
"E2+","nnA_near_APOE_high_xWMuf",8,16,147.5,415,TRUE
"E2+","nnA_near_APOE_low_xGL",8,30,82,185,TRUE
"E2+","nnA_near_APOE_low_xL1_inhib",7,13,20,42,TRUE
"E2+","nnA_near_APOE_low_xL2",3,12,12,17,TRUE
"E2+","nnA_near_APOE_low_xL5",8,20,44,80,TRUE
"E2+","nnA_near_APOE_low_xL6",8,20,80,118,TRUE
"E2+","nnA_near_APOE_low_xLD_glia",8,23,93.5,209,TRUE
"E2+","nnA_near_APOE_low_xVasc_adj",7,10,23,31,TRUE
"E2+","nnA_near_APOE_low_xVasc_im",3,11,13,17,TRUE
"E2+","nnA_near_APOE_low_xVasc_mural",1,10,10,10,FALSE
"E2+","nnA_near_APOE_low_xWMd",8,22,149.5,264,TRUE
"E2+","nnA_near_APOE_low_xWMuf",8,60,138.5,311,TRUE
"E4+","nnA_far_APOE_high_xGL",4,11,16.5,25,TRUE
"E4+","nnA_far_APOE_high_xL1_inhib",2,19,20,21,TRUE
"E4+","nnA_far_APOE_high_xL2",5,10,11,51,TRUE
"E4+","nnA_far_APOE_high_xL5",7,56,93,214,TRUE
"E4+","nnA_far_APOE_high_xL6",7,76,118,201,TRUE
"E4+","nnA_far_APOE_high_xLD_glia",8,20,97,272,TRUE
"E4+","nnA_far_APOE_high_xVasc_adj",7,21,38,130,TRUE
"E4+","nnA_far_APOE_high_xVasc_im",3,16,20,35,FALSE
"E4+","nnA_far_APOE_high_xVasc_mural",1,10,10,10,FALSE
"E4+","nnA_far_APOE_high_xWMd",7,82,339,769,TRUE
"E4+","nnA_far_APOE_high_xWMuf",7,191,283,460,TRUE
"E4+","nnA_far_APOE_low_xGL",6,11,27.5,39,TRUE
"E4+","nnA_far_APOE_low_xL1_inhib",6,14,19.5,29,TRUE
"E4+","nnA_far_APOE_low_xL2",6,10,28,63,TRUE
"E4+","nnA_far_APOE_low_xL5",8,22,90.5,167,TRUE
"E4+","nnA_far_APOE_low_xL6",7,19,79,201,TRUE
"E4+","nnA_far_APOE_low_xLD_glia",8,32,104.5,241,TRUE
"E4+","nnA_far_APOE_low_xVasc_adj",8,14,48,107,TRUE
"E4+","nnA_far_APOE_low_xVasc_im",2,13,29,45,TRUE
"E4+","nnA_far_APOE_low_xVasc_mural",2,13,17,21,FALSE
"E4+","nnA_far_APOE_low_xWMd",8,29,115,643,TRUE
"E4+","nnA_far_APOE_low_xWMuf",8,78,137.5,531,TRUE
"E4+","nnA_near_APOE_high_xGL",6,32,70,114,TRUE
"E4+","nnA_near_APOE_high_xL1_inhib",5,11,17,26,TRUE
"E4+","nnA_near_APOE_high_xL2",2,11,18.5,26,FALSE
"E4+","nnA_near_APOE_high_xL5",7,30,71,121,TRUE
"E4+","nnA_near_APOE_high_xL6",7,47,117,286,TRUE
"E4+","nnA_near_APOE_high_xLD_glia",8,15,167.5,247,TRUE
"E4+","nnA_near_APOE_high_xVasc_adj",7,14,31,47,TRUE
"E4+","nnA_near_APOE_high_xVasc_im",2,10,16,22,FALSE
"E4+","nnA_near_APOE_high_xWMd",7,41,350,579,TRUE
"E4+","nnA_near_APOE_high_xWMuf",7,131,322,573,TRUE
"E4+","nnA_near_APOE_low_xGL",8,21,75.5,202,TRUE
"E4+","nnA_near_APOE_low_xL1_inhib",7,12,28,50,TRUE
"E4+","nnA_near_APOE_low_xL2",4,10,15,31,TRUE
"E4+","nnA_near_APOE_low_xL5",8,12,49,132,TRUE
"E4+","nnA_near_APOE_low_xL6",8,16,70.5,195,TRUE
"E4+","nnA_near_APOE_low_xLD_glia",8,52,114.5,409,TRUE
"E4+","nnA_near_APOE_low_xVasc_adj",7,19,31,60,TRUE
"E4+","nnA_near_APOE_low_xVasc_im",5,10,13,30,TRUE
"E4+","nnA_near_APOE_low_xVasc_mural",3,11,13,14,FALSE
"E4+","nnA_near_APOE_low_xWMd",7,50,140,482,TRUE
"E4+","nnA_near_APOE_low_xWMuf",8,109,190.5,678,TRUE
