"APOE_carrier","registration_variable","n","min_ncells","median_ncells","max_ncells","enough_samples"
"E2+","Astro.1",8,147,912.5,2011,TRUE
"E2+","Astro.2",8,568,922.5,1692,TRUE
"E2+","Astro.3",8,34,50.5,100,TRUE
"E2+","Astro.4",8,122,514,1304,TRUE
"E2+","Astro.5",8,1002,2009.5,3792,TRUE
"E2+","Macro",8,38,166,743,TRUE
"E2+","Micro.1",5,18,38,85,FALSE
"E2+","Micro.2",8,463,776.5,1570,TRUE
"E2+","Micro.3",8,40,224,450,TRUE
"E2+","Micro.4",6,16,38,73,TRUE
"E2+","Micro.5",8,607,1139.5,1393,TRUE
"E2+","OPC.1",1,25,25,25,FALSE
"E2+","OPC.2",8,350,653,1071,TRUE
"E2+","OPC.4",8,103,260,314,TRUE
"E2+","OPC.5",8,406,541,1119,TRUE
"E2+","Oligo.1",8,333,862.5,3464,TRUE
"E2+","Oligo.2",8,175,490,3308,TRUE
"E2+","Oligo.3",8,1671,3361.5,5775,TRUE
"E2+","Oligo.4",8,1408,2834,5236,TRUE
"E2+","Oligo.5",8,88,232,527,TRUE
"E2+","Vasc.Endo",8,1403,2355,2742,TRUE
"E2+","Vasc.PC",8,692,1339,3091,TRUE
"E2+","Vasc.VLMC",8,38,294.5,715,TRUE
"E2+","Excit.L2",8,377,755,2445,TRUE
"E2+","Excit.L2_5.1",8,137,511.5,1173,TRUE
"E2+","Excit.L2_5.2",7,95,459,1164,TRUE
"E2+","Excit.L5.1",8,140,298,2143,TRUE
"E2+","Excit.L5.2",7,53,177,295,TRUE
"E2+","Excit.L5_6_NP",3,42,263,469,TRUE
"E2+","Excit.L6_CT",8,256,323.5,587,TRUE
"E2+","Excit.L6b",8,194,294,601,TRUE
"E2+","Inhib.Chandelier",8,39,87.5,105,TRUE
"E2+","Inhib.Lamp5_Lhx6",8,159,285.5,426,TRUE
"E2+","Inhib.Pax6",8,37,99.5,184,TRUE
"E2+","Inhib.Pvalb",8,215,312.5,488,TRUE
"E2+","Inhib.Sst",8,135,256,607,TRUE
"E2+","Inhib.Vip",8,261,522.5,1001,TRUE
"E4+","Astro.1",8,260,636.5,2489,TRUE
"E4+","Astro.2",8,598,1219.5,1831,TRUE
"E4+","Astro.3",7,34,67,159,TRUE
"E4+","Astro.4",8,108,329.5,1225,TRUE
"E4+","Astro.5",8,2267,2678,5463,TRUE
"E4+","Macro",8,122,331,2136,TRUE
"E4+","Micro.1",1,19,19,19,FALSE
"E4+","Micro.2",8,450,797.5,1747,TRUE
"E4+","Micro.3",7,20,63,156,TRUE
"E4+","Micro.4",3,14,21,30,TRUE
"E4+","Micro.5",8,389,1103.5,2102,TRUE
"E4+","OPC.1",3,11,16,24,FALSE
"E4+","OPC.2",8,445,708.5,1529,TRUE
"E4+","OPC.4",8,80,201,604,TRUE
"E4+","OPC.5",8,321,789,1506,TRUE
"E4+","Oligo.1",8,392,718.5,1222,TRUE
"E4+","Oligo.2",8,122,402.5,880,TRUE
"E4+","Oligo.3",8,1696,3703,8975,TRUE
"E4+","Oligo.4",8,1048,1583,4314,TRUE
"E4+","Oligo.5",8,72,159.5,264,TRUE
"E4+","Vasc.Endo",8,1281,2359.5,3533,TRUE
"E4+","Vasc.PC",8,920,1592,4032,TRUE
"E4+","Vasc.VLMC",8,115,369.5,3076,TRUE
"E4+","Excit.L2",8,665,1714.5,2688,TRUE
"E4+","Excit.L2_5.1",8,333,670,1128,TRUE
"E4+","Excit.L2_5.2",7,14,415,1320,TRUE
"E4+","Excit.L5.1",8,191,308,1941,TRUE
"E4+","Excit.L5.2",7,68,156,305,TRUE
"E4+","Excit.L5_6_NP",3,18,23,139,TRUE
"E4+","Excit.L6_CT",7,52,306,479,TRUE
"E4+","Excit.L6b",7,18,350,495,TRUE
"E4+","Inhib.Chandelier",8,62,99.5,162,TRUE
"E4+","Inhib.Lamp5_Lhx6",8,227,333,621,TRUE
"E4+","Inhib.Pax6",8,66,114,157,TRUE
"E4+","Inhib.Pvalb",8,221,306.5,524,TRUE
"E4+","Inhib.Sst",8,177,242,543,TRUE
"E4+","Inhib.Vip",8,410,641,1015,TRUE
