Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,16,-0.4349,19,-0.1908,26,0.46354,23,0.11351,17,-0.3565
ENSG00000188976,NOC2L,30,-1.0778,38,-0.7134,84,0.87737,50,-0.3104,55,-0.1675
ENSG00000188290,HES4,93,0.42746,78,0.13313,89,0.50477,48,-0.6580,46,-0.8017
ENSG00000187608,ISG15,71,0.13495,54,-0.3310,78,0.41525,60,-0.1498,54,-0.3804
ENSG00000188157,AGRN,39,-0.0893,35,-0.2856,46,0.24421,36,-0.2237,42,0.01753
ENSG00000078808,SDF4,106,0.28120,63,-0.5680,84,-0.1399,80,-0.1840,108,0.36207
ENSG00000176022,B3GALT6,18,-1.1374,39,0.12315,37,0.02968,26,-0.5618,49,0.60423
ENSG00000160087,UBE2J2,35,-0.4463,46,0.00440,52,0.27011,45,-0.0518,44,-0.0870
ENSG00000131584,ACAP3,79,-0.4762,80,-0.4375,121,0.32082,62,-0.8434,131,0.42609
ENSG00000127054,INTS11,59,0.01081,49,-0.3176,69,0.36733,62,0.07370,48,-0.3761
ENSG00000224051,CPTP,43,0.12151,30,-0.4719,49,0.51914,33,-0.3178,33,-0.3530
ENSG00000107404,DVL1,51,-0.4582,79,0.26004,58,-0.3557,69,0.02298,85,0.45595
ENSG00000175756,AURKAIP1,175,0.00557,149,-0.2533,186,0.15496,171,-0.0304,170,-0.0438
ENSG00000221978,CCNL2,49,-0.0811,30,-0.8655,59,0.30799,53,0.03931,53,0.03136
ENSG00000242485,MRPL20,202,0.08863,201,0.08031,209,0.20631,204,0.10699,149,-0.4651
ENSG00000235098,ANKRD65,21,-0.4052,29,0.15856,30,0.28297,28,0.09708,22,-0.3214
