"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Endo.1","LINC01182",11.783752871576,1.08315186866115e-15,5.12986619187458e-12,1401,3.87883363343306,"ENSG00000250634"
"2",2,"enrichment","Endo.1","SLC5A5",11.6047397527278,1.86371160467741e-15,5.12986619187458e-12,4940,4.13316831589402,"ENSG00000105641"
"3",3,"enrichment","Endo.1","SLC13A3",11.270047149936,5.19829981226136e-15,9.53888015549959e-12,5118,4.76202239275778,"ENSG00000158296"
"4",4,"enrichment","Endo.1","ENSG00000257228",10.807812705265,2.19487113972073e-14,2.52809682549632e-11,3636,4.69771584421006,"ENSG00000257228"
"5",5,"enrichment","Endo.1","ENSG00000251680",10.7934721912096,2.29618240281228e-14,2.52809682549632e-11,1848,2.86471604095939,"ENSG00000251680"
"6",6,"enrichment","Endo.1","MAPK4",10.127070454196,1.92369938300635e-13,1.76499418390832e-10,4842,5.13931880595382,"ENSG00000141639"
"7",7,"enrichment","Endo.1","TRPM3",10.0479022245813,2.48543081308739e-13,1.95461380372087e-10,2875,5.04423406335795,"ENSG00000083067"
"8",8,"enrichment","Endo.1","ENSG00000253642",9.70609440017661,7.57836170340602e-13,5.21486014715627e-10,2640,4.70512116256713,"ENSG00000253642"
"9",9,"enrichment","Endo.1","ENSG00000224746",9.63113298009541,9.69546908085455e-13,5.93039525445603e-10,2532,2.72149509954906,"ENSG00000224746"
"10",10,"enrichment","Endo.1","SLC22A8",9.51819565959606,1.40703662127522e-12,7.74573660012008e-10,3401,3.04986213218957,"ENSG00000149452"
"11",1,"enrichment","Endo.2","ADGRL4",38.8302511389812,3.69958470890228e-38,2.03662138225071e-34,195,6.18326119979543,"ENSG00000162618"
"12",2,"enrichment","Endo.2","FENDRR",36.2511062521323,9.26426106209426e-37,2.54998785734145e-33,4528,4.01074549714192,"ENSG00000268388"
"13",3,"enrichment","Endo.2","ENSG00000250863",31.2341871439103,9.41733507020756e-34,1.72808098538309e-30,1446,4.78602143868041,"ENSG00000250863"
"14",4,"enrichment","Endo.2","GIMAP5",30.857326638214,1.64935083212184e-33,2.26991908270768e-30,2556,3.89415838237252,"ENSG00000196329"
"15",5,"enrichment","Endo.2","MFSD2A",29.6809481421214,9.87897127183717e-33,9.9977915876659e-30,97,5.32199476228533,"ENSG00000168389"
"16",6,"enrichment","Endo.2","DIPK2B",29.6176879491733,1.08967755723879e-32,9.9977915876659e-30,5362,5.27129079094275,"ENSG00000147113"
"17",7,"enrichment","Endo.2","PTPRB",28.5332778250348,6.02937260722783e-32,4.74167088611275e-29,3720,6.77217853521896,"ENSG00000127329"
"18",8,"enrichment","Endo.2","NOTCH4",28.1060355652236,1.2020542629961e-31,8.27163589724192e-29,2042,4.3984409125076,"ENSG00000204301"
"19",9,"enrichment","Endo.2","PECAM1",27.6217234497428,2.65782655197487e-31,1.60502288375528e-28,4709,5.5364033105239,"ENSG00000261371"
"20",10,"enrichment","Endo.2","VWA2",27.5091718634441,3.20165755266259e-31,1.60502288375528e-28,3253,3.68316199990785,"ENSG00000165816"
"21",1,"enrichment","Endo.3","FMOD",7.40976527398791,1.90513566002557e-09,5.24388590422039e-06,415,2.74061346314431,"ENSG00000122176"
"22",2,"enrichment","Endo.3","VIT",6.98625835065991,8.36587386648237e-09,1.31501663463862e-05,588,2.89862386756051,"ENSG00000205221"
"23",3,"enrichment","Endo.3","APOD",6.87412001276275,1.23903106388589e-08,1.31501663463862e-05,1362,3.83549148858937,"ENSG00000189058"
"24",4,"enrichment","Endo.3","TNXB",6.65371611350264,2.6828525290607e-08,2.10987188178274e-05,2040,1.54282773802744,"ENSG00000168477"
"25",5,"enrichment","Endo.3","MFAP4",6.59821795112778,3.25915823052785e-08,2.24270825738198e-05,4590,2.68754304730275,"ENSG00000166482"
"26",6,"enrichment","Endo.3","ITIH2",6.50537776195412,4.51306870003566e-08,2.76049368818848e-05,3044,2.8507075788468,"ENSG00000151655"
"27",7,"enrichment","Endo.3","ZEB1-AS1",6.45673490247675,5.35217556417337e-08,2.94637264807744e-05,3093,1.90779377629657,"ENSG00000237036"
"28",8,"enrichment","Endo.3","MATN2",6.42327258374013,6.01824723251437e-08,3.01185918318106e-05,2730,2.72278648838803,"ENSG00000132561"
"29",9,"enrichment","Endo.3","RNF220",6.36890221512302,7.28153620396924e-08,3.08853658765596e-05,112,2.42312519531356,"ENSG00000187147"
"30",10,"enrichment","Endo.3","HSD11B1",6.36843188035894,7.2935468918306e-08,3.08853658765596e-05,435,2.35718266423646,"ENSG00000117594"
"31",1,"enrichment","Endo.4","MYH11",8.44703405423996,5.48799980158288e-11,7.55285972692843e-08,4423,4.97173063373652,"ENSG00000133392"
"32",2,"enrichment","Endo.4","ITGA7",7.50677180897586,1.39221409824465e-09,1.09487694440526e-06,3677,3.7465918397536,"ENSG00000135424"
"33",3,"enrichment","Endo.4","ZFHX3",7.18747163887029,4.22931860834224e-09,2.586933215436e-06,4505,2.5278084250782,"ENSG00000140836"
"34",4,"enrichment","Endo.4","NTN4",6.78972409937482,1.69713500557294e-08,6.67337728977076e-06,3764,3.51645680298565,"ENSG00000074527"
"35",5,"enrichment","Endo.4","WTIP",6.72965141614262,2.09404455100605e-08,7.68514350219219e-06,4968,2.82320839435989,"ENSG00000142279"
"36",6,"enrichment","Endo.4","TTLL7",6.68557448547724,2.4432242762958e-08,7.94353607642185e-06,198,3.44964697321095,"ENSG00000137941"
"37",7,"enrichment","Endo.4","MYL9",6.6844280697478,2.45304474657896e-08,7.94353607642185e-06,5096,3.44408834301109,"ENSG00000101335"
"38",8,"enrichment","Endo.4","TPM2",6.46376507551919,5.30945966601527e-08,1.62380974785634e-05,2853,3.10383330322872,"ENSG00000198467"
"39",9,"enrichment","Endo.4","NEURL1B",6.25963391249214,1.08416928943732e-07,2.98417596917623e-05,1946,3.08134244312433,"ENSG00000214357"
"40",10,"enrichment","Endo.4","TAGLN",6.16079728797467,1.53131325877911e-07,3.8317634043541e-05,3519,4.61759875884709,"ENSG00000149591"
