cluster,n_cells,n_donors,sestan_EC
Endo.1,185,31,aSMC.ACTA2.TAGLN/vSMC.ABCC9.P2RY14
Endo.2,593,28,VLMC.COL1A1.COL1A2*
Endo.3,347,31,Endo.CLDN5.VWF
Endo.4,323,28,VLMC.COL1A1.COL1A2
