"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Endo.1","MYH11",8.44703405423997,5.48799980158272e-11,7.55285972692822e-08,4423,4.97173063373653,"ENSG00000133392"
"2",2,"enrichment","Endo.1","ITGA7",7.50677180897585,1.39221409824466e-09,1.09487694440527e-06,3677,3.7465918397536,"ENSG00000135424"
"3",3,"enrichment","Endo.1","ZFHX3",7.18747163887028,4.22931860834245e-09,2.58693321543613e-06,4505,2.52780842507819,"ENSG00000140836"
"4",4,"enrichment","Endo.1","NTN4",6.78972409937482,1.69713500557298e-08,6.6733772897709e-06,3764,3.51645680298564,"ENSG00000074527"
"5",5,"enrichment","Endo.1","WTIP",6.72965141614262,2.09404455100607e-08,7.68514350219226e-06,4968,2.82320839435989,"ENSG00000142279"
"6",6,"enrichment","Endo.1","TTLL7",6.68557448547723,2.4432242762959e-08,7.94353607642202e-06,198,3.44964697321094,"ENSG00000137941"
"7",7,"enrichment","Endo.1","MYL9",6.6844280697478,2.45304474657901e-08,7.94353607642202e-06,5096,3.44408834301108,"ENSG00000101335"
"8",8,"enrichment","Endo.1","TPM2",6.46376507551917,5.30945966601569e-08,1.62380974785646e-05,2853,3.10383330322871,"ENSG00000198467"
"9",9,"enrichment","Endo.1","NEURL1B",6.25963391249213,1.08416928943734e-07,2.98417596917629e-05,1946,3.08134244312433,"ENSG00000214357"
"10",10,"enrichment","Endo.1","TAGLN",6.16079728797467,1.53131325877914e-07,3.83176340435417e-05,3519,4.61759875884708,"ENSG00000149591"
"11",1,"enrichment","Endo.2","LINC01182",11.783752871576,1.08315186866115e-15,5.12986619187471e-12,1401,3.87883363343306,"ENSG00000250634"
"12",2,"enrichment","Endo.2","SLC5A5",11.6047397527278,1.86371160467746e-15,5.12986619187471e-12,4940,4.13316831589402,"ENSG00000105641"
"13",3,"enrichment","Endo.2","SLC13A3",11.2700471499361,5.19829981226106e-15,9.53888015549905e-12,5118,4.76202239275779,"ENSG00000158296"
"14",4,"enrichment","Endo.2","ENSG00000257228",10.807812705265,2.19487113972076e-14,2.52809682549623e-11,3636,4.69771584421006,"ENSG00000257228"
"15",5,"enrichment","Endo.2","ENSG00000251680",10.7934721912096,2.2961824028122e-14,2.52809682549623e-11,1848,2.8647160409594,"ENSG00000251680"
"16",6,"enrichment","Endo.2","MAPK4",10.127070454196,1.92369938300627e-13,1.76499418390825e-10,4842,5.13931880595382,"ENSG00000141639"
"17",7,"enrichment","Endo.2","TRPM3",10.0479022245813,2.48543081308736e-13,1.95461380372084e-10,2875,5.04423406335795,"ENSG00000083067"
"18",8,"enrichment","Endo.2","ENSG00000253642",9.70609440017661,7.57836170340589e-13,5.21486014715618e-10,2640,4.70512116256714,"ENSG00000253642"
"19",9,"enrichment","Endo.2","ENSG00000224746",9.63113298009541,9.69546908085434e-13,5.93039525445591e-10,2532,2.72149509954906,"ENSG00000224746"
"20",10,"enrichment","Endo.2","SLC22A8",9.51819565959606,1.4070366212752e-12,7.74573660012e-10,3401,3.04986213218957,"ENSG00000149452"
"21",1,"enrichment","Endo.3","ADGRL4",38.8302511389812,3.69958470890233e-38,2.03662138225074e-34,195,6.18326119979543,"ENSG00000162618"
"22",2,"enrichment","Endo.3","FENDRR",36.2511062521322,9.26426106209479e-37,2.54998785734159e-33,4528,4.01074549714192,"ENSG00000268388"
"23",3,"enrichment","Endo.3","ENSG00000250863",31.2341871439103,9.41733507020742e-34,1.72808098538306e-30,1446,4.78602143868041,"ENSG00000250863"
"24",4,"enrichment","Endo.3","GIMAP5",30.857326638214,1.64935083212184e-33,2.26991908270768e-30,2556,3.89415838237252,"ENSG00000196329"
"25",5,"enrichment","Endo.3","MFSD2A",29.6809481421213,9.87897127183774e-33,9.99779158766661e-30,97,5.32199476228533,"ENSG00000168389"
"26",6,"enrichment","Endo.3","DIPK2B",29.6176879491733,1.08967755723887e-32,9.99779158766661e-30,5362,5.27129079094275,"ENSG00000147113"
"27",7,"enrichment","Endo.3","PTPRB",28.5332778250348,6.02937260722783e-32,4.74167088611275e-29,3720,6.77217853521896,"ENSG00000127329"
"28",8,"enrichment","Endo.3","NOTCH4",28.1060355652236,1.20205426299612e-31,8.27163589724204e-29,2042,4.3984409125076,"ENSG00000204301"
"29",9,"enrichment","Endo.3","PECAM1",27.6217234497428,2.65782655197487e-31,1.60502288375526e-28,4709,5.5364033105239,"ENSG00000261371"
"30",10,"enrichment","Endo.3","VWA2",27.5091718634441,3.20165755266259e-31,1.60502288375526e-28,3253,3.68316199990785,"ENSG00000165816"
"31",1,"enrichment","Endo.4","FMOD",7.40976527398791,1.90513566002558e-09,5.24388590422041e-06,415,2.74061346314431,"ENSG00000122176"
"32",2,"enrichment","Endo.4","VIT",6.98625835065991,8.36587386648234e-09,1.3150166346386e-05,588,2.89862386756051,"ENSG00000205221"
"33",3,"enrichment","Endo.4","APOD",6.87412001276275,1.23903106388591e-08,1.3150166346386e-05,1362,3.83549148858937,"ENSG00000189058"
"34",4,"enrichment","Endo.4","TNXB",6.65371611350264,2.68285252906076e-08,2.10987188178279e-05,2040,1.54282773802744,"ENSG00000168477"
"35",5,"enrichment","Endo.4","MFAP4",6.59821795112778,3.2591582305278e-08,2.24270825738194e-05,4590,2.68754304730275,"ENSG00000166482"
"36",6,"enrichment","Endo.4","ITIH2",6.50537776195412,4.51306870003569e-08,2.7604936881885e-05,3044,2.8507075788468,"ENSG00000151655"
"37",7,"enrichment","Endo.4","ZEB1-AS1",6.45673490247675,5.35217556417333e-08,2.94637264807742e-05,3093,1.90779377629657,"ENSG00000237036"
"38",8,"enrichment","Endo.4","MATN2",6.42327258374013,6.01824723251438e-08,3.01185918318106e-05,2730,2.72278648838803,"ENSG00000132561"
"39",9,"enrichment","Endo.4","RNF220",6.36890221512302,7.28153620396926e-08,3.08853658765593e-05,112,2.42312519531356,"ENSG00000187147"
"40",10,"enrichment","Endo.4","HSD11B1",6.36843188035894,7.29354689183053e-08,3.08853658765593e-05,435,2.35718266423646,"ENSG00000117594"
