k20,n,passALL_metricQC,metric_fail,rank,cell_type_k20,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,sctype,sestan_EC,snDLPFC_PEC
k2,593,TRUE,NA,1,Endo.1,5837,2566,0.057290174735032943,0.0010660040425136685,Astrocytes,VLMC.COL1A1.COL1A2*,VLMC*
k3,347,TRUE,NA,2,Endo.2,7854,2979,0.1440356160796124,0.00145349174272269,Endothelial cells,Endo.CLDN5.VWF,Endo
k4,323,TRUE,NA,3,Endo.3,8593,3293,0.05707762557077625,0.0012288140133023262,Astrocytes,VLMC.COL1A1.COL1A2,VLMC
k1,185,TRUE,NA,4,Endo.4,6501,2740,0.24576734025122884,0.0014361247885972261,Endothelial cells,aSMC.ACTA2.TAGLN/vSMC.ABCC9.P2RY14,SMC
