k10,n,rank,cell_type_k10,median_sum,median_detected,median_Mito_percent,median_scDblFinder.score,passALL_metricQC,sctype,sestan_EC,snDLPFC_PEC
3,352,1,Endo.1,5216.5,2409,0.05419145873696312,0.00100717757595703,TRUE,Oligodendrocytes,VLMC.COL1A1.COL1A2*,VLMC*
1,345,2,Endo.2,7872,2980,0.1440356160796124,0.00145349174272269,TRUE,Oligodendrocytes,Endo.CLDN5.VWF,Endo
7,286,3,Endo.3,8664,3323,0.05787663877215525,0.0012288140133023262,TRUE,Oligodendrocytes,VLMC.COL1A1.COL1A2*,VLMC
5,212,4,Endo.4,6566.5,2802,0.056200855836487304,0.001094354665838182,TRUE,Glutamatergic neurons,VLMC.COL1A1.COL1A2/Astro.AQP4.CHRDL1*,Vip/VLMC*
2,147,5,Endo.5,6357,2755,0.2820355610055181,0.001422317698597908,TRUE,Oligodendrocytes,vSMC.ABCC9.P2RY14,PC
4,65,6,Endo.6,7613,2942,0.06990562740300593,0.0013282664585858583,TRUE,Astrocytes,EC.L6b.TLE4.CCN2/EC.L2.CUX2.LAMA3/EC.L6.TLE4.SULF1*,Sst*
6,41,7,Endo.7,7117,2715,0.15081439774783834,0.0014361247885972261,TRUE,Astrocytes,NA,NA
