Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000237491,LINC01409,14,-0.1578,7,-1.1430,9,-0.8536,15,-0.0565,17,0.14230,28,0.95421,27,0.87004,9,-0.8879
ENSG00000228794,LINC01128,40,0.21433,44,0.35356,38,0.09544,38,0.12888,55,0.72451,29,-0.3230,26,-0.5127,14,-1.3965
ENSG00000188976,NOC2L,46,-0.3284,53,-0.0905,86,0.71368,58,0.05318,82,0.64466,50,-0.1895,29,-1.0133,45,-0.3517
ENSG00000188290,HES4,90,-0.3425,97,-0.2162,130,0.26210,87,-0.3862,115,0.06089,89,-0.3643,168,0.70604,112,0.01147
ENSG00000187608,ISG15,35,-0.8493,84,0.54418,67,0.16204,36,-0.8140,76,0.37257,80,0.45747,50,-0.3013,57,-0.1055
ENSG00000188157,AGRN,28,-0.9781,39,-0.4284,41,-0.3689,59,0.22891,55,0.09696,60,0.26227,89,0.93964,41,-0.3703
ENSG00000131591,C1orf159,15,0.01154,13,-0.2671,17,0.24160,15,-0.0033,14,-0.1516,18,0.26268,15,-0.0308,14,-0.1250
ENSG00000078808,SDF4,80,-0.1975,65,-0.5263,92,0.03504,125,0.53972,70,-0.4111,98,0.13201,123,0.51590,70,-0.4054
ENSG00000176022,B3GALT6,52,0.26295,36,-0.3355,54,0.31231,45,0.01189,57,0.40657,43,-0.0748,37,-0.2984,33,-0.4838
ENSG00000160087,UBE2J2,44,-0.3525,54,-0.0260,64,0.26206,65,0.27245,71,0.43303,49,-0.1735,38,-0.5928,54,-0.0360
ENSG00000162572,SCNN1D,21,0.01655,13,-0.7021,28,0.48725,25,0.28342,20,-0.0523,22,0.06567,22,0.04038,17,-0.3816
ENSG00000131584,ACAP3,124,-0.2647,99,-0.6338,130,-0.1991,238,0.83584,146,-0.0055,117,-0.3691,187,0.41011,131,-0.1815
ENSG00000169972,PUSL1,21,0.73896,9,-0.6357,14,0.03330,15,0.15791,17,0.40422,10,-0.4468,8,-0.8568,14,0.08119
ENSG00000127054,INTS11,59,-0.2469,55,-0.3455,50,-0.5118,96,0.57233,74,0.13332,52,-0.4356,90,0.46550,71,0.05797
ENSG00000224051,CPTP,17,-1.0934,26,-0.4530,38,0.16376,36,0.07997,34,-0.0104,40,0.25553,47,0.52603,37,0.10399
ENSG00000107404,DVL1,80,-0.0117,71,-0.2044,64,-0.3598,86,0.10931,66,-0.3151,84,0.07885,107,0.48298,84,0.08200
ENSG00000175756,AURKAIP1,259,0.40020,243,0.29117,182,-0.1856,208,0.03061,235,0.23580,113,-0.9387,216,0.09263,176,-0.2371
ENSG00000221978,CCNL2,48,-0.6195,51,-0.5227,70,-0.0193,72,0.03258,102,0.61083,80,0.20427,95,0.48694,49,-0.5984
ENSG00000242485,MRPL20,239,0.38471,188,-0.0187,236,0.36067,157,-0.3143,182,-0.0750,213,0.18746,133,-0.5759,174,-0.1454
