Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000228794,LINC01128,17,-0.3543,26,0.46354,19,-0.2172
ENSG00000188976,NOC2L,34,-0.9921,84,0.87737,53,-0.2706
ENSG00000188290,HES4,86,0.33919,89,0.50477,47,-0.8981
ENSG00000187608,ISG15,62,-0.0971,78,0.41525,56,-0.3642
ENSG00000188157,AGRN,37,-0.2135,46,0.24421,40,-0.0850
ENSG00000078808,SDF4,85,-0.1113,84,-0.1399,99,0.22156
ENSG00000176022,B3GALT6,28,-0.4548,37,0.02968,41,0.29819
ENSG00000160087,UBE2J2,41,-0.2391,52,0.27011,44,-0.0932
ENSG00000131584,ACAP3,79,-0.5206,121,0.32082,108,0.04946
ENSG00000127054,INTS11,54,-0.1692,69,0.36733,53,-0.2519
ENSG00000224051,CPTP,36,-0.1755,49,0.51914,33,-0.4188
ENSG00000107404,DVL1,65,-0.0758,58,-0.3557,80,0.39208
ENSG00000175756,AURKAIP1,162,-0.1384,186,0.15496,171,-0.0490
ENSG00000221978,CCNL2,39,-0.4912,59,0.30799,53,0.04360
ENSG00000242485,MRPL20,201,0.09905,209,0.20631,167,-0.2988
ENSG00000235098,ANKRD65,25,-0.1186,30,0.28297,24,-0.1998
ENSG00000179403,VWA1,34,0.28825,21,-0.6856,35,0.38330
ENSG00000197785,ATAD3A,14,-0.8844,36,1.29129,15,-0.8314
ENSG00000205090,TMEM240,29,-0.5744,41,0.02959,47,0.37310
ENSG00000160075,SSU72,156,-0.3571,199,0.11176,202,0.15308
ENSG00000228594,FNDC10,39,-0.0152,39,-0.0218,40,0.03384
ENSG00000272106,AL691432.2,20,-0.5737,21,-0.5234,38,0.86711
ENSG00000197530,MIB2,27,-0.6669,47,0.48546,38,-0.0311
ENSG00000189339,SLC35E2B,21,0.07822,24,0.41492,16,-0.5180
ENSG00000215790,SLC35E2A,31,-0.6406,39,-0.2190,56,0.64288
ENSG00000008130,NADK,32,0.15252,33,0.25530,24,-0.4014
ENSG00000078369,GNB1,468,0.00192,469,0.00556,467,-0.0071
ENSG00000187730,GABRD,124,-0.7064,189,0.07015,217,0.41190
ENSG00000067606,PRKCZ,207,-0.2403,262,0.25777,227,-0.0793
ENSG00000162585,FAAP20,64,0.54036,55,0.27866,33,-0.8306
ENSG00000157933,SKI,38,0.44934,25,-0.4287,31,0.02400
ENSG00000157916,RER1,47,-0.9589,100,0.52343,84,0.09499
ENSG00000157911,PEX10,30,-0.0681,30,-0.0760,33,0.12806
ENSG00000149527,PLCH2,29,0.07454,36,0.67129,18,-0.8359
ENSG00000157881,PANK4,13,-0.7573,27,0.68343,19,-0.1907
ENSG00000157870,PRXL2B,61,-0.3489,80,0.19121,76,0.06747
ENSG00000177133,PRDM16-DT,28,0.28201,5,-2.6082,40,1.45553
ENSG00000158109,TPRG1L,172,-0.5555,278,0.43981,227,-0.0529
ENSG00000130764,LRRC47,55,-0.7191,113,0.82909,69,-0.3794
ENSG00000196581,AJAP1,27,-0.8046,41,-0.0264,52,0.55808
ENSG00000069424,KCNAB2,264,0.11070,274,0.22918,214,-0.3343
ENSG00000116254,CHD5,135,0.10655,129,0.01318,122,-0.1009
ENSG00000116251,RPL22,688,0.74927,393,-0.4320,425,-0.2647
ENSG00000116237,ICMT,31,-0.6874,52,0.36123,47,0.11133
ENSG00000097021,ACOT7,241,-0.7771,470,0.60266,355,-0.0904
ENSG00000215788,TNFRSF25,19,-0.0554,21,0.10703,19,-0.0644
ENSG00000171680,PLEKHG5,25,-0.4027,33,0.13679,34,0.15899
ENSG00000162408,NOL9,25,-0.1544,25,-0.1316,30,0.24556
ENSG00000162413,KLHL21,28,-0.3586,36,0.10902,36,0.15684
ENSG00000041988,THAP3,15,-0.8666,24,0.02294,30,0.54460
ENSG00000007923,DNAJC11,27,-0.5123,39,0.19445,39,0.17298
ENSG00000171735,CAMTA1,124,-0.0703,131,0.03094,130,0.02454
ENSG00000049245,VAMP3,32,0.49585,10,-1.6803,35,0.86723
ENSG00000049246,PER3,25,0.15205,17,-0.6529,28,0.46798
ENSG00000116288,PARK7,403,-0.0700,446,0.15453,400,-0.1020
ENSG00000116285,ERRFI1,19,-0.0695,20,0.01541,20,0.03936
ENSG00000162426,SLC45A1,31,-0.5603,53,0.61456,37,-0.2403
ENSG00000142599,RERE,107,-0.0011,94,-0.2787,119,0.26674
ENSG00000074800,ENO1,719,-0.2963,903,0.16472,863,0.05756
ENSG00000171612,SLC25A33,52,0.79880,32,-0.2521,28,-0.4995
ENSG00000171603,CLSTN1,576,-0.6829,1052,0.56957,798,-0.1116
ENSG00000178585,CTNNBIP1,27,-0.1705,28,-0.1316,34,0.25724
ENSG00000162441,LZIC,31,0.43839,25,0.05942,20,-0.4570
ENSG00000130939,UBE4B,22,-0.9167,45,0.47364,39,0.12451
ENSG00000054523,KIF1B,192,-0.3729,244,0.08230,255,0.19294
ENSG00000142657,PGD,42,-0.5735,78,0.76606,48,-0.4041
ENSG00000241563,CORT,49,-1.4056,218,2.22483,44,-1.7534
ENSG00000160049,DFFA,26,-0.0431,20,-0.6436,35,0.61037
ENSG00000142655,PEX14,20,-0.4685,40,1.23235,15,-1.0817
ENSG00000120948,TARDBP,52,-0.4115,71,0.20661,67,0.09461
ENSG00000116649,SRM,99,-0.2635,115,0.03044,122,0.16829
ENSG00000171824,EXOSC10,16,-0.7234,31,0.55356,24,-0.0695
ENSG00000198793,MTOR,37,-0.3174,59,0.78573,33,-0.6219
ENSG00000116661,FBXO2,327,0.45227,255,-0.0531,223,-0.3479
ENSG00000132879,FBXO44,122,-0.6585,219,0.55787,167,-0.1142
ENSG00000116670,MAD2L2,41,0.21154,32,-0.3141,39,0.12793
ENSG00000011021,CLCN6,44,-0.5919,69,0.32941,63,0.08590
ENSG00000116685,KIAA2013,32,-0.4589,40,-0.0876,49,0.41213
ENSG00000083444,PLOD1,23,0.46695,15,-0.4404,19,0.01843
ENSG00000116688,MFN2,77,-0.2673,110,0.51674,76,-0.3425
ENSG00000116691,MIIP,21,-0.0388,25,0.44803,17,-0.4517
ENSG00000048707,VPS13D,37,-0.4652,56,0.38758,47,-0.0571
ENSG00000162496,DHRS3,24,0.49856,10,-1.1424,23,0.54121
ENSG00000116731,PRDM2,53,-0.4475,73,0.16504,73,0.16049
ENSG00000189337,KAZN,21,-1.0009,47,0.51361,40,0.12700
ENSG00000142634,EFHD2,37,-1.6332,140,1.04173,89,-0.1538
ENSG00000116138,DNAJC16,16,-0.8523,26,0.04688,31,0.51434
ENSG00000116786,PLEKHM2,61,-0.4375,75,-0.0846,91,0.39565
ENSG00000065526,SPEN,33,0.73612,17,-0.6455,22,-0.0570
ENSG00000037637,FBXO42,13,-0.7303,26,0.57749,19,-0.0911
ENSG00000055070,SZRD1,29,0.93686,15,-0.4232,15,-0.4762
ENSG00000159363,ATP13A2,159,-0.2476,224,0.52337,154,-0.3655
ENSG00000117118,SDHB,91,-0.2436,106,0.05191,109,0.13302
ENSG00000117115,PADI2,50,1.16006,8,-2.3366,36,0.54586
ENSG00000117154,IGSF21,40,-0.8293,90,0.95601,51,-0.4569
ENSG00000159423,ALDH4A1,36,0.56836,19,-0.7593,30,0.19709
ENSG00000127463,EMC1,17,-1.0654,37,0.38613,36,0.28968
ENSG00000053372,MRTO4,32,-0.3066,48,0.54076,33,-0.3395
ENSG00000053371,AKR7A2,52,0.01764,49,-0.1144,54,0.09828
ENSG00000077549,CAPZB,155,-0.6580,269,0.45842,222,-0.0079
ENSG00000173436,MICOS10,401,0.31147,348,0.04185,297,-0.3137
ENSG00000158747,NBL1,170,-0.2377,251,0.67240,149,-0.5492
ENSG00000162545,CAMK2N1,1745,0.23230,1194,-0.5618,1776,0.32807
ENSG00000090432,MUL1,22,-0.2918,35,0.75239,20,-0.6019
ENSG00000158828,PINK1,400,-0.2320,551,0.48666,388,-0.3359
ENSG00000244038,DDOST,34,-0.2436,42,0.18822,39,-0.0044
ENSG00000117245,KIF17,12,-1.3620,44,1.50754,18,-0.8115
ENSG00000189410,SH2D5,27,-0.7088,52,0.59602,38,-0.1244
ENSG00000127483,HP1BP3,105,-0.3727,136,0.13936,136,0.13614
ENSG00000075151,EIF4G3,72,-0.9832,150,0.43657,137,0.19743
ENSG00000076864,RAP1GAP,85,-1.3690,277,1.05292,165,-0.2771
ENSG00000090686,USP48,33,-0.2450,36,-0.1173,42,0.29699
ENSG00000070831,CDC42,161,-0.6431,305,0.73611,198,-0.3223
ENSG00000173372,C1QA,62,2.08224,10,-1.7207,18,-0.7670
ENSG00000159189,C1QC,50,1.90758,13,-1.0392,13,-1.1029
ENSG00000173369,C1QB,80,1.96298,14,-1.6835,26,-0.6437
ENSG00000004487,KDM1A,39,-0.7664,75,0.57843,58,-0.0706
ENSG00000169641,LUZP1,31,-0.2084,43,0.57680,28,-0.4592
ENSG00000125944,HNRNPR,74,-0.5056,109,0.25755,102,0.10483
ENSG00000125945,ZNF436,18,-0.5798,23,-0.1055,30,0.50353
ENSG00000142676,RPL11,674,0.85822,338,-0.5979,404,-0.2234
ENSG00000057757,PITHD1,166,-0.4885,254,0.38798,213,-0.0419
ENSG00000011009,LYPLA2,43,-0.3022,58,0.34941,47,-0.1311
ENSG00000117308,GALE,15,-0.2133,14,-0.4114,21,0.53941
ENSG00000117305,HMGCL,17,-0.0669,17,-0.0089,18,0.06155
ENSG00000179163,FUCA1,15,-0.5425,27,0.72649,17,-0.3798
ENSG00000189266,PNRC2,45,0.04146,46,0.12291,41,-0.1599
ENSG00000188529,SRSF10,39,-0.2402,51,0.29512,42,-0.1189
ENSG00000001461,NIPAL3,31,-0.7180,52,0.24523,52,0.24700
ENSG00000133226,SRRM1,46,0.12356,36,-0.3922,48,0.27053
ENSG00000169504,CLIC4,39,1.06324,8,-2.0026,29,0.50102
ENSG00000117614,SYF2,58,0.18207,51,-0.1036,52,-0.0477
