BayesSpace_SVGm_k09,top_enrich_genes,sum_umi_median,sum_gene_median,expr_chrM_ratio_median
Sp09D01,"FKBP1A, LAMP5, BTBD3, ATP6V1H, GNAL, NCDN, HPCAL1, MAPK1, RTN4, HOPX",5557,2465,0.1875
Sp09D02,"COX6A1, TUBB2B, ENHO, COX5B, SFXN5, NDUFB9, APOC1, C1orf61, MAP1A, NAA38",3916,1748,0.26063348416289595
Sp09D03,"SYT1, ARL6IP1, STMN2, TUBA1B, ELAVL4, PFKP, PCP4, DCLK1, IPCEF1, RAB3C",5375,2423,0.18774277951376578
Sp09D04,"EFHD2, NNAT, IGSF21, HS3ST4, CCN2, NCALD, KRT17, DIRAS2, SEMA3E, LMO3",3375,1616,0.23059042305904232
Sp09D05,"CXCL14, CST3, MT1F, FBXO2, MLC1, MT1E, MT1G, GLUL, ALDOC, FGFR3",2358,1002,0.3385658223332144
Sp09D06,"CNP, DBNDD2, FEZ1, SIRT2, SLAIN1, CLDND1, QDPR, SOX2-OT, ABCA2, CNTN2",1652,859,0.20805651559550514
Sp09D07,"MBP, MOBP, BCAS1, PAQR6, TP53INP2, AQP1, KIF1C, LPAR1, ERMN, CHST6",494,294,0.26706231454005935
Sp09D08,"HBA1, HBA2, HBB, TAGLN, FLNA, COL1A2, CALD1, ACTA2, MYL9, CLDN5",1706.5,894.5,0.1997086846650629
Sp09D09,"ATP1B1, GABRA1, TUBB3, SERPINI1, NTNG1, GPR6, ATP1A1, ANKRD34B, OXR1, COL5A2",5611,2498,0.20556660039761432
