SpD_k11,top_enrich_genes,sum_umi_median,sum_gene_median,expr_chrM_ratio_median
Vasc~Sp11D09,"HBA1, HBA2, HBB, TAGLN, S100A6, ACTA2, IGFBP7, COL1A2, COL1A1, SLC13A4",1716,898,0.20068027210884354
L1~Sp11D06,"CST3, MT1F, SLC1A3, GLUL, MT1E, MT3, TTYH1, ENHO, FBXO2, PON2",2408,1019,0.34354722422494594
L2~Sp11D01,"BTBD3, LAMP5, MAPK1, ATP6V1H, NCAM2, RTN4, HPCAL1, PSD3, HOPX, NCDN",5609,2483,0.1866258159051552
Inhib~Sp11D10,"SLC6A1, GAD1, DNER, GAD2, SST, CNR1, TAC1, FXYD6, NXPH1, KCNC2",5240,2370,0.2037902388369678
L3~Sp11D02,"COX6A1, MAP1A, COX5B, TUBB2B, ENHO, C9orf16, CCDC85B, NAA38, HOPX, NDUFA4",3920,1754,0.2593907128068619
LD~Sp11D03,"GPR6, RTN3, NTNG1, NECAB1, WASF1, TUBB3, COL5A2, HMGCS1, DCLK1, SERPINI1",5851,2585,0.19890807141803157
L5~Sp11D04,"TUBA1B, PCP4, SV2B, SSBP3, IPCEF1, SNCA, NUAK1, SYT1, HS3ST2, STMN2",5373.5,2420.5,0.1884842469293106
L6~Sp11D05,"DIRAS2, EFHD2, NNAT, CCN2, HS3ST4, KRT17, TBR1, NCALD, LMO3, OLFML2B",3430,1643.5,0.22946939885465656
WMuf~Sp11D08,"MBP, CPLX3, MOBP, AQP1, AL627171.2, KIF1C, TP53INP2, BCAS1, PAQR6, KRT17",478,285,0.26744186046511625
WMtz~Sp11D11,"MTURN, SNHG6, MAP4K4, PAQR6, TP53INP2, RPL21, ANKRD40, RPL37, RPS29, RPL37A",1442.5,745,0.23318216097627864
WMd~Sp11D07,"SLAIN1, ABCA2, EDIL3, DBNDD2, CNP, SIRT2, CLDND1, SLC44A1, PLLP, CBR1",1949,1012,0.18453427065026362
