"","cell_type_anno","cell_type_hc4","cell_type_hc3","cell_type_hc2"
"1","Micro.1","Micro.4.1","Micro.3.1","Micro.2.1"
"2","Micro.2","Micro.4.2","Micro.3.2","Micro.2.1"
"3","Micro.3","Micro.4.1","Micro.3.1","Micro.2.1"
"4","Micro.4","Micro.4.3","Micro.3.1","Micro.2.1"
"5","Micro.5","Micro.4.4","Micro.3.3","Micro.2.2"
