Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,10,-1.1444,29,1.24606,13,-0.7834,8,-1.3851,14,-0.7219
ENSG00000188976,NOC2L,39,-0.5865,71,0.85295,40,-0.5829,22,-1.4679,48,-0.3299
ENSG00000188290,HES4,57,-0.8221,65,-1.1185,418,2.60901,69,-0.5291,83,-0.2606
ENSG00000187608,ISG15,42,-0.3899,39,-0.9780,209,2.34989,69,0.38074,32,-0.8941
ENSG00000188157,AGRN,45,0.38695,38,0.22882,50,0.55580,28,-0.3452,18,-1.0553
ENSG00000078808,SDF4,109,0.30176,89,-0.0556,116,0.39741,85,-0.0954,76,-0.2975
ENSG00000176022,B3GALT6,32,-0.2312,48,1.07892,4,-3.2260,13,-1.5905,32,-0.2744
ENSG00000160087,UBE2J2,46,-0.4708,70,0.47310,24,-1.4448,99,0.74578,42,-0.6420
ENSG00000162572,SCNN1D,15,0.29033,15,0.81408,2,-2.1821,1,-2.9240,11,-0.0988
ENSG00000131584,ACAP3,110,-0.0499,125,0.34273,70,-0.7437,68,-0.7816,122,0.11326
ENSG00000169972,PUSL1,6,-1.3045,15,0.23317,33,1.39138,6,-1.2045,9,-0.6654
ENSG00000127054,INTS11,86,0.55291,63,0.15535,27,-1.2244,56,-0.1095,57,-0.0929
ENSG00000224051,CPTP,20,-0.7542,41,0.99670,10,-1.7224,14,-1.2789,29,-0.1857
ENSG00000107404,DVL1,78,0.13741,72,0.02459,55,-0.4148,83,0.21780,70,-0.0472
ENSG00000175756,AURKAIP1,120,-0.4345,158,0.00341,288,0.97129,144,-0.1496,120,-0.4716
ENSG00000221978,CCNL2,84,0.31968,73,0.24422,89,0.41956,37,-0.9377,49,-0.5447
ENSG00000224870,MRPL20-AS1,17,0.30786,16,0.34712,16,0.18233,10,-0.4575,9,-0.8028
ENSG00000242485,MRPL20,155,-0.2523,183,0.01606,276,0.66094,197,0.12213,139,-0.4546
ENSG00000179403,VWA1,295,3.14802,16,-2.6831,124,1.35656,16,-1.7966,53,-0.0656
ENSG00000160072,ATAD3B,3,-2.4792,20,0.37830,39,1.29850,7,-1.3181,13,-0.5433
ENSG00000197785,ATAD3A,9,-1.2892,29,1.49897,5,-2.0565,8,-1.3645,14,-0.6886
ENSG00000205090,TMEM240,5,-3.2762,65,1.31899,26,-0.9339,22,-1.2207,38,-0.4165
ENSG00000160075,SSU72,94,-0.8352,165,0.05048,192,0.26350,224,0.51053,143,-0.2187
ENSG00000228594,FNDC10,9,-2.4583,60,0.93420,10,-2.2510,49,0.04807,43,-0.1673
ENSG00000272106,AL691432.2,55,0.60953,38,0.09362,25,-0.6062,31,-0.2728,34,-0.1486
ENSG00000197530,MIB2,46,-0.0759,58,0.65650,43,-0.2114,19,-1.4236,37,-0.4610
ENSG00000189339,SLC35E2B,30,-0.9179,60,0.28231,91,0.80717,41,-0.4558,41,-0.4892
ENSG00000008128,CDK11A,18,0.69049,12,-0.0017,0,-5.0808,17,0.56788,12,0.00951
ENSG00000008130,NADK,36,-0.0218,37,0.03231,68,1.00800,30,-0.3226,23,-0.7434
ENSG00000078369,GNB1,316,-0.3373,448,0.50115,324,-0.3010,405,0.04721,268,-0.6407
ENSG00000187730,GABRD,9,-2.8487,82,1.23070,27,-1.2782,28,-1.2013,55,-0.2179
ENSG00000067606,PRKCZ,100,-1.0507,252,1.00397,116,-0.8313,163,-0.3158,124,-0.7862
ENSG00000162585,FAAP20,76,0.15981,64,-0.2423,105,0.68371,33,-1.1102,82,0.30344
ENSG00000157933,SKI,49,0.61946,28,-0.5092,59,0.94341,11,-1.6432,40,0.36215
ENSG00000157916,RER1,101,0.48365,79,0.20642,58,-0.3844,51,-0.5953,66,-0.2065
ENSG00000157911,PEX10,58,0.73946,34,-0.2190,31,-0.2669,39,0.10936,35,-0.0422
ENSG00000149527,PLCH2,35,0.41307,35,1.22341,11,-1.3359,2,-3.4270,13,-1.1413
ENSG00000157881,PANK4,19,-0.1331,25,0.89371,20,-0.0461,4,-2.2538,12,-0.8239
ENSG00000197921,HES5,1,-5.1465,44,-0.8929,204,2.11996,28,-1.1308,88,0.69432
ENSG00000272449,AL139246.5,1,-3.6746,17,-0.7216,74,2.10845,32,0.61074,17,-0.4174
ENSG00000157873,TNFRSF14,6,-1.5438,15,-0.3240,68,2.42220,2,-2.8908,10,-0.8146
ENSG00000157870,PRXL2B,23,-2.0581,102,0.46867,102,0.20664,93,0.04720,74,-0.3179
ENSG00000177133,PRDM16-DT,12,-0.3168,9,-1.3726,15,0.08998,20,0.52939,33,1.59633
ENSG00000158109,TPRG1L,50,-1.7268,207,1.24869,89,-0.8768,121,-0.4041,87,-0.9649
ENSG00000116213,WRAP73,21,0.40423,20,0.71392,15,-0.1127,4,-2.1425,10,-0.8763
ENSG00000130764,LRRC47,86,-0.0377,104,0.63084,74,-0.2819,64,-0.5028,55,-0.7779
ENSG00000116198,CEP104,66,1.68002,21,-0.4392,7,-1.7684,37,0.68197,16,-0.6486
ENSG00000198912,C1orf174,15,-0.2772,22,0.91214,12,-0.6374,6,-1.4882,12,-0.5696
ENSG00000196581,AJAP1,21,-0.3243,31,0.64897,8,-1.7325,20,-0.3820,24,-0.1420
ENSG00000069424,KCNAB2,19,-3.6672,300,1.15517,204,-0.1989,165,-0.5247,143,-0.8018
ENSG00000116254,CHD5,12,-3.6934,182,0.82164,83,-0.8893,112,-0.4371,153,0.04597
ENSG00000116251,RPL22,1002,0.88557,410,-0.9979,660,0.20354,1075,1.00507,679,0.27657
