Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,25,-0.5663,54,0.86677,54,0.63702,42,0.22142,26,-0.6040,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,87,0.62862,67,0.27652,72,0.33063,42,-0.5422,51,-0.2686,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,130,0.06790,130,0.09298,40,-1.7217,64,-1.0280,146,0.29521,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,82,-0.3823,137,0.58784,47,-1.2333,36,-1.6224,127,0.35342,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,42,-0.8230,92,0.57340,40,-0.9022,61,-0.2375,71,-0.0105,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,106,0.14067,104,0.13397,95,-0.0379,94,-0.0509,73,-0.4933,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,26,-0.4700,40,0.25275,38,0.13494,38,0.12837,36,0.03234,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,35,-0.7064,56,0.00262,69,0.33261,95,0.87457,51,-0.1510,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,153,0.34041,128,0.06114,158,0.39973,151,0.32398,76,-0.8252,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,72,0.04823,65,-0.1453,78,0.16588,83,0.27565,75,0.12877,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,34,0.01489,35,0.10194,27,-0.3440,57,0.88726,34,0.02687,26,-0.3999,17,-1.0072
ENSG00000107404,DVL1,97,0.32453,66,-0.3626,45,-0.8785,75,-0.1038,91,0.24430,89,0.17090,110,0.52101
ENSG00000175756,AURKAIP1,165,-0.2009,176,-0.1229,160,-0.2507,147,-0.3795,229,0.37533,206,0.15627,207,0.15790
ENSG00000221978,CCNL2,85,0.34647,80,0.33176,52,-0.4491,71,0.06330,60,-0.2388,33,-1.1079,84,0.33215
ENSG00000242485,MRPL20,194,0.00691,192,-0.0094,188,-0.0441,217,0.18522,206,0.11904,178,-0.1292,166,-0.2443
ENSG00000179403,VWA1,10,-2.5662,13,-2.4499,43,-0.4238,34,-0.7782,29,-1.1048,71,0.38196,305,3.40652
ENSG00000197785,ATAD3A,16,-0.4185,29,0.68516,38,0.93630,8,-1.4559,11,-1.1431,26,0.33252,16,-0.4217
ENSG00000205090,TMEM240,54,0.28934,61,0.63186,43,-0.1039,49,0.12782,33,-0.5315,31,-0.6090,29,-0.6989
ENSG00000160075,SSU72,188,0.06536,200,0.22424,136,-0.4423,189,0.07867,202,0.21145,181,0.01088,102,-0.8928
ENSG00000228594,FNDC10,30,-0.9582,56,-0.0048,79,0.55799,65,0.23183,73,0.48641,52,-0.1277,22,-1.4566
ENSG00000272106,AL691432.2,13,-0.7902,14,-0.7883,15,-0.5299,46,1.27861,21,-0.0209,23,0.10675,33,0.69535
ENSG00000197530,MIB2,39,-0.3518,44,-0.2306,70,0.55843,91,1.01366,45,-0.1801,31,-0.7020,41,-0.2802
ENSG00000189339,SLC35E2B,1,-4.0201,17,-0.2524,17,-0.2153,37,1.05418,24,0.42742,22,0.18376,17,-0.1657
ENSG00000215790,SLC35E2A,37,0.55086,25,-0.1038,21,-0.3486,29,0.13792,31,0.27705,31,0.25877,9,-1.5784
ENSG00000008130,NADK,45,0.33134,32,-0.2334,35,-0.0655,47,0.39799,39,0.13435,21,-0.8476,41,0.19766
ENSG00000078369,GNB1,651,0.30171,572,0.11810,403,-0.4608,531,-0.0265,643,0.32127,493,-0.1468,323,-0.8047
ENSG00000187730,GABRD,132,-0.0289,136,0.02345,175,0.42296,160,0.27977,188,0.62700,46,-1.6312,49,-1.5447
ENSG00000067606,PRKCZ,167,-0.6163,267,0.16082,305,0.34079,232,-0.0967,304,0.38281,216,-0.2145,142,-0.8572
ENSG00000162585,FAAP20,32,-1.2957,72,-0.0912,69,-0.1314,35,-1.1546,93,0.39955,88,0.24536,125,0.83905
ENSG00000157933,SKI,21,-0.4631,23,-0.4078,50,0.89029,32,0.17689,30,0.06196,31,0.11181,24,-0.2633
ENSG00000157916,RER1,67,-0.3344,109,0.61628,55,-0.6316,64,-0.4048,84,0.02676,67,-0.3156,77,-0.1117
ENSG00000157911,PEX10,9,-1.9644,36,0.11774,24,-0.5357,45,0.46521,39,0.25333,45,0.44312,30,-0.1695
ENSG00000149527,PLCH2,37,0.31842,43,0.82466,1,-4.6927,43,0.57132,16,-1.0509,35,0.26465,23,-0.4467
ENSG00000197921,HES5,4,-2.1308,10,-0.8487,16,-0.0109,26,0.78167,14,-0.1869,40,1.54471,16,-0.0248
ENSG00000157870,PRXL2B,76,0.41104,51,-0.3015,83,0.54997,57,-0.0486,75,0.44293,39,-0.6611,34,-0.8770
ENSG00000158109,TPRG1L,256,0.20339,251,0.22714,264,0.25200,258,0.21581,221,-0.0365,163,-0.5077,119,-0.9919
ENSG00000116213,WRAP73,2,-3.0810,19,0.40563,17,0.19208,12,-0.4302,16,0.12605,18,0.23694,16,0.09317
ENSG00000130764,LRRC47,111,0.37810,99,0.24012,93,0.09327,68,-0.4051,87,-0.0232,60,-0.5938,78,-0.1969
ENSG00000196581,AJAP1,57,0.96204,30,-0.0879,29,-0.1352,52,0.80397,24,-0.4723,18,-0.8716,22,-0.5523
ENSG00000069424,KCNAB2,255,-0.0352,277,0.12326,249,-0.0762,301,0.22877,340,0.49194,183,-0.5566,112,-1.3052
ENSG00000116254,CHD5,169,0.30420,122,-0.2752,219,0.73618,218,0.72986,126,-0.1872,101,-0.5141,75,-0.9653
ENSG00000116251,RPL22,501,-0.1718,377,-0.7536,570,0.03255,416,-0.4654,487,-0.2428,864,0.71809,1129,1.18854
ENSG00000116237,ICMT,36,-0.4450,60,0.51680,19,-1.3712,58,0.32819,53,0.19629,35,-0.4619,39,-0.2858
ENSG00000158292,GPR153,3,-2.1395,21,0.76664,0,-4.1455,23,0.71568,16,0.14392,16,0.07539,11,-0.5196
ENSG00000097021,ACOT7,427,0.36480,502,0.88629,220,-0.6834,294,-0.2328,334,-0.0354,176,-1.0260,115,-1.6637
ENSG00000215788,TNFRSF25,51,1.01883,18,-0.7603,53,1.08287,51,0.99403,14,-1.0907,21,-0.4280,17,-0.7677
ENSG00000171680,PLEKHG5,68,1.51371,24,-0.2991,16,-0.8796,42,0.65766,28,-0.0175,19,-0.5862,7,-1.9606
ENSG00000162408,NOL9,24,-0.4924,33,0.00532,43,0.42286,39,0.26594,35,0.12666,35,0.09924,19,-0.8584
ENSG00000162413,KLHL21,27,-0.5542,46,0.38523,32,-0.3107,56,0.60302,33,-0.2676,33,-0.2514,33,-0.2244
ENSG00000116273,PHF13,19,0.09151,16,-0.2299,29,0.73970,30,0.82304,13,-0.6172,15,-0.2544,15,-0.3458
ENSG00000041988,THAP3,35,0.44162,22,-0.3434,15,-0.8591,48,0.97176,28,0.09964,26,-0.0542,19,-0.5224
ENSG00000007923,DNAJC11,57,0.37117,37,-0.3902,72,0.76555,65,0.57652,46,0.01396,28,-0.7345,28,-0.7306
ENSG00000171735,CAMTA1,133,-0.4456,154,-0.2707,275,0.72706,249,0.56411,161,-0.1669,181,0.04096,144,-0.3284
ENSG00000049245,VAMP3,17,-1.0506,13,-1.6191,19,-0.8842,33,-0.0060,17,-1.1526,47,0.56157,145,2.75328
ENSG00000049246,PER3,3,-2.6626,13,-0.6717,21,0.17801,18,-0.0661,18,-0.0928,21,0.23439,48,1.64310
ENSG00000116288,PARK7,417,0.00669,402,-0.0653,495,0.28584,400,-0.0608,444,0.12114,403,-0.0468,343,-0.3044
