Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,17,-2.2245,126,0.88542,123,1.01770,38,-1.0353,31,-1.3469,95,0.39962,17,-2.2338,99,0.47601
ENSG00000188290,HES4,754,3.06113,76,-1.1884,79,-1.2500,44,-2.0092,311,1.09907,26,-2.7791,34,-2.3741,70,-1.3284
ENSG00000187608,ISG15,1,-5.3510,64,0.36610,24,-1.2694,78,0.69650,149,1.91893,38,-0.4619,49,-0.0726,34,-0.6583
ENSG00000078808,SDF4,185,0.91206,145,0.49178,64,-0.8954,88,-0.3319,137,0.39538,86,-0.3677,144,0.47687,57,-0.9981
ENSG00000160087,UBE2J2,26,-1.4615,107,0.78388,93,0.62708,33,-1.0935,48,-0.5255,100,0.66628,75,0.17615,29,-1.2852
ENSG00000131584,ACAP3,108,-0.6295,192,0.28473,282,1.15308,135,-0.2845,93,-0.8606,87,-0.9675,178,0.16801,92,-0.8735
ENSG00000127054,INTS11,136,1.03987,112,0.69189,70,-0.0809,28,-1.4732,65,-0.2023,70,-0.0935,31,-1.3342,81,0.14839
ENSG00000107404,DVL1,17,-2.5664,26,-1.9706,94,0.02120,130,0.54704,85,-0.1440,117,0.37415,147,0.75660,129,0.54018
ENSG00000175756,AURKAIP1,101,-0.3417,98,-0.3943,159,0.44817,83,-0.6519,64,-1.0426,143,0.21780,158,0.37908,164,0.44306
ENSG00000221978,CCNL2,90,0.75472,39,-0.5909,62,0.15413,40,-0.5664,73,0.41054,41,-0.5161,21,-1.5639,86,0.67837
ENSG00000242485,MRPL20,163,0.45693,116,-0.1053,113,-0.1617,122,-0.0196,99,-0.3486,129,0.06637,86,-0.5637,170,0.53254
ENSG00000179403,VWA1,14,-2.1477,13,-2.3022,15,-2.2764,53,-0.1776,111,1.05335,211,2.36518,22,-1.5109,82,0.53013
