"","mod","cluster","n_gene","n_FDR05","nUP","nDown","n_FDR10","n_FDR20"
"1","interaction Anc","Astro.5",1793,1,1,0,1,1
"2","interaction Anc","Micro.2",8763,1,1,0,1,1
"3","interaction Anc","Micro.4",6620,1,1,0,1,1
"4","interaction Anc","Inhib.Chandelier",10214,1,1,0,1,1
"5","interaction Anc","Astro.1",16867,0,0,0,0,0
"6","interaction Anc","Astro.2",9994,0,0,0,0,0
"7","interaction Anc","Astro.3",10634,0,0,0,0,0
"8","interaction Anc","Astro.4",8135,0,0,0,0,0
"9","interaction Anc","Macro",2931,0,0,0,0,0
"10","interaction Anc","Micro.1",10158,0,0,0,0,0
"11","interaction Anc","Micro.3",7923,0,0,0,0,0
"12","interaction Anc","Micro.5",2327,0,0,0,0,0
"13","interaction Anc","OPC.1",13131,0,0,0,0,0
"14","interaction Anc","OPC.2",10614,0,0,0,0,1
"15","interaction Anc","OPC.3",14268,0,0,0,0,0
"16","interaction Anc","OPC.4",11598,0,0,0,0,4
"17","interaction Anc","OPC.5",1841,0,0,0,0,0
"18","interaction Anc","Oligo.1",13280,0,0,0,0,0
"19","interaction Anc","Oligo.2",13983,0,0,0,0,0
"20","interaction Anc","Oligo.3",11496,0,0,0,0,0
"21","interaction Anc","Oligo.4",12055,0,0,0,0,0
"22","interaction Anc","Oligo.5",9670,0,0,0,0,0
"23","interaction Anc","Vasc.Endo",5058,0,0,0,0,3
"24","interaction Anc","Vasc.VLMC",6644,0,0,0,0,0
"25","interaction Anc","Excit.L2",20080,0,0,0,0,0
"26","interaction Anc","Excit.L2_5.1",22201,0,0,0,0,0
"27","interaction Anc","Excit.L2_5.2",13455,0,0,0,0,0
"28","interaction Anc","Excit.L5.1",17720,0,0,0,0,0
"29","interaction Anc","Excit.L5.2",11952,0,0,0,0,0
"30","interaction Anc","Excit.L6_CT",14031,0,0,0,0,0
"31","interaction Anc","Excit.L6b",15739,0,0,0,0,0
"32","interaction Anc","Inhib.Lamp5_Lhx6",13528,0,0,0,0,0
"33","interaction Anc","Inhib.Pvalb",15219,0,0,0,0,0
"34","interaction Anc","Inhib.Vip",19549,0,0,0,0,0
"35","interaction Anc","Inhib.Sst",12194,0,0,0,0,1
