Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,17,-0.0785,15,-0.2506,22,0.33360,18,0.05026
ENSG00000188976,NOC2L,13,-1.5164,22,-0.7617,61,0.93214,38,0.36676
ENSG00000188290,HES4,246,1.91310,64,-0.4470,67,-0.3277,65,-0.7658
ENSG00000187608,ISG15,188,1.08828,72,-0.5417,67,-0.5917,97,-0.0379
ENSG00000188157,AGRN,17,0.11859,11,-0.6673,15,-0.1102,18,0.39140
ENSG00000078808,SDF4,78,0.39944,46,-0.4958,71,0.23731,62,0.03484
ENSG00000176022,B3GALT6,51,0.63540,20,-0.9177,35,0.03705,37,0.20522
ENSG00000160087,UBE2J2,30,-0.3929,24,-0.8384,46,0.29247,44,0.49943
ENSG00000131584,ACAP3,64,0.18342,43,-0.4855,63,0.16096,59,0.15789
ENSG00000127054,INTS11,36,-0.3448,20,-1.3244,40,-0.1872,55,0.92312
ENSG00000224051,CPTP,34,0.21498,17,-0.9026,30,-0.0038,33,0.42406
ENSG00000107404,DVL1,48,-0.0679,51,0.01341,36,-0.5147,53,0.18602
ENSG00000175756,AURKAIP1,139,-0.4124,172,-0.0874,123,-0.6039,200,0.39997
ENSG00000221978,CCNL2,57,0.55176,23,-0.9543,44,0.12185,43,0.23133
ENSG00000242485,MRPL20,171,-0.2874,212,0.06410,189,-0.1241,210,0.10196
ENSG00000235098,ANKRD65,19,-0.1963,18,-0.3416,19,-0.1705,24,0.35251
ENSG00000179403,VWA1,52,1.27453,34,0.60893,37,0.67642,14,-1.4068
ENSG00000197785,ATAD3A,8,-0.8521,5,-1.4732,10,-0.5656,19,1.32287
ENSG00000205090,TMEM240,31,-0.3081,28,-0.4958,51,0.52186,39,0.17960
ENSG00000160075,SSU72,155,-0.0370,137,-0.2615,123,-0.3937,172,0.31917
ENSG00000228594,FNDC10,23,-0.2758,20,-0.4903,60,1.32456,25,-0.3119
ENSG00000272106,AL691432.2,19,-0.3857,19,-0.5064,20,-0.3436,29,0.57923
ENSG00000197530,MIB2,11,-1.3362,18,-0.6294,28,0.10810,31,0.71927
ENSG00000248333,CDK11B,24,0.88984,9,-0.6976,17,0.34689,13,-0.1671
ENSG00000189339,SLC35E2B,21,0.33002,12,-0.5125,28,0.83375,16,-0.2192
ENSG00000008128,CDK11A,14,0.50887,8,-0.4509,23,1.41125,8,-0.6960
ENSG00000215790,SLC35E2A,18,-0.1729,19,-0.1063,28,0.49889,20,-0.0830
ENSG00000008130,NADK,28,0.24894,16,-0.7057,24,0.03432,26,0.29729
ENSG00000078369,GNB1,326,-0.3790,311,-0.4987,391,-0.0899,467,0.47886
ENSG00000187730,GABRD,51,-1.4011,76,-0.8806,83,-0.6630,164,1.19524
ENSG00000067606,PRKCZ,156,-0.3009,137,-0.5550,253,0.47754,201,0.23185
ENSG00000162585,FAAP20,52,0.37202,41,-0.0332,48,0.24921,39,-0.2295
ENSG00000157933,SKI,32,-0.0096,32,-0.0050,32,-0.0032,32,0.00823
