"","mod","cluster","n_gene","n_FDR05","nUP","nDown","n_FDR10","n_FDR20"
"1","interaction Anc","vVasc",7215,0,0,0,2,3
"2","interaction Anc","vL1",11721,0,0,0,0,0
"3","interaction Anc","vL2",14315,0,0,0,0,0
"4","interaction Anc","vInhib",8653,0,0,0,0,0
"5","interaction Anc","vLD",13581,0,0,0,0,0
"6","interaction Anc","vL5a",13889,0,0,0,0,0
"7","interaction Anc","vL5b",13430,0,0,0,0,0
"8","interaction Anc","vL6",13237,0,0,0,0,0
"9","interaction Anc","vWMuf",3021,0,0,0,0,0
"10","interaction Anc","vWMpv",7568,0,0,0,0,0
"11","interaction Anc","vWMd",6255,0,0,0,0,0
