"","cluster","contrast","n_FDR05","nUP","nDown"
"1","Astro","carrier_AA",41,38,3
"2","Astro","carrier_EA",0,0,0
"3","Oligo","carrier_AA",0,0,0
"4","Oligo","carrier_EA",0,0,0
"5","OPC","carrier_AA",0,0,0
"6","OPC","carrier_EA",1,1,0
"7","Macro","carrier_AA",0,0,0
"8","Macro","carrier_EA",0,0,0
"9","Micro","carrier_AA",0,0,0
"10","Micro","carrier_EA",1,1,0
"11","Vasc","carrier_AA",1,0,1
"12","Vasc","carrier_EA",1,1,0
"13","Excit","carrier_AA",0,0,0
"14","Excit","carrier_EA",0,0,0
"15","Inhib","carrier_AA",0,0,0
"16","Inhib","carrier_EA",0,0,0
