Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,112,2.47049,7,-1.9270,16,-0.8432,33,0.33106,21,-0.3619,20,-0.4269,19,-0.5528,18,-0.6297,18,-0.6122
ENSG00000188976,NOC2L,112,1.21329,49,-0.1275,21,-1.4271,36,-0.6244,62,0.25143,60,0.19358,53,0.00814,47,-0.1957,71,0.51979
ENSG00000188290,HES4,112,0.40919,76,-0.2024,83,-0.0528,96,0.19177,52,-0.7626,80,-0.1219,187,1.26250,75,-0.2223,51,-0.8377
ENSG00000187608,ISG15,112,0.27840,59,-0.7048,79,-0.2792,53,-0.9114,46,-1.0690,128,0.49748,275,1.80339,111,0.29460,54,-0.8786
ENSG00000188157,AGRN,112,1.31344,34,-0.5701,34,-0.6428,29,-0.8990,14,-1.8682,60,0.30177,63,0.38036,42,-0.2666,77,0.77678
ENSG00000078808,SDF4,112,0.75251,60,-0.2210,46,-0.6715,70,0.00955,59,-0.2606,79,0.19496,79,0.20581,70,0.00686,72,0.05344
ENSG00000176022,B3GALT6,112,1.76816,19,-1.0524,23,-0.8385,29,-0.4517,33,-0.2211,26,-0.6134,41,0.08787,41,0.10325,42,0.14635
ENSG00000160087,UBE2J2,112,1.45257,41,-0.1675,21,-1.2453,29,-0.7663,31,-0.6099,55,0.26829,49,0.11428,40,-0.2140,65,0.60113
ENSG00000131584,ACAP3,112,0.44175,53,-0.7083,51,-0.8240,89,0.10050,57,-0.6023,116,0.50004,63,-0.4387,86,0.03567,121,0.64228
ENSG00000169972,PUSL1,112,3.07928,6,-1.7244,10,-1.0965,16,-0.4215,3,-2.6760,18,-0.1987,26,0.38514,15,-0.4598,9,-1.2994
ENSG00000127054,INTS11,112,1.19191,40,-0.4250,32,-0.8152,27,-1.0930,46,-0.2378,72,0.47485,76,0.56080,62,0.24728,53,-0.0131
ENSG00000224051,CPTP,112,1.74020,16,-1.3671,19,-1.1465,24,-0.8127,40,0.05319,36,-0.1125,25,-0.6725,51,0.44311,46,0.29325
ENSG00000107404,DVL1,112,0.91535,66,0.07924,65,0.05634,62,-0.0165,86,0.48386,25,-1.3811,28,-1.1969,60,-0.0885,64,0.01739
ENSG00000175756,AURKAIP1,112,-0.7327,206,0.20838,198,0.15896,180,0.00066,134,-0.4569,225,0.35143,271,0.64719,178,-0.0202,142,-0.4018
ENSG00000221978,CCNL2,112,1.54143,41,-0.0803,37,-0.2954,27,-0.7729,17,-1.4440,79,0.93802,42,-0.0758,29,-0.6561,46,0.09291
ENSG00000242485,MRPL20,112,-0.6772,205,0.26133,160,-0.1360,195,0.19862,165,-0.0793,135,-0.3938,268,0.68913,178,0.04316,154,-0.2069
ENSG00000235098,ANKRD65,112,3.36800,26,0.52833,12,-0.6154,4,-2.1597,8,-1.1723,17,-0.1443,4,-1.9875,8,-1.2610,10,-0.9107
ENSG00000179403,VWA1,112,2.09336,145,2.63416,21,-0.7163,13,-1.4284,20,-0.7372,5,-2.7314,14,-1.2689,5,-2.7711,24,-0.4926
ENSG00000197785,ATAD3A,112,2.56793,19,-0.4807,8,-1.7380,12,-1.1498,8,-1.6377,34,0.44205,27,0.06108,14,-0.9483,32,0.38283
ENSG00000205090,TMEM240,112,1.43595,26,-0.8804,25,-0.9739,25,-1.0043,57,0.30956,27,-0.8304,52,0.16679,60,0.43278,56,0.30961
ENSG00000160075,SSU72,112,-0.3410,104,-0.4443,104,-0.4797,163,0.27541,90,-0.6723,168,0.29194,197,0.55202,151,0.13579,151,0.14299
ENSG00000228594,FNDC10,112,1.97716,15,-1.2627,36,0.05495,25,-0.5163,47,0.47198,19,-0.8683,21,-0.7631,33,-0.0587,23,-0.6312
ENSG00000272106,AL691432.2,112,2.59163,17,-0.5650,14,-0.9326,21,-0.2830,7,-1.9634,31,0.32911,7,-1.9269,19,-0.4352,23,-0.1633
ENSG00000197530,MIB2,112,1.53525,46,0.06758,36,-0.3469,50,0.22717,26,-0.7999,36,-0.3031,43,-0.0197,26,-0.8726,43,-0.0503
ENSG00000189339,SLC35E2B,112,2.72575,18,-0.4145,10,-1.2992,17,-0.5822,11,-1.1037,8,-1.5487,12,-1.0360,29,0.31021,19,-0.4057
ENSG00000215790,SLC35E2A,112,2.20134,17,-0.8501,17,-0.9574,25,-0.3491,15,-1.0515,30,-0.0431,21,-0.5950,35,0.24382,25,-0.3438
ENSG00000008130,NADK,112,2.16447,17,-0.9544,26,-0.3330,27,-0.2351,28,-0.1423,25,-0.3372,19,-0.7332,22,-0.5670,28,-0.1868
ENSG00000078369,GNB1,112,-1.8161,264,-0.5295,388,0.07012,367,-0.0255,256,-0.5769,469,0.36233,453,0.30710,480,0.44330,410,0.16271
ENSG00000187730,GABRD,112,0.01137,36,-1.6834,57,-1.0719,118,0.10863,71,-0.6843,121,0.13971,116,0.06611,164,0.69264,154,0.57364
ENSG00000067606,PRKCZ,112,-0.8297,141,-0.4748,168,-0.2218,197,0.03843,184,-0.0675,197,0.04055,219,0.20245,210,0.15255,248,0.44318
ENSG00000162585,FAAP20,112,1.10964,78,0.51124,62,0.17472,56,-0.0073,50,-0.1657,24,-1.2487,64,0.20424,57,0.02456,26,-1.2449
ENSG00000157933,SKI,112,2.36332,21,-0.4800,21,-0.5074,27,-0.0619,13,-1.1979,12,-1.2262,8,-1.9243,25,-0.1999,28,0.00385
ENSG00000157916,RER1,112,0.73734,47,-0.6058,55,-0.4119,53,-0.4804,33,-1.1579,106,0.65832,100,0.55158,91,0.45201,59,-0.2789
ENSG00000157911,PEX10,112,1.88725,40,0.15231,28,-0.4008,35,-0.0559,40,0.14132,23,-0.7003,49,0.47921,21,-0.8639,19,-1.0284
ENSG00000149527,PLCH2,112,2.30662,14,-1.0707,17,-0.8989,5,-2.5543,35,0.26774,59,1.13720,6,-2.3082,28,-0.0852,27,-0.1343
ENSG00000197921,HES5,112,3.17281,15,-0.4504,17,-0.2737,23,0.27438,5,-2.0148,5,-1.8425,2,-3.2132,7,-1.5978,12,-0.8096
ENSG00000157870,PRXL2B,112,1.13176,40,-0.4968,26,-1.2032,67,0.33890,43,-0.3753,83,0.64613,35,-0.6796,44,-0.3931,66,0.29972
ENSG00000177133,PRDM16-DT,112,3.09358,11,-0.8727,15,-0.5301,35,0.99833,10,-0.9884,1,-4.3647,11,-0.8723,5,-2.0851,4,-2.3876
ENSG00000158109,TPRG1L,112,-0.4221,100,-0.5831,104,-0.5625,113,-0.4371,102,-0.5535,247,0.83259,118,-0.3365,174,0.28945,224,0.74913
ENSG00000116213,WRAP73,112,3.04822,7,-1.4877,9,-1.3686,11,-0.9534,4,-2.2883,16,-0.4016,28,0.49356,15,-0.5490,16,-0.4172
ENSG00000130764,LRRC47,112,0.65859,51,-0.5588,40,-0.9982,72,-0.0489,58,-0.3659,86,0.24756,87,0.25597,66,-0.1863,105,0.61881
ENSG00000116198,CEP104,112,3.21542,18,-0.0698,10,-1.0070,9,-1.1093,0,-5.7474,19,-0.0190,6,-1.5748,9,-1.2579,19,0.00216
ENSG00000196581,AJAP1,112,1.80288,14,-1.4814,12,-1.7743,22,-0.8531,20,-0.9581,31,-0.2835,34,-0.1788,53,0.58040,53,0.60228
ENSG00000069424,KCNAB2,112,-0.5729,92,-0.8685,153,-0.0929,141,-0.2332,71,-1.2504,178,0.14819,164,0.01395,235,0.65767,216,0.50244
ENSG00000116254,CHD5,112,0.04341,62,-0.8493,76,-0.5811,110,0.02926,143,0.43893,82,-0.4279,58,-0.9488,108,-0.0059,182,0.93014
ENSG00000116251,RPL22,112,-1.9100,902,1.34418,470,0.28990,460,0.25206,429,0.11988,326,-0.3046,313,-0.3693,323,-0.3444,288,-0.5315
ENSG00000116237,ICMT,112,1.71539,24,-0.7479,31,-0.4216,15,-1.5419,19,-1.1378,48,0.30864,70,0.90278,54,0.53844,22,-0.9535
ENSG00000097021,ACOT7,112,-1.3760,120,-1.2737,173,-0.7732,223,-0.3599,348,0.36151,570,1.17303,380,0.50203,358,0.45007,281,0.02280
ENSG00000215788,TNFRSF25,112,3.27072,13,-0.5257,14,-0.4392,8,-1.3886,10,-0.9917,15,-0.3660,6,-1.5815,11,-0.8950,12,-0.7224
ENSG00000171680,PLEKHG5,112,2.28195,4,-2.8769,13,-1.3111,23,-0.4265,6,-2.2295,9,-1.7881,16,-0.9218,43,0.64921,40,0.52983
ENSG00000162408,NOL9,112,2.51362,18,-0.6000,19,-0.4959,17,-0.6714,32,0.32478,23,-0.2295,9,-1.5395,18,-0.6199,19,-0.4951
ENSG00000162413,KLHL21,112,2.51917,30,0.23216,15,-0.9378,26,-0.0122,10,-1.4145,15,-0.8410,19,-0.5067,20,-0.4155,17,-0.7427
ENSG00000116273,PHF13,112,2.95500,16,-0.4048,8,-1.6121,9,-1.3283,10,-1.1625,18,-0.2867,13,-0.7974,22,0.06569,17,-0.4268
ENSG00000041988,THAP3,112,2.62066,17,-0.5941,14,-0.9626,12,-1.1461,0,-5.4125,22,-0.1627,33,0.44564,27,0.16257,17,-0.6270
ENSG00000007923,DNAJC11,112,2.07958,28,-0.2439,20,-0.8187,38,0.27488,7,-2.3016,23,-0.5380,21,-0.6611,28,-0.2301,31,-0.1022
ENSG00000171735,CAMTA1,112,-0.2852,143,0.09423,110,-0.3265,140,0.07172,192,0.56575,91,-0.6015,182,0.48043,128,-0.0872,135,0.01376
ENSG00000049245,VAMP3,112,2.50315,97,2.21821,16,-0.7970,16,-0.7733,29,0.12532,1,-4.0927,8,-1.8185,8,-1.7780,8,-1.8744
ENSG00000049246,PER3,112,2.95998,14,-0.6248,13,-0.8012,19,-0.2022,6,-1.7596,4,-2.2245,17,-0.3805,13,-0.7549,17,-0.3418
ENSG00000116288,PARK7,112,-1.6821,447,0.43181,305,-0.1855,359,0.09279,421,0.33314,476,0.53225,353,0.05782,293,-0.2539,351,0.05327
ENSG00000116285,ERRFI1,112,2.70314,12,-0.9895,13,-0.9637,7,-1.8837,15,-0.7485,32,0.43787,10,-1.2874,23,-0.0503,23,-0.1044
ENSG00000162426,SLC45A1,112,1.39097,18,-1.4165,25,-1.0252,26,-0.9774,51,0.09740,64,0.46862,83,0.88305,50,0.08508,44,-0.1156
ENSG00000142599,RERE,112,0.77732,65,-0.0892,52,-0.4697,70,0.03474,36,-0.9686,87,0.37886,73,0.10292,73,0.11310,64,-0.1093
ENSG00000074800,ENO1,112,-2.4534,574,-0.0032,416,-0.5373,640,0.18355,621,0.11982,924,0.75741,659,0.21347,674,0.27356,565,-0.0320
ENSG00000171612,SLC25A33,112,1.62398,32,-0.4074,39,-0.1023,48,0.25534,45,0.10616,11,-1.9205,62,0.61300,25,-0.8073,28,-0.6732
ENSG00000171608,PIK3CD,112,2.87052,9,-1.2789,10,-1.2865,24,0.09304,26,0.21376,15,-0.5951,3,-2.9243,11,-1.0448,18,-0.3600
ENSG00000171603,CLSTN1,112,-2.3850,270,-1.0824,368,-0.6597,443,-0.3601,397,-0.5011,952,0.88413,665,0.30141,769,0.59505,791,0.64729
ENSG00000178585,CTNNBIP1,112,1.59532,29,-0.5892,39,-0.1262,40,-0.1044,46,0.12942,36,-0.2461,32,-0.4458,30,-0.5789,40,-0.1172
ENSG00000162441,LZIC,112,1.98853,43,0.35055,27,-0.4139,30,-0.2150,25,-0.4897,25,-0.4549,32,-0.0857,26,-0.4486,21,-0.7720
ENSG00000130939,UBE4B,112,1.90357,27,-0.4359,17,-1.1564,30,-0.2918,15,-1.3422,43,0.29878,51,0.56636,31,-0.2597,31,-0.2441
ENSG00000054523,KIF1B,112,-0.7847,161,-0.2289,173,-0.1312,215,0.24717,166,-0.1765,168,-0.1601,151,-0.3267,164,-0.2169,281,0.73208
ENSG00000142657,PGD,112,1.19954,39,-0.4663,22,-1.4149,35,-0.7000,95,0.92363,57,0.12035,74,0.50918,47,-0.2060,54,0.02639
ENSG00000241563,CORT,112,-1.5932,94,-1.8456,77,-2.2420,33,-3.4790,3402,5.72750,60,-2.4995,49,-2.7953,100,-1.8475,15,-4.5715
ENSG00000160049,DFFA,112,1.87271,43,0.24580,31,-0.2597,23,-0.7311,31,-0.2336,20,-0.8669,24,-0.6116,42,0.24540,25,-0.6049
ENSG00000142655,PEX14,112,2.09163,12,-1.4602,12,-1.5026,18,-0.9186,41,0.37681,57,0.88906,21,-0.6388,25,-0.4280,34,0.05935
ENSG00000120948,TARDBP,112,1.04666,48,-0.2911,37,-0.7541,45,-0.4170,61,0.06184,44,-0.4324,79,0.46952,56,-0.0632,69,0.29472
ENSG00000116649,SRM,112,-0.0836,91,-0.3935,78,-0.6874,107,-0.1684,182,0.68867,141,0.28564,120,0.03155,151,0.43000,108,-0.1490
ENSG00000171824,EXOSC10,112,2.33262,17,-0.7717,12,-1.3883,20,-0.5964,24,-0.3020,26,-0.1384,27,-0.0676,29,0.04247,22,-0.4089
ENSG00000198793,MTOR,112,1.54752,29,-0.6388,25,-0.8968,41,-0.1048,36,-0.2912,37,-0.2476,42,-0.0587,46,0.10765,43,-0.0149
ENSG00000116661,FBXO2,112,-0.9281,380,0.99320,254,0.36830,220,0.11999,168,-0.3048,251,0.32054,190,-0.1166,147,-0.5569,162,-0.3897
ENSG00000132879,FBXO44,112,-0.4342,82,-0.9086,101,-0.6234,133,-0.1784,112,-0.4361,239,0.76628,132,-0.1755,189,0.42693,200,0.53154
ENSG00000116670,MAD2L2,112,2.36093,17,-0.7743,20,-0.5930,28,-0.0063,20,-0.5557,28,0.00646,13,-1.1774,30,0.07082,12,-1.3597
ENSG00000011021,CLCN6,112,1.32607,22,-1.2393,28,-0.9348,47,-0.0989,76,0.68980,41,-0.3010,40,-0.3432,42,-0.2517,60,0.32148
ENSG00000116685,KIAA2013,112,1.72244,26,-0.6136,20,-1.0586,32,-0.3233,35,-0.1872,57,0.58845,27,-0.5720,40,0.03209,35,-0.2065
ENSG00000083444,PLOD1,112,2.26765,29,-0.0326,12,-1.4768,34,0.22286,46,0.68466,18,-0.7499,8,-1.9700,15,-1.0582,26,-0.2145
ENSG00000116688,MFN2,112,0.68975,50,-0.5726,59,-0.3300,52,-0.5415,68,-0.1053,125,0.87851,71,-0.0394,63,-0.2367,84,0.24838
ENSG00000116691,MIIP,112,3.03919,17,-0.2596,9,-1.3536,12,-0.9157,1,-3.9391,21,-0.0015,19,-0.1046,6,-1.8071,23,0.17686
