data_type_short,gene_name,cell_type_anno,n,enviro,reg,enviro2
Oligo.3_Nbr,CNDP1,Oligo.3,11,"APOE_high_nnA_Astro.2, APOE_high_nnA_Astro.3, APOE_high_nnA_Astro.5, APOE_high_nnA_far, APOE_high_nnA_near, APOE_high, APOE_low_nnA_Astro.1, APOE_low_nnA_Astro.5, nn_Astro.2, nn_Astro.5, nnA_near",down,multi
Oligo.3_Nbr,ENC1,Oligo.3,11,"APOE_high_nnA_Astro.2, APOE_high_nnA_Astro.5, APOE_high_nnA_near, APOE_low_nnA_Astro.2, APOE_low_nnA_Astro.5, APOE_low_nnA_far, APOE_low_nnA_near, APOE_low, nn_Astro.2, nn_Astro.5, nnA_near",up,multi
Oligo.3_Nbr,TESPA1,Oligo.3,11,"APOE_high_nnA_Astro.2, APOE_high_nnA_Astro.5, APOE_high_nnA_near, APOE_low_nnA_Astro.5, APOE_low_nnA_far, APOE_low_nnA_near, APOE_low, nn_Astro.2, nn_Astro.5, nnA_far, nnA_near",up,multi
Oligo.3_Nbr,LPAR1,Oligo.3,10,"APOE_high_nnA_Astro.2, APOE_high_nnA_Astro.3, APOE_high_nnA_Astro.5, APOE_high_nnA_near, APOE_high, APOE_low_nnA_Astro.3, APOE_low_nnA_Astro.4, nn_Astro.3, nn_Astro.4, nn_Astro.5",down,multi
Oligo.3_Nbr,CABLES1,Oligo.3,8,"APOE_high_nnA_Astro.5, APOE_low_nnA_Astro.5, APOE_low_nnA_far, APOE_low, nn_Astro.3, nn_Astro.5, nnA_far, nnA_near",up,multi
Oligo.3_Nbr,NPTXR,Oligo.3,8,"APOE_high_nnA_Astro.2, APOE_high_nnA_near, APOE_low_nnA_Astro.2, APOE_low_nnA_near, APOE_low, nn_Astro.2, nn_Astro.3, nnA_near",up,multi
Oligo.3_Nbr,SLC17A7,Oligo.3,8,"APOE_high_nnA_Astro.5, APOE_low_nnA_Astro.5, APOE_low_nnA_far, APOE_low_nnA_near, APOE_low, nn_Astro.5, nnA_far, nnA_near",up,multi
Oligo.3_Nbr,PTPRD,Oligo.3,7,"APOE_high_nnA_Astro.2, APOE_high_nnA_Astro.5, APOE_high_nnA_near, APOE_high, APOE_low_nnA_Astro.4, APOE_low_nnA_Astro.5, nn_Astro.5",down,multi
Oligo.3_Nbr,OPALIN,Oligo.3,6,"APOE_high_nnA_Astro.3, APOE_high_nnA_Astro.5, APOE_high_nnA_far, APOE_high_nnA_near, APOE_high, nn_Astro.5",down,multi
SpX,TESPA1,Oligo.3,6,"Oligo.3_Inhib, Oligo.3_L1a, Oligo.3_L1b, Oligo.3_L5, Oligo.3_L6, Oligo.3_WMtz",up,multi
Oligo.3_Nbr,SLC24A2,Oligo.3,5,"APOE_high_nnA_Astro.1, APOE_high_nnA_near, APOE_high, APOE_low_nnA_Astro.1, nn_Astro.1",down,multi
SpX,CNDP1,Oligo.3,5,"Oligo.3_L1b, Oligo.3_L5, Oligo.3_L6, Oligo.3_Vasc, Oligo.3_WMtz",down,multi
SpX,ENC1,Oligo.3,5,"Oligo.3_L1b, Oligo.3_L6, Oligo.3_Vasc, Oligo.3_WM, Oligo.3_WMtz",up,multi
SpX,FZD8,Astro.2,5,"Astro.2_L1b, Astro.2_L5, Astro.2_L6, Astro.2_WM, Astro.2_WMtz",up,multi
SpX,NPTXR,Oligo.3,4,"Oligo.3_L1b, Oligo.3_L5, Oligo.3_Vasc, Oligo.3_WM",up,multi
SpX,SLC17A7,Oligo.3,4,"Oligo.3_L1b, Oligo.3_L6, Oligo.3_WM, Oligo.3_WMtz",up,multi
Oligo.3_Nbr,CHST11,Oligo.3,3,"APOE_low_nnA_Astro.5, nn_Astro.5, nnA_near",up,multi
Oligo.3_Nbr,GPM6A,Oligo.3,3,"APOE_high_nnA_Astro.4, APOE_low_nnA_near, nn_Astro.4",up,multi
Oligo.3_Nbr,NRXN3,Oligo.3,3,"APOE_high_nnA_Astro.1, APOE_low_nnA_Astro.1, nn_Astro.1",down,multi
Oligo.3_Nbr,SLC4A4,Oligo.3,3,"APOE_low_nnA_Astro.1, APOE_low_nnA_Astro.2, nn_Astro.1",up,multi
Oligo.3_Nbr,SNTA1,Oligo.3,3,"APOE_high_nnA_Astro.5, APOE_high_nnA_near, nnA_near",up,multi
SpX,LPAR1,Oligo.3,3,"Oligo.3_L6, Oligo.3_WM, Oligo.3_WMtz",down,multi
SpX,OPALIN,Oligo.3,3,"Oligo.3_L1a, Oligo.3_L6, Oligo.3_WMtz",down,multi
SpX,PTPRD,Oligo.3,3,"Oligo.3_L5, Oligo.3_L6, Oligo.3_WMtz",down,multi
Oligo.3_Nbr,FOS,Oligo.3,2,"APOE_high_nnA_Astro.5, APOE_high_nnA_far",up,multi
Oligo.3_Nbr,FZD8,Astro.2,2,"Astro.2_APOE_high, Astro.2_APOE_low",up,multi
Oligo.3_Nbr,GAD1,Oligo.3,2,"APOE_high_nnA_Astro.3, nn_Astro.3",up,multi
Oligo.3_Nbr,IKZF1,Oligo.3,2,"APOE_high_nnA_Astro.1, nn_Astro.1",up,multi
Oligo.3_Nbr,NPTXR,Astro.1,2,"Astro.1_APOE_high, Astro.1_APOE_low",up,multi
Oligo.3_Nbr,NTRK3,Oligo.3,2,"APOE_low_nnA_Astro.2, APOE_low_nnA_near",up,multi
SpX,CABLES1,Oligo.3,2,"Oligo.3_L6, Oligo.3_WM",up,multi
SpX,CNDP1,Inhib.Vip,2,"Inhib.Vip_Inhib, Inhib.Vip_L5",down,multi
SpX,FOS,Oligo.3,2,"Oligo.3_L5, Oligo.3_L6",up,multi
SpX,IGFBP5,Astro.2,2,"Astro.2_L6, Astro.2_WM",down,multi
SpX,IGFBP5,Oligo.3,2,"Oligo.3_L1b, Oligo.3_L5",up,multi
SpX,TRIL,Astro.2,2,"Astro.2_L5, Astro.2_L6",up,multi
SpX,VWC2L,Excit.L2_5.2,2,"Excit.L2_5.2_L2.3, Excit.L2_5.2_L5",up,multi
Oligo.3_Nbr,ARHGEF3,Astro.2,1,Astro.2_APOE_high,down,Astro.2_APOE_high
Oligo.3_Nbr,BCAS1,Oligo.3,1,APOE_low_nnA_Astro.3,down,APOE_low_nnA_Astro.3
Oligo.3_Nbr,ERBB3,Oligo.3,1,APOE_high_nnA_Astro.2,down,APOE_high_nnA_Astro.2
Oligo.3_Nbr,GOLGA7,Oligo.3,1,APOE_low_nnA_Astro.3,down,APOE_low_nnA_Astro.3
Oligo.3_Nbr,IGFBP5,Oligo.3,1,APOE_low_nnA_Astro.3,up,APOE_low_nnA_Astro.3
Oligo.3_Nbr,LRRK2,Oligo.3,1,APOE_low_nnA_Astro.1,up,APOE_low_nnA_Astro.1
Oligo.3_Nbr,MBP,Astro.3,1,Astro.3_APOE_low,down,Astro.3_APOE_low
Oligo.3_Nbr,SOX10,Oligo.3,1,APOE_high_nnA_Astro.2,down,APOE_high_nnA_Astro.2
Oligo.3_Nbr,TRIL,Astro.2,1,Astro.2_APOE_high,up,Astro.2_APOE_high
SpX,ARHGEF3,Astro.2,1,Astro.2_L6,down,Astro.2_L6
SpX,CHST11,Oligo.3,1,Oligo.3_L1b,up,Oligo.3_L1b
SpX,CPNE4,Oligo.3,1,Oligo.3_L6,up,Oligo.3_L6
SpX,ERMN,Oligo.3,1,Oligo.3_WMtz,down,Oligo.3_WMtz
SpX,ERMN,Inhib.Vip,1,Inhib.Vip_L1a,down,Inhib.Vip_L1a
SpX,GAD2,Oligo.3,1,Oligo.3_WM,up,Oligo.3_WM
SpX,GPM6A,Oligo.3,1,Oligo.3_WM,up,Oligo.3_WM
SpX,LMO3,Oligo.3,1,Oligo.3_L2.3,up,Oligo.3_L2.3
SpX,NPTXR,Astro.1,1,Astro.1_L5,up,Astro.1_L5
