"","mod","cluster","n_gene","n_FDR05","nUP","nDown","n_FDR10","n_FDR20"
"1","interaction Anc","Astro",18320,0,0,0,0,0
"2","interaction Anc","Macro",2931,0,0,0,0,0
"3","interaction Anc","Micro",14350,0,0,0,0,0
"4","interaction Anc","Oligo",21175,0,0,0,0,0
"5","interaction Anc","OPC",17290,0,0,0,0,0
"6","interaction Anc","Vasc",8801,0,0,0,0,0
"7","interaction Anc","Excit",25772,0,0,0,0,0
"8","interaction Anc","Inhib",21076,0,0,0,0,0
