"","mod","cluster","n_gene","n_FDR05","nUP","nDown","n_FDR10","n_FDR20"
"1","interaction Age","Astro",18320,0,0,0,0,28
"2","interaction Age","Macro",2931,0,0,0,0,19
"3","interaction Age","Micro",14350,0,0,0,0,0
"4","interaction Age","Oligo",21175,0,0,0,0,1
"5","interaction Age","OPC",17884,0,0,0,0,1
"6","interaction Age","Vasc",9533,0,0,0,0,0
"7","interaction Age","Excit",25772,0,0,0,0,0
"8","interaction Age","Inhib",21076,0,0,0,0,0
