"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Oligo.1","ERBB4",5.57781343834641,1.11880493498441e-07,5.49385236419959e-05,1691,0.31992202708194,"ENSG00000178568"
"2",2,"enrichment","Oligo.1","GOLGA7",5.53954564146836,1.34137779651266e-07,5.7647052182928e-05,4701,0.461121888356679,"ENSG00000147533"
"3",3,"enrichment","Oligo.1","EMC10",5.41962202575976,2.35697150160684e-07,7.91353181664497e-05,9647,0.507910286325014,"ENSG00000161671"
"4",4,"enrichment","Oligo.1","OPALIN",5.19500217608388,6.63671699409844e-07,0.000139813504675674,5696,0.497942465233796,"ENSG00000197430"
"5",5,"enrichment","Oligo.1","ANK3",5.18872316365478,6.82889105404559e-07,0.000140532914227746,5563,0.324863888316708,"ENSG00000151150"
"6",6,"enrichment","Oligo.1","SEMA6D",5.16119666647319,7.73722089372254e-07,0.000151143093240282,7725,0.280874298499555,"ENSG00000137872"
"7",7,"enrichment","Oligo.1","OMG",5.1485409763088,8.19330158646528e-07,0.000154436547798216,8595,0.408909272232585,"ENSG00000126861"
"8",8,"enrichment","Oligo.1","ENOX1",5.06935408697854,1.17007229753477e-06,0.00020952094607856,7085,0.295849890010484,"ENSG00000120658"
"9",9,"enrichment","Oligo.1","GPRC5B",5.04705234116524,1.2927657683278e-06,0.000227696318277277,8109,0.359675671764574,"ENSG00000167191"
"10",10,"enrichment","Oligo.1","PRKACB",4.99717059980696,1.61413249561826e-06,0.000262761205044281,422,0.256842918227859,"ENSG00000142875"
"11",1,"enrichment","Oligo.2","MTX2",11.3754953735095,5.79099913915647e-22,6.22184947510971e-18,1556,0.633475111542126,"ENSG00000128654"
"12",2,"enrichment","Oligo.2","LINC00609",10.4187777134143,1.99472526612638e-19,7.14377608642062e-16,7305,1.01021317984522,"ENSG00000257585"
"13",3,"enrichment","Oligo.2","ITGAV",9.98850460389916,2.70216391924058e-18,5.80640982966416e-15,1588,0.863190227094013,"ENSG00000138448"
"14",4,"enrichment","Oligo.2","ZDHHC14",9.77602462043614,9.71812791432673e-18,1.74019277185877e-14,3990,0.594277885045692,"ENSG00000175048"
"15",5,"enrichment","Oligo.2","RASGRF2",9.63977823363961,2.20181268822223e-17,3.37946793175137e-14,3143,0.821246313194417,"ENSG00000113319"
"16",6,"enrichment","Oligo.2","CEP170",9.50199752210209,5.02231500784491e-17,5.99552804936508e-14,980,0.388788590503683,"ENSG00000143702"
"17",7,"enrichment","Oligo.2","CPXM2",9.32507288444944,1.44231311332614e-16,1.54962120895761e-13,5817,2.16520265320908,"ENSG00000121898"
"18",8,"enrichment","Oligo.2","KIF5C",9.28903135761904,1.78706746421208e-16,1.74547753049951e-13,1475,0.443424378845343,"ENSG00000168280"
"19",9,"enrichment","Oligo.2","S100B",9.0142627508215,9.09405698558217e-16,7.51588832716114e-13,10146,0.735091300563964,"ENSG00000160307"
"20",10,"enrichment","Oligo.2","ACTN2",8.99514140761268,1.01794368849214e-15,7.81199070654256e-13,971,1.34711832506018,"ENSG00000077522"
"21",1,"enrichment","Oligo.3","GPM6A",9.6610102969323,1.94070693481414e-17,2.08509553076431e-13,2904,1.49702309221028,"ENSG00000150625"
"22",2,"enrichment","Oligo.3","KCNJ3",9.49929734336697,5.10920588230568e-17,2.74466539997461e-13,1488,1.77528041497145,"ENSG00000162989"
"23",3,"enrichment","Oligo.3","KCND2",9.20093929925294,3.0177139128067e-16,1.05190099592219e-12,4446,1.76640358631017,"ENSG00000184408"
"24",4,"enrichment","Oligo.3","LINGO2",9.08790012603536,5.89270477717813e-16,1.05190099592219e-12,5036,1.70410181109613,"ENSG00000174482"
"25",5,"enrichment","Oligo.3","NTRK3",9.07435740276859,6.38369012411573e-16,1.05190099592219e-12,7922,2.0723207230475,"ENSG00000140538"
"26",6,"enrichment","Oligo.3","ADGRV1",9.06139545751697,6.89168647193256e-16,1.05190099592219e-12,3171,1.70638484223861,"ENSG00000164199"
"27",7,"enrichment","Oligo.3","MYT1L",9.03972253983097,7.83247204707511e-16,1.05190099592219e-12,1008,1.70834685664033,"ENSG00000186487"
"28",8,"enrichment","Oligo.3","NR2F1-AS1",8.89566185400408,1.82967479894834e-15,2.06321939151934e-12,3175,1.86892904499106,"ENSG00000237187"
"29",9,"enrichment","Oligo.3","GRIK1",8.87977482592475,2.00866970882075e-15,2.06321939151934e-12,10056,1.68258319994861,"ENSG00000171189"
"30",10,"enrichment","Oligo.3","SLC1A2",8.87120234017727,2.11238024075882e-15,2.06321939151934e-12,5998,1.58839750978999,"ENSG00000110436"
"31",1,"enrichment","Oligo.4","KCTD1",4.41283862038747,1.94902601526232e-05,0.0198900170145609,9024,0.354650787113128,"ENSG00000134504"
"32",2,"enrichment","Oligo.4","LAMA2",4.39169070397124,2.12451618264644e-05,0.0198900170145609,3910,0.504737368550096,"ENSG00000196569"
"33",3,"enrichment","Oligo.4","TSC22D3",4.29331812998326,3.16079339210993e-05,0.0198900170145609,10596,0.252421152161383,"ENSG00000157514"
"34",4,"enrichment","Oligo.4","BIN1",4.06136839487019,7.86643505193246e-05,0.0384168082718011,1429,0.222625780866414,"ENSG00000136717"
"35",5,"enrichment","Oligo.4","LRIG3",3.97841916968825,0.000108047914850932,0.0414595284699434,6693,0.363044257771929,"ENSG00000139263"
"36",6,"enrichment","Oligo.4","DDX6",3.85314198600393,0.000172959798645019,0.0481210543003239,6344,0.165123990437963,"ENSG00000110367"
"37",7,"enrichment","Oligo.4","METTL16",3.81477147298998,0.00019933860810271,0.0498061153091583,8419,0.214047152508203,"ENSG00000127804"
"38",8,"enrichment","Oligo.4","TPRN",3.79680345144984,0.000212964250359234,0.0508463979079914,5392,0.294213555777533,"ENSG00000176058"
"39",9,"enrichment","Oligo.4","DUSP10",3.77775868404084,0.000228368615604604,0.0522040937458694,894,0.305826709344126,"ENSG00000143507"
"40",10,"enrichment","Oligo.4","MAPT",3.76891559640021,0.000235875145082671,0.0527967199743378,8701,0.193384350981809,"ENSG00000186868"
"41",1,"enrichment","Oligo.5","ARHGEF3",12.2641381794087,2.48082767641627e-24,2.66540125554164e-20,2050,6.46922665805603,"ENSG00000163947"
"42",2,"enrichment","Oligo.5","ADGRF5",10.3971971241157,2.272836803892e-19,1.22096793105078e-15,3708,3.00739002305666,"ENSG00000069122"
"43",3,"enrichment","Oligo.5","PRKCH",10.2635105975504,5.11594373374609e-19,1.50710658122282e-15,7405,3.04471753983077,"ENSG00000027075"
"44",4,"enrichment","Oligo.5","ABCG2",10.2482753704251,5.61097014602689e-19,1.50710658122282e-15,2703,2.95120106917913,"ENSG00000118777"
"45",5,"enrichment","Oligo.5","ATP10A",9.8991530596953,4.62930861248393e-18,9.94745834650547e-15,7619,3.82132485055071,"ENSG00000206190"
"46",6,"enrichment","Oligo.5","ABCB1",9.78123745847229,9.41365703798303e-18,1.68567218693483e-14,4302,3.76798673840885,"ENSG00000085563"
"47",7,"enrichment","Oligo.5","FLI1",9.63900067724645,2.21105268505766e-17,3.39365000689421e-14,6396,3.05457214783524,"ENSG00000151702"
"48",8,"enrichment","Oligo.5","CLDN5",9.26885714080999,2.01382432052817e-16,2.47743529601642e-13,10166,3.04188682558477,"ENSG00000184113"
"49",9,"enrichment","Oligo.5","EPAS1",9.26379601771977,2.07529017722895e-16,2.47743529601642e-13,1164,3.21761426377848,"ENSG00000116016"
"50",10,"enrichment","Oligo.5","ST8SIA6",9.18821646375444,3.24979520825242e-16,3.4915799717464e-13,5462,2.58196275721067,"ENSG00000148488"
