"cluster","n_gene","n_FDR05","min_adj.P.Val"
"Astro.1",16867,0,0.490764959725519
"Astro.2",10083,0,0.398442616426609
"Astro.3",10569,0,0.252931634599719
"Astro.4",8135,0,0.138041146337816
"Astro.5",1793,0,0.183317465371447
"Macro",2931,0,0.12379705677496
"Micro.1",10199,0,0.302388697735225
"Micro.2",8990,0,0.81652847463351
"Micro.3",8114,0,0.996398430940721
"Micro.4",6768,0,0.591641245984725
"Micro.5",2285,0,0.979914974844636
"OPC.1",13474,0,0.485779007719649
"OPC.2",10555,0,0.41574022998643
"OPC.3",14349,1,0.0394388412850406
"OPC.4",11670,0,0.553342131112331
"OPC.5",1362,0,0.667095539237277
"Oligo.1",13970,0,0.167934549846561
"Oligo.2",14226,0,0.761819745202707
"Oligo.3",11482,0,0.11896741315268
"Oligo.4",11901,0,0.971490163699765
"Oligo.5",9854,0,0.803328979754152
"Vasc.Endo",5618,0,0.672555284980458
"Vasc.VLMC",6644,0,0.0741637295641157
"Excit.L2",20080,0,0.188039326252113
"Excit.L2_5.1",22170,3,0.0460779072489918
"Excit.L2_5.2",14365,0,0.433357152892058
"Excit.L5.1",18607,0,0.120192445762681
"Excit.L5.2",11952,7,0.0295178813162973
"Excit.L6_CT",14031,0,0.351096628788208
"Excit.L6b",16016,0,0.321251510877793
"Inhib.Chandelier",8999,0,0.998559216714902
"Inhib.Lamp5_Lhx6",13588,0,0.723035058319883
"Inhib.Pvalb",15249,0,0.318014445978643
"Inhib.Sst",12219,0,0.730466843985233
"Inhib.Vip",19576,0,0.113641483106499
