Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to9,Feature log2 fold change topic 2to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,4,-2.2724,22,1.19275,7,-1.4101,18,-0.1176
ENSG00000188976,NOC2L,20,-1.1297,48,0.77708,27,-0.6603,35,-0.2750
ENSG00000188290,HES4,29,-1.0880,59,-0.0780,93,0.72269,64,0.10339
ENSG00000187608,ISG15,76,0.72867,47,-0.1600,42,-0.2175,39,-0.3250
ENSG00000188157,AGRN,27,0.51463,20,0.15810,14,-0.4850,13,-0.6514
ENSG00000078808,SDF4,65,0.09229,61,0.03322,77,0.37017,38,-0.7158
ENSG00000176022,B3GALT6,18,-0.7695,33,0.55208,28,-0.1220,21,-0.5459
ENSG00000160087,UBE2J2,22,-0.7185,37,0.42415,32,-0.1474,30,-0.2345
ENSG00000131584,ACAP3,57,-0.0513,64,0.41322,43,-0.4837,42,-0.5250
ENSG00000169972,PUSL1,10,-0.0104,11,0.45321,4,-1.1967,9,-0.1457
ENSG00000127054,INTS11,41,-0.1588,50,0.51282,35,-0.4052,28,-0.7615
ENSG00000224051,CPTP,16,-0.9440,34,0.90601,17,-0.8303,21,-0.5461
ENSG00000107404,DVL1,59,0.07320,52,-0.3348,82,0.60403,58,0.05249
ENSG00000175756,AURKAIP1,145,-0.1582,162,0.05364,157,-0.0324,166,0.05490
ENSG00000221978,CCNL2,60,0.43618,49,0.34685,31,-0.6157,24,-1.0108
ENSG00000224870,MRPL20-AS1,15,0.46347,11,-0.0865,12,0.17733,7,-0.5967
ENSG00000242485,MRPL20,180,-0.1034,197,0.13667,154,-0.3511,204,0.09490
ENSG00000235098,ANKRD65,33,0.72006,21,-0.0956,18,-0.2514,16,-0.4743
ENSG00000179403,VWA1,229,3.14339,22,-2.2023,59,0.46294,20,-1.1576
ENSG00000197785,ATAD3A,10,-0.5171,15,0.63329,9,-0.6267,10,-0.4421
ENSG00000205090,TMEM240,12,-1.6560,40,0.55987,24,-0.6538,45,0.33894
ENSG00000160075,SSU72,90,-0.6191,145,0.41744,108,-0.3393,126,-0.1090
ENSG00000228594,FNDC10,5,-2.5781,34,0.94123,22,-0.4929,26,-0.1903
ENSG00000272106,AL691432.2,22,0.23260,18,-0.1949,27,0.55033,14,-0.4671
ENSG00000197530,MIB2,20,-0.6733,34,0.70285,14,-1.1415,28,-0.1085
ENSG00000248333,CDK11B,18,1.21190,7,-0.7584,12,0.49780,7,-0.2750
ENSG00000189339,SLC35E2B,16,-0.0466,15,-0.2649,29,0.92997,11,-0.5894
