OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes,gene_set
0,1,0,28,Astro.1_up,0.05,5,Ast_down,,Mathys_early_reg
0,1,0,21,Astro.1_up,0.05,5,Ast_up,,Mathys_early_reg
0,1,0,838,Astro.1_up,0.05,5,Ex_down,,Mathys_early_reg
22.76592012979291,0.0533734433215024,1,184,Astro.1_up,0.05,5,Ex_up,SNPH,Mathys_early_reg
0,1,0,172,Astro.1_up,0.05,5,In_down,,Mathys_early_reg
0,1,0,8,Astro.1_up,0.05,5,In_up,,Mathys_early_reg
0,1,0,3,Astro.1_up,0.05,5,Mic_down,,Mathys_early_reg
0,1,0,4,Astro.1_up,0.05,5,Mic_up,,Mathys_early_reg
0,1,0,50,Astro.1_up,0.05,5,Oli_down,,Mathys_early_reg
0,1,0,43,Astro.1_up,0.05,5,Oli_up,,Mathys_early_reg
0,1,0,15,Astro.1_up,0.05,5,Opc_down,,Mathys_early_reg
0,1,0,3,Astro.1_up,0.05,5,Opc_up,,Mathys_early_reg
0,1,0,28,Astro.1_down,0.05,2,Ast_down,,Mathys_early_reg
0,1,0,21,Astro.1_down,0.05,2,Ast_up,,Mathys_early_reg
0,1,0,838,Astro.1_down,0.05,2,Ex_down,,Mathys_early_reg
0,1,0,184,Astro.1_down,0.05,2,Ex_up,,Mathys_early_reg
0,1,0,172,Astro.1_down,0.05,2,In_down,,Mathys_early_reg
0,1,0,8,Astro.1_down,0.05,2,In_up,,Mathys_early_reg
0,1,0,3,Astro.1_down,0.05,2,Mic_down,,Mathys_early_reg
0,1,0,4,Astro.1_down,0.05,2,Mic_up,,Mathys_early_reg
0,1,0,50,Astro.1_down,0.05,2,Oli_down,,Mathys_early_reg
0,1,0,43,Astro.1_down,0.05,2,Oli_up,,Mathys_early_reg
0,1,0,15,Astro.1_down,0.05,2,Opc_down,,Mathys_early_reg
0,1,0,3,Astro.1_down,0.05,2,Opc_up,,Mathys_early_reg
0,1,0,27,Astro.2_up,0.05,10,Ast_down,,Mathys_early_reg
0,1,0,21,Astro.2_up,0.05,10,Ast_up,,Mathys_early_reg
1.916797930824943,0.4311831655848969,1,548,Astro.2_up,0.05,10,Ex_down,PGM2L1,Mathys_early_reg
0,1,0,160,Astro.2_up,0.05,10,Ex_up,,Mathys_early_reg
0,1,0,140,Astro.2_up,0.05,10,In_down,,Mathys_early_reg
0,1,0,6,Astro.2_up,0.05,10,In_up,,Mathys_early_reg
0,1,0,2,Astro.2_up,0.05,10,Mic_down,,Mathys_early_reg
0,1,0,4,Astro.2_up,0.05,10,Mic_up,,Mathys_early_reg
0,1,0,40,Astro.2_up,0.05,10,Oli_down,,Mathys_early_reg
0,1,0,36,Astro.2_up,0.05,10,Oli_up,,Mathys_early_reg
0,1,0,14,Astro.2_up,0.05,10,Opc_down,,Mathys_early_reg
0,1,0,2,Astro.2_up,0.05,10,Opc_up,,Mathys_early_reg
0,1,0,27,Astro.2_down,0.05,48,Ast_down,,Mathys_early_reg
10.551259732183963,0.09625230189650735,1,21,Astro.2_down,0.05,48,Ast_up,PLCE1,Mathys_early_reg
0.3656159268291201,0.9336929678941874,1,548,Astro.2_down,0.05,48,Ex_down,GYG2,Mathys_early_reg
0,1,0,160,Astro.2_down,0.05,48,Ex_up,,Mathys_early_reg
0,1,0,140,Astro.2_down,0.05,48,In_down,,Mathys_early_reg
0,1,0,6,Astro.2_down,0.05,48,In_up,,Mathys_early_reg
0,1,0,2,Astro.2_down,0.05,48,Mic_down,,Mathys_early_reg
0,1,0,4,Astro.2_down,0.05,48,Mic_up,,Mathys_early_reg
0,1,0,40,Astro.2_down,0.05,48,Oli_down,,Mathys_early_reg
0,1,0,36,Astro.2_down,0.05,48,Oli_up,,Mathys_early_reg
0,1,0,14,Astro.2_down,0.05,48,Opc_down,,Mathys_early_reg
0,1,0,2,Astro.2_down,0.05,48,Opc_up,,Mathys_early_reg
0,1,0,27,Astro.3_up,0.05,5,Ast_down,,Mathys_early_reg
0,1,0,21,Astro.3_up,0.05,5,Ast_up,,Mathys_early_reg
0,1,0,630,Astro.3_up,0.05,5,Ex_down,,Mathys_early_reg
