OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes,gene_set
0,1,0,437,vVasc_up,0.05,3,Astro,,Grubman
14.321324928477708,0.09807604944354487,1,244,vVasc_up,0.05,3,Endo,JAZF1,Grubman
23.331156355463555,0.06188792649209285,1,152,vVasc_up,0.05,3,Micro,JAZF1,Grubman
0,1,0,651,vVasc_up,0.05,3,Neuron,,Grubman
0,1,0,152,vVasc_up,0.05,3,Oligo,,Grubman
12.55026737515166,0.11082617669138184,1,277,vVasc_up,0.05,3,OPC,JAZF1,Grubman
0,1,0,437,vVasc_down,0.05,4,Astro,,Grubman
0,1,0,244,vVasc_down,0.05,4,Endo,,Grubman
0,1,0,152,vVasc_down,0.05,4,Micro,,Grubman
10.103976873512986,0.04312425023990828,2,651,vVasc_down,0.05,4,Neuron,"CAPN3, ELOVL1",Grubman
0,1,0,152,vVasc_down,0.05,4,Oligo,,Grubman
25.178329245941104,0.008371455786020695,2,277,vVasc_down,0.05,4,OPC,"CAPN3, ELOVL1",Grubman
0,1,0,557,vL1_up,0.05,0,Astro,,Grubman
0,1,0,311,vL1_up,0.05,0,Endo,,Grubman
0,1,0,200,vL1_up,0.05,0,Micro,,Grubman
0,1,0,824,vL1_up,0.05,0,Neuron,,Grubman
0,1,0,187,vL1_up,0.05,0,Oligo,,Grubman
0,1,0,367,vL1_up,0.05,0,OPC,,Grubman
0,1,0,557,vL1_down,0.05,0,Astro,,Grubman
0,1,0,311,vL1_down,0.05,0,Endo,,Grubman
0,1,0,200,vL1_down,0.05,0,Micro,,Grubman
0,1,0,824,vL1_down,0.05,0,Neuron,,Grubman
0,1,0,187,vL1_down,0.05,0,Oligo,,Grubman
0,1,0,367,vL1_down,0.05,0,OPC,,Grubman
0,1,0,574,vL2_up,0.05,0,Astro,,Grubman
0,1,0,326,vL2_up,0.05,0,Endo,,Grubman
0,1,0,216,vL2_up,0.05,0,Micro,,Grubman
0,1,0,868,vL2_up,0.05,0,Neuron,,Grubman
0,1,0,188,vL2_up,0.05,0,Oligo,,Grubman
0,1,0,377,vL2_up,0.05,0,OPC,,Grubman
0,1,0,574,vL2_down,0.05,0,Astro,,Grubman
0,1,0,326,vL2_down,0.05,0,Endo,,Grubman
0,1,0,216,vL2_down,0.05,0,Micro,,Grubman
0,1,0,868,vL2_down,0.05,0,Neuron,,Grubman
0,1,0,188,vL2_down,0.05,0,Oligo,,Grubman
0,1,0,377,vL2_down,0.05,0,OPC,,Grubman
0,1,0,453,vInhib_up,0.05,0,Astro,,Grubman
0,1,0,239,vInhib_up,0.05,0,Endo,,Grubman
0,1,0,149,vInhib_up,0.05,0,Micro,,Grubman
0,1,0,722,vInhib_up,0.05,0,Neuron,,Grubman
0,1,0,155,vInhib_up,0.05,0,Oligo,,Grubman
0,1,0,306,vInhib_up,0.05,0,OPC,,Grubman
0,1,0,453,vInhib_down,0.05,0,Astro,,Grubman
