OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes,gene_set
0,1,0,41,Vasc~Sp09D08_up,0.05,8,Ast,,Mathys_early
1.1712891069452858,0.6019390873802628,1,980,Vasc~Sp09D08_up,0.05,8,Ex,HMG20A,Mathys_early
0,1,0,183,Vasc~Sp09D08_up,0.05,8,In,,Mathys_early
0,1,0,8,Vasc~Sp09D08_up,0.05,8,Mic,,Mathys_early
0,1,0,81,Vasc~Sp09D08_up,0.05,8,Oli,,Mathys_early
0,1,0,11,Vasc~Sp09D08_up,0.05,8,Opc,,Mathys_early
0,1,0,41,Vasc~Sp09D08_down,0.05,22,Ast,,Mathys_early
0,1,0,980,Vasc~Sp09D08_down,0.05,22,Ex,,Mathys_early
2.304742874897913,0.3634972574479919,1,183,Vasc~Sp09D08_down,0.05,22,In,PDE8A,Mathys_early
0,1,0,8,Vasc~Sp09D08_down,0.05,22,Mic,,Mathys_early
5.303056051745963,0.18030160143713891,1,81,Vasc~Sp09D08_down,0.05,22,Oli,CMTM5,Mathys_early
0,1,0,11,Vasc~Sp09D08_down,0.05,22,Opc,,Mathys_early
0,1,0,46,L1~Sp09D05_up,0.05,0,Ast,,Mathys_early
0,1,0,1046,L1~Sp09D05_up,0.05,0,Ex,,Mathys_early
0,1,0,186,L1~Sp09D05_up,0.05,0,In,,Mathys_early
0,1,0,8,L1~Sp09D05_up,0.05,0,Mic,,Mathys_early
0,1,0,87,L1~Sp09D05_up,0.05,0,Oli,,Mathys_early
0,1,0,15,L1~Sp09D05_up,0.05,0,Opc,,Mathys_early
0,1,0,46,L1~Sp09D05_down,0.05,1,Ast,,Mathys_early
0,1,0,1046,L1~Sp09D05_down,0.05,1,Ex,,Mathys_early
0,1,0,186,L1~Sp09D05_down,0.05,1,In,,Mathys_early
0,1,0,8,L1~Sp09D05_down,0.05,1,Mic,,Mathys_early
0,1,0,87,L1~Sp09D05_down,0.05,1,Oli,,Mathys_early
0,1,0,15,L1~Sp09D05_down,0.05,1,Opc,,Mathys_early
0,1,0,46,L2.3~Sp09D01_up,0.05,0,Ast,,Mathys_early
0,1,0,1063,L2.3~Sp09D01_up,0.05,0,Ex,,Mathys_early
0,1,0,187,L2.3~Sp09D01_up,0.05,0,In,,Mathys_early
0,1,0,9,L2.3~Sp09D01_up,0.05,0,Mic,,Mathys_early
0,1,0,87,L2.3~Sp09D01_up,0.05,0,Oli,,Mathys_early
0,1,0,18,L2.3~Sp09D01_up,0.05,0,Opc,,Mathys_early
0,1,0,46,L2.3~Sp09D01_down,0.05,0,Ast,,Mathys_early
0,1,0,1063,L2.3~Sp09D01_down,0.05,0,Ex,,Mathys_early
0,1,0,187,L2.3~Sp09D01_down,0.05,0,In,,Mathys_early
0,1,0,9,L2.3~Sp09D01_down,0.05,0,Mic,,Mathys_early
0,1,0,87,L2.3~Sp09D01_down,0.05,0,Oli,,Mathys_early
0,1,0,18,L2.3~Sp09D01_down,0.05,0,Opc,,Mathys_early
0,1,0,47,LD~Sp09D02_up,0.05,0,Ast,,Mathys_early
0,1,0,1075,LD~Sp09D02_up,0.05,0,Ex,,Mathys_early
0,1,0,189,LD~Sp09D02_up,0.05,0,In,,Mathys_early
0,1,0,9,LD~Sp09D02_up,0.05,0,Mic,,Mathys_early
0,1,0,91,LD~Sp09D02_up,0.05,0,Oli,,Mathys_early
0,1,0,18,LD~Sp09D02_up,0.05,0,Opc,,Mathys_early
0,1,0,47,LD~Sp09D02_down,0.05,0,Ast,,Mathys_early
0,1,0,1075,LD~Sp09D02_down,0.05,0,Ex,,Mathys_early
0,1,0,189,LD~Sp09D02_down,0.05,0,In,,Mathys_early
0,1,0,9,LD~Sp09D02_down,0.05,0,Mic,,Mathys_early
0,1,0,91,LD~Sp09D02_down,0.05,0,Oli,,Mathys_early
0,1,0,18,LD~Sp09D02_down,0.05,0,Opc,,Mathys_early
0,1,0,44,Inhib~Sp09D09_up,0.05,0,Ast,,Mathys_early
0,1,0,1057,Inhib~Sp09D09_up,0.05,0,Ex,,Mathys_early
0,1,0,187,Inhib~Sp09D09_up,0.05,0,In,,Mathys_early
0,1,0,9,Inhib~Sp09D09_up,0.05,0,Mic,,Mathys_early
0,1,0,88,Inhib~Sp09D09_up,0.05,0,Oli,,Mathys_early
0,1,0,15,Inhib~Sp09D09_up,0.05,0,Opc,,Mathys_early
0,1,0,44,Inhib~Sp09D09_down,0.05,2,Ast,,Mathys_early
0,1,0,1057,Inhib~Sp09D09_down,0.05,2,Ex,,Mathys_early
0,1,0,187,Inhib~Sp09D09_down,0.05,2,In,,Mathys_early
0,1,0,9,Inhib~Sp09D09_down,0.05,2,Mic,,Mathys_early
0,1,0,88,Inhib~Sp09D09_down,0.05,2,Oli,,Mathys_early
0,1,0,15,Inhib~Sp09D09_down,0.05,2,Opc,,Mathys_early
0,1,0,46,L5~Sp09D03_up,0.05,3,Ast,,Mathys_early
0,1,0,1068,L5~Sp09D03_up,0.05,3,Ex,,Mathys_early
0,1,0,188,L5~Sp09D03_up,0.05,3,In,,Mathys_early
0,1,0,9,L5~Sp09D03_up,0.05,3,Mic,,Mathys_early
0,1,0,89,L5~Sp09D03_up,0.05,3,Oli,,Mathys_early
0,1,0,18,L5~Sp09D03_up,0.05,3,Opc,,Mathys_early
0,1,0,46,L5~Sp09D03_down,0.05,0,Ast,,Mathys_early
0,1,0,1068,L5~Sp09D03_down,0.05,0,Ex,,Mathys_early
0,1,0,188,L5~Sp09D03_down,0.05,0,In,,Mathys_early
0,1,0,9,L5~Sp09D03_down,0.05,0,Mic,,Mathys_early
0,1,0,89,L5~Sp09D03_down,0.05,0,Oli,,Mathys_early
