OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes,gene_set
1.4672856189087864,0.5247023221721617,1,800,Vasc~Sp09D08_up,0.05,8,E34_E33_AD_down,KCNQ2,Blanchard
3.5559156662719276,0.0961758738064282,3,1303,Vasc~Sp09D08_up,0.05,8,E34_E33_AD_up,"JAZF1,CIT,NPTX2",Blanchard
0.5965863940321791,0.8205079826128124,1,1741,Vasc~Sp09D08_up,0.05,8,E34_E33_noAD_down,JAZF1,Blanchard
0.37471625602935765,0.9591305896486411,3,5547,Vasc~Sp09D08_up,0.05,8,E34_E33_noAD_up,"NPTX2,HMG20A,KCNQ2",Blanchard
1.3540809295644651,0.48962440665313556,2,1781,Vasc~Sp09D08_up,0.05,8,E4+_E33_ALL_down,"JAZF1,HMG20A",Blanchard
0.24950275826212473,0.9868019801202413,2,5153,Vasc~Sp09D08_up,0.05,8,E4+_E33_ALL_up,"NPTX2,KCNQ2",Blanchard
0,1,0,286,Vasc~Sp09D08_up,0.05,8,ipsc_down,,Blanchard
3.5645236695850766,0.14527868812867012,2,772,Vasc~Sp09D08_up,0.05,8,ipsc_up,"KCNQ2,ZCCHC12",Blanchard
0,1,0,302,Vasc~Sp09D08_up,0.05,8,Nebula_down,,Blanchard
0,1,0,569,Vasc~Sp09D08_up,0.05,8,Nebula_up,,Blanchard
3.032178007295993,0.04013882348144298,5,800,Vasc~Sp09D08_down,0.05,22,E34_E33_AD_down,"CNDP1,HHIP,CNTN2,CMTM5,PLEKHH1",Blanchard
1.7432726187633594,0.20345646361535977,5,1303,Vasc~Sp09D08_down,0.05,22,E34_E33_AD_up,"SLC31A2,GATD3A,TFEB,MAL,CHADL",Blanchard
2.3932478309827085,0.04664688051761031,8,1741,Vasc~Sp09D08_down,0.05,22,E34_E33_noAD_down,"CNDP1,HHIP,CMTM5,GPR17,GATD3A,PLEKHH1,ELOVL1,PDE8A",Blanchard
0.6243340313458485,0.9073330081688877,11,5547,Vasc~Sp09D08_down,0.05,22,E34_E33_noAD_up,"CDR2L,KLK6,CNTN2,SLC31A2,PLPP2,TFEB,CCDC167,MAL,CFL2,CHADL,KLHL32",Blanchard
2.8203755721832353,0.018534279385389877,9,1781,Vasc~Sp09D08_down,0.05,22,E4+_E33_ALL_down,"CNDP1,HHIP,GPR17,GATD3A,PLEKHH1,ELOVL1,PDE8A,KLHL32,FOLH1",Blanchard
0.6237083904330697,0.9071142635198624,10,5153,Vasc~Sp09D08_down,0.05,22,E4+_E33_ALL_up,"CDR2L,KLK6,CNTN2,SLC31A2,PLPP2,TFEB,CCDC167,MAL,CFL2,CHADL",Blanchard
4.857187643860635,0.031158018096977474,3,286,Vasc~Sp09D08_down,0.05,22,ipsc_down,"CNTN2,MAL,CHADL",Blanchard
0,1,0,772,Vasc~Sp09D08_down,0.05,22,ipsc_up,,Blanchard
0,1,0,302,Vasc~Sp09D08_down,0.05,22,Nebula_down,,Blanchard
0,1,0,569,Vasc~Sp09D08_down,0.05,22,Nebula_up,,Blanchard
0,1,0,929,L1~Sp09D05_up,0.05,0,E34_E33_AD_down,,Blanchard
0,1,0,1667,L1~Sp09D05_up,0.05,0,E34_E33_AD_up,,Blanchard
0,1,0,2193,L1~Sp09D05_up,0.05,0,E34_E33_noAD_down,,Blanchard
0,1,0,7212,L1~Sp09D05_up,0.05,0,E34_E33_noAD_up,,Blanchard
0,1,0,2223,L1~Sp09D05_up,0.05,0,E4+_E33_ALL_down,,Blanchard
0,1,0,6687,L1~Sp09D05_up,0.05,0,E4+_E33_ALL_up,,Blanchard
0,1,0,385,L1~Sp09D05_up,0.05,0,ipsc_down,,Blanchard
0,1,0,994,L1~Sp09D05_up,0.05,0,ipsc_up,,Blanchard
0,1,0,442,L1~Sp09D05_up,0.05,0,Nebula_down,,Blanchard
0,1,0,722,L1~Sp09D05_up,0.05,0,Nebula_up,,Blanchard
0,1,0,929,L1~Sp09D05_down,0.05,1,E34_E33_AD_down,,Blanchard
Inf,0.1380423981450819,1,1667,L1~Sp09D05_down,0.05,1,E34_E33_AD_up,GATD3A,Blanchard
Inf,0.18159986750579737,1,2193,L1~Sp09D05_down,0.05,1,E34_E33_noAD_down,GATD3A,Blanchard
0,1,0,7212,L1~Sp09D05_down,0.05,1,E34_E33_noAD_up,,Blanchard
Inf,0.18408413381914546,1,2223,L1~Sp09D05_down,0.05,1,E4+_E33_ALL_down,GATD3A,Blanchard
0,1,0,6687,L1~Sp09D05_down,0.05,1,E4+_E33_ALL_up,,Blanchard
0,1,0,385,L1~Sp09D05_down,0.05,1,ipsc_down,,Blanchard
0,1,0,994,L1~Sp09D05_down,0.05,1,ipsc_up,,Blanchard
0,1,0,442,L1~Sp09D05_down,0.05,1,Nebula_down,,Blanchard
