OR,Pval,NumSig,SetSize,test,fdr_cut,DEG_n,ID,common_genes
0,1,0,66,Astro.1_up,0.05,5,Ast,
6.163678264634082,0.18043871947043721,1,658,Astro.1_up,0.05,5,Ex,SNPH
0,1,0,45,Astro.1_up,0.05,5,In,
0,1,0,31,Astro.1_up,0.05,5,Mic,
0,1,0,160,Astro.1_up,0.05,5,Oli,
0,1,0,26,Astro.1_up,0.05,5,Opc,
0,1,0,66,Astro.1_down,0.05,2,Ast,
0,1,0,658,Astro.1_down,0.05,2,Ex,
0,1,0,45,Astro.1_down,0.05,2,In,
0,1,0,31,Astro.1_down,0.05,2,Mic,
0,1,0,160,Astro.1_down,0.05,2,Oli,
0,1,0,26,Astro.1_down,0.05,2,Opc,
0,1,0,64,Astro.2_up,0.05,10,Ast,
0,1,0,478,Astro.2_up,0.05,10,Ex,
0,1,0,32,Astro.2_up,0.05,10,In,
0,1,0,26,Astro.2_up,0.05,10,Mic,
0,1,0,135,Astro.2_up,0.05,10,Oli,
0,1,0,21,Astro.2_up,0.05,10,Opc,
3.336941405114784,0.26589458222702866,1,64,Astro.2_down,0.05,48,Ast,PLCE1
0.4223901281620301,0.9054080920144562,1,478,Astro.2_down,0.05,48,Ex,GYG2
0,1,0,32,Astro.2_down,0.05,48,In,
0,1,0,26,Astro.2_down,0.05,48,Mic,
0,1,0,135,Astro.2_down,0.05,48,Oli,
0,1,0,21,Astro.2_down,0.05,48,Opc,
0,1,0,65,Astro.3_up,0.05,5,Ast,
0,1,0,522,Astro.3_up,0.05,5,Ex,
0,1,0,34,Astro.3_up,0.05,5,In,
0,1,0,26,Astro.3_up,0.05,5,Mic,
0,1,0,152,Astro.3_up,0.05,5,Oli,
0,1,0,25,Astro.3_up,0.05,5,Opc,
0,1,0,65,Astro.3_down,0.05,18,Ast,
0,1,0,522,Astro.3_down,0.05,18,Ex,
0,1,0,34,Astro.3_down,0.05,18,In,
0,1,0,26,Astro.3_down,0.05,18,Mic,
0,1,0,152,Astro.3_down,0.05,18,Oli,
0,1,0,25,Astro.3_down,0.05,18,Opc,
0,1,0,58,Astro.4_up,0.05,0,Ast,
0,1,0,367,Astro.4_up,0.05,0,Ex,
0,1,0,22,Astro.4_up,0.05,0,In,
0,1,0,26,Astro.4_up,0.05,0,Mic,
0,1,0,112,Astro.4_up,0.05,0,Oli,
0,1,0,18,Astro.4_up,0.05,0,Opc,
0,1,0,58,Astro.4_down,0.05,0,Ast,
0,1,0,367,Astro.4_down,0.05,0,Ex,
0,1,0,22,Astro.4_down,0.05,0,In,
0,1,0,26,Astro.4_down,0.05,0,Mic,
0,1,0,112,Astro.4_down,0.05,0,Oli,
0,1,0,18,Astro.4_down,0.05,0,Opc,
0,1,0,41,Astro.5_up,0.05,0,Ast,
0,1,0,49,Astro.5_up,0.05,0,Ex,
0,1,0,5,Astro.5_up,0.05,0,In,
0,1,0,8,Astro.5_up,0.05,0,Mic,
0,1,0,44,Astro.5_up,0.05,0,Oli,
0,1,0,6,Astro.5_up,0.05,0,Opc,
0,1,0,41,Astro.5_down,0.05,0,Ast,
0,1,0,49,Astro.5_down,0.05,0,Ex,
0,1,0,5,Astro.5_down,0.05,0,In,
0,1,0,8,Astro.5_down,0.05,0,Mic,
0,1,0,44,Astro.5_down,0.05,0,Oli,
0,1,0,6,Astro.5_down,0.05,0,Opc,
0,1,0,20,Macro_up,0.05,10,Ast,
3.7036318653228704,0.25789984371334385,1,86,Macro_up,0.05,10,Ex,ATP1B3
0,1,0,10,Macro_up,0.05,10,In,
13.357512013670013,0.08221611398676454,1,25,Macro_up,0.05,10,Mic,TNFRSF1B
0,1,0,42,Macro_up,0.05,10,Oli,
0,1,0,9,Macro_up,0.05,10,Opc,
0,1,0,20,Macro_down,0.05,5,Ast,
0,1,0,86,Macro_down,0.05,5,Ex,
0,1,0,10,Macro_down,0.05,5,In,
0,1,0,25,Macro_down,0.05,5,Mic,
0,1,0,42,Macro_down,0.05,5,Oli,
0,1,0,9,Macro_down,0.05,5,Opc,
0,1,0,44,Micro.1_up,0.05,1,Ast,
0,1,0,465,Micro.1_up,0.05,1,Ex,
0,1,0,35,Micro.1_up,0.05,1,In,
0,1,0,34,Micro.1_up,0.05,1,Mic,
0,1,0,121,Micro.1_up,0.05,1,Oli,
0,1,0,17,Micro.1_up,0.05,1,Opc,
0,1,0,44,Micro.1_down,0.05,0,Ast,
0,1,0,465,Micro.1_down,0.05,0,Ex,
0,1,0,35,Micro.1_down,0.05,0,In,
0,1,0,34,Micro.1_down,0.05,0,Mic,
0,1,0,121,Micro.1_down,0.05,0,Oli,
0,1,0,17,Micro.1_down,0.05,0,Opc,
0,1,0,47,Micro.2_up,0.05,0,Ast,
