Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,25,-0.5663,54,0.86677,54,0.63702,31,-0.3172,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,87,0.62862,67,0.27652,72,0.33063,48,-0.4189,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,130,0.06790,130,0.09298,40,-1.7217,119,-0.0945,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,82,-0.3823,137,0.58784,47,-1.2333,97,-0.1623,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,42,-0.8230,92,0.57340,40,-0.9022,68,-0.1048,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,106,0.14067,104,0.13397,95,-0.0379,80,-0.3805,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,26,-0.4700,40,0.25275,38,0.13494,37,0.08092,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,35,-0.7064,56,0.00262,69,0.33261,66,0.34838,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,153,0.34041,128,0.06114,158,0.39973,101,-0.3954,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,72,0.04823,65,-0.1453,78,0.16588,78,0.22167,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,34,0.01489,35,0.10194,27,-0.3440,41,0.47605,26,-0.3999,17,-1.0072
ENSG00000107404,DVL1,97,0.32453,66,-0.3626,45,-0.8785,86,0.14934,89,0.17090,110,0.52101
ENSG00000175756,AURKAIP1,165,-0.2009,176,-0.1229,160,-0.2507,202,0.15849,206,0.15627,207,0.15790
ENSG00000221978,CCNL2,85,0.34647,80,0.33176,52,-0.4491,64,-0.1485,33,-1.1079,84,0.33215
ENSG00000242485,MRPL20,194,0.00691,192,-0.0094,188,-0.0441,210,0.17249,178,-0.1292,166,-0.2443
ENSG00000179403,VWA1,10,-2.5662,13,-2.4499,43,-0.4238,31,-1.1171,71,0.38196,305,3.40652
ENSG00000197785,ATAD3A,16,-0.4185,29,0.68516,38,0.93630,10,-1.3892,26,0.33252,16,-0.4217
ENSG00000205090,TMEM240,54,0.28934,61,0.63186,43,-0.1039,39,-0.3189,31,-0.6090,29,-0.6989
ENSG00000160075,SSU72,188,0.06536,200,0.22424,136,-0.4423,198,0.19743,181,0.01088,102,-0.8928
ENSG00000228594,FNDC10,30,-0.9582,56,-0.0048,79,0.55799,70,0.48426,52,-0.1277,22,-1.4566
ENSG00000272106,AL691432.2,13,-0.7902,14,-0.7883,15,-0.5299,30,0.69740,23,0.10675,33,0.69535
ENSG00000197530,MIB2,39,-0.3518,44,-0.2306,70,0.55843,60,0.41728,31,-0.7020,41,-0.2802
ENSG00000189339,SLC35E2B,1,-4.0201,17,-0.2524,17,-0.2153,28,0.86911,22,0.18376,17,-0.1657
ENSG00000215790,SLC35E2A,37,0.55086,25,-0.1038,21,-0.3486,30,0.27469,31,0.25877,9,-1.5784
ENSG00000008130,NADK,45,0.33134,32,-0.2334,35,-0.0655,42,0.28488,21,-0.8476,41,0.19766
ENSG00000078369,GNB1,651,0.30171,572,0.11810,403,-0.4608,606,0.24205,493,-0.1468,323,-0.8047
ENSG00000187730,GABRD,132,-0.0289,136,0.02345,175,0.42296,179,0.62180,46,-1.6312,49,-1.5447
ENSG00000067606,PRKCZ,167,-0.6163,267,0.16082,305,0.34079,280,0.26521,216,-0.2145,142,-0.8572
ENSG00000162585,FAAP20,32,-1.2957,72,-0.0912,69,-0.1314,74,-0.0308,88,0.24536,125,0.83905
ENSG00000157933,SKI,21,-0.4631,23,-0.4078,50,0.89029,31,0.12530,31,0.11181,24,-0.2633
ENSG00000157916,RER1,67,-0.3344,109,0.61628,55,-0.6316,77,-0.1372,67,-0.3156,77,-0.1117
ENSG00000157911,PEX10,9,-1.9644,36,0.11774,24,-0.5357,41,0.40838,45,0.44312,30,-0.1695
ENSG00000149527,PLCH2,37,0.31842,43,0.82466,1,-4.6927,25,-0.3673,35,0.26465,23,-0.4467
ENSG00000197921,HES5,4,-2.1308,10,-0.8487,16,-0.0109,18,0.26835,40,1.54471,16,-0.0248
ENSG00000157870,PRXL2B,76,0.41104,51,-0.3015,83,0.54997,69,0.33342,39,-0.6611,34,-0.8770
ENSG00000158109,TPRG1L,256,0.20339,251,0.22714,264,0.25200,233,0.06984,163,-0.5077,119,-0.9919
ENSG00000116213,WRAP73,2,-3.0810,19,0.40563,17,0.19208,15,-0.0656,18,0.23694,16,0.09317
ENSG00000130764,LRRC47,111,0.37810,99,0.24012,93,0.09327,81,-0.1773,60,-0.5938,78,-0.1969
ENSG00000196581,AJAP1,57,0.96204,30,-0.0879,29,-0.1352,33,0.10267,18,-0.8716,22,-0.5523
ENSG00000069424,KCNAB2,255,-0.0352,277,0.12326,249,-0.0762,327,0.48747,183,-0.5566,112,-1.3052
