Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,10,-1.1444,29,1.24606,12,-1.0737
ENSG00000188976,NOC2L,39,-0.5865,71,0.85295,39,-0.7734
ENSG00000188290,HES4,57,-0.8221,65,-1.1185,163,1.34254
ENSG00000187608,ISG15,42,-0.3899,39,-0.9780,85,1.11360
ENSG00000188157,AGRN,45,0.38695,38,0.22882,29,-0.4170
ENSG00000078808,SDF4,109,0.30176,89,-0.0556,88,-0.0524
ENSG00000176022,B3GALT6,32,-0.2312,48,1.07892,20,-1.1797
ENSG00000160087,UBE2J2,46,-0.4708,70,0.47310,52,-0.3755
ENSG00000162572,SCNN1D,15,0.29033,15,0.81408,7,-1.1027
ENSG00000131584,ACAP3,110,-0.0499,125,0.34273,95,-0.3655
ENSG00000169972,PUSL1,6,-1.3045,15,0.23317,14,0.05904
ENSG00000127054,INTS11,86,0.55291,63,0.15535,50,-0.4124
ENSG00000224051,CPTP,20,-0.7542,41,0.99670,20,-0.8901
ENSG00000107404,DVL1,78,0.13741,72,0.02459,69,-0.0766
ENSG00000175756,AURKAIP1,120,-0.4345,158,0.00341,168,0.12630
ENSG00000221978,CCNL2,84,0.31968,73,0.24422,56,-0.4036
ENSG00000224870,MRPL20-AS1,17,0.30786,16,0.34712,11,-0.5206
ENSG00000242485,MRPL20,155,-0.2523,183,0.01606,188,0.06266
ENSG00000179403,VWA1,295,3.14802,16,-2.6831,61,0.26168
ENSG00000160072,ATAD3B,3,-2.4792,20,0.37830,18,0.03405
ENSG00000197785,ATAD3A,9,-1.2892,29,1.49897,10,-1.3301
ENSG00000205090,TMEM240,5,-3.2762,65,1.31899,31,-0.8831
ENSG00000160075,SSU72,94,-0.8352,165,0.05048,176,0.16808
ENSG00000228594,FNDC10,9,-2.4583,60,0.93420,37,-0.5404
ENSG00000272106,AL691432.2,55,0.60953,38,0.09362,31,-0.3684
ENSG00000197530,MIB2,46,-0.0759,58,0.65650,34,-0.7234
ENSG00000189339,SLC35E2B,30,-0.9179,60,0.28231,54,-0.0603
ENSG00000008128,CDK11A,18,0.69049,12,-0.0017,10,-0.2986
ENSG00000008130,NADK,36,-0.0218,37,0.03231,36,-0.0279
ENSG00000078369,GNB1,316,-0.3373,448,0.50115,316,-0.4475
ENSG00000187730,GABRD,9,-2.8487,82,1.23070,41,-0.8185
ENSG00000067606,PRKCZ,100,-1.0507,252,1.00397,132,-0.8210
ENSG00000162585,FAAP20,76,0.15981,64,-0.2423,76,0.20602
ENSG00000157933,SKI,49,0.61946,28,-0.5092,38,0.30344
